id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO595253844,Llanta 205/50 R15 Ns-2 Nankang,new,MCO28685830,gold_special,https://articulo.mercadolibre.com.co/MCO-595253844-llanta-20550-r15-ns-2-nankang-_JM,buy_it_now,MCO,MCO23030,MCO-AUTOMOTIVE_TIRES,326000,,1,1393.0,Nankang,True,2040-11-13T04:00:00.000Z,False,[],MCO1747,False,True,cross_docking,me2,['mandatory_free_shipping'],,,656512207,REENCAFÉ SAS,36.0,9055.56,0.0,COP,Nankang
MCO855952264,Manubrio Protaper Sport 7/8 Universal,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-855952264-manubrio-protaper-sport-78-universal-_JM,buy_it_now,MCO,MCO388865,MCO-MOTORCYCLE_HANDLEBARS,70000,,50,,,True,2042-10-20T15:42:33.000Z,False,[],MCO1747,False,False,cross_docking,me2,"['MCO-chg-threshold-Jan-23', 'self_service_in']",,,178228152,ABCD4002,12.0,5833.33,0.0,COP,Protaper
MCO875680786,Pijama Cobertor Forro Para Carro Nissan Tiida,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-875680786-pijama-cobertor-forro-para-carro-nissan-tiida-_JM,buy_it_now,MCO,MCO173788,MCO-VEHICLE_COVERS,209400,,1,,,True,2043-11-15T19:40:54.813Z,False,[],MCO1747,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,593284470,CLASSCOVER SAS,36.0,5816.67,0.0,COP,
MCO852161977,Sliders Motor + Slider De Exosto Gixxer 250 Sf ( Carenada),new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-852161977-sliders-motor-slider-de-exosto-gixxer-250-sf-carenada-_JM,buy_it_now,MCO,MCO443874,MCO-MOTORCYCLE_CRASH_BARS,224900,,1,,,True,2042-01-16T04:00:00.000Z,False,[],MCO1747,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,589608804,RINOMETAL.COM,12.0,18741.67,0.0,COP,
MCO904921606,Bombillo H7* Osram Cool Blue Intense Next Generation,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-904921606-bombillo-h7-osram-cool-blue-intense-next-generation-_JM,buy_it_now,MCO,MCO87926,MCO-VEHICLE_LIGHT_BULBS,88065,92700.0,1,137.0,Osram,True,2042-06-02T04:00:00.000Z,False,[],MCO1747,False,True,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'self_service_out']",,,199769978,OPERADOR TO,36.0,2446.25,0.0,COP,Osram
MCO648800541,Tapete Termoformado Brillante Baúl Nissan Versa 2020 A 2023,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-648800541-tapete-termoformado-brillante-baul-nissan-versa-2020-a-2023-_JM,buy_it_now,MCO,MCO87916,MCO-VEHICLE_MATS,237499,249999.0,100,964.0,FoxCol,True,2041-07-17T04:00:00.000Z,False,[],MCO1747,False,True,drop_off,me2,['mandatory_free_shipping'],,,418992324,FOXCOL TIENDA,12.0,19791.58,0.0,COP,Todoparts
MCO1087871279,Alarma Para Carro Ultra Ut4100 Tipo Llave ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1087871279-alarma-para-carro-ultra-ut4100-tipo-llave-_JM,buy_it_now,MCO,MCO180784,MCO-VEHICLE_ALARMS,192900,,1,,,True,2042-11-17T04:00:00.000Z,False,[],MCO1747,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,777243455,COYOTEMARKETCOL,36.0,5358.33,0.0,COP,Ultra
MCO577521780,Tula Para Casco - Porta Casco - Reflectivo Forro De Casco,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-577521780-tula-para-casco-porta-casco-reflectivo-forro-de-casco-_JM,buy_it_now,MCO,MCO21947,MCO-MOTORCYCLE_HELMETS,24000,,50,,,True,2040-08-12T04:00:00.000Z,False,[],MCO1747,False,False,xd_drop_off,me2,['self_service_in'],,,467510194,TOJE528805,12.0,2000.0,0.0,COP,Cloth
MCO535166405,Parlantes Carro  Kenwood Kfc 1666s 300 Watts 6 Pulgadas ,new,MCO32555439,gold_special,https://articulo.mercadolibre.com.co/MCO-535166405-parlantes-carro-kenwood-kfc-1666s-300-watts-6-pulgadas-_JM,buy_it_now,MCO,MCO3384,MCO-VEHICLE_SPEAKERS,142899,,1,,,True,2039-09-19T04:00:00.000Z,False,[],MCO1747,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,264566089,TIENDA_RONINSNIPER,36.0,3969.42,0.0,COP,Kenwood
MCO1319586177,Sensor Tpsm Presión Aire De Llanta Captiva/ Hhr ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1319586177-sensor-tpsm-presion-aire-de-llanta-captiva-hhr-_JM,buy_it_now,MCO,MCO178043,MCO-VEHICLE_FUEL_PRESSURE_REGULATORS,75000,,1,,,True,2043-07-22T04:00:00.000Z,False,[],MCO1747,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,432957960,VIRTUALDRIVE BOGOTA,12.0,6250.0,0.0,COP,Chevrolet
MCO1311986875,Kit Discos Clutch Completo Ktm Duke200/ Rc 200/ Ng200 Bajaj,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1311986875-kit-discos-clutch-completo-ktm-duke200-rc-200-ng200-bajaj-_JM,buy_it_now,MCO,MCO169865,MCO-VEHICLE_CLUTCH_DISCS,202400,220000.0,1,,,True,2043-07-01T04:00:00.000Z,False,[],MCO1747,False,True,xd_drop_off,me2,"['fbm_in_process', 'mandatory_free_shipping']",,,266266329,TUMOTOBOGOTA,36.0,5622.22,0.0,COP,Bajaj
MCO1666958958,Pantalon Impermeable C16,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1666958958-pantalon-impermeable-c16-_JM,buy_it_now,MCO,MCO90075,MCO-MOTORCYCLE_RAIN_SUITS,28000,,250,,,True,2043-06-17T04:00:00.000Z,False,[],MCO1747,False,True,cross_docking,me2,['self_service_in'],,,252275735,AFMPUNTO2,12.0,2333.33,0.0,COP,AFM
