id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1074697154,Eucerin Ph5 Loción Corporal Hidratante 400ml,new,MCO19823186,gold_special,https://www.mercadolibre.com.co/eucerin-ph5-locion-corporal-hidratante-400ml/p/MCO19823186,buy_it_now,MCO,MCO180916,MCO-BODY_SKIN_CARE_PRODUCTS,86765,123950.0,1,1287.0,Locatel,True,2042-11-12T04:00:00.000Z,True,[],MCO1246,False,False,cross_docking,me2,['self_service_in'],,,280824856,LOCTATELADMIN,36.0,2410.14,0.0,COP,Eucerin
MCO1393968547,Versace Dylan Blue Pour Homme Edt 100 ml Para  Hombre,new,MCO10329733,gold_pro,https://www.mercadolibre.com.co/versace-dylan-blue-pour-homme-edt-100ml-para-hombre/p/MCO10329733,buy_it_now,MCO,MCO1271,MCO-PERFUMES,110000,250000.0,1,,,True,2044-02-15T04:00:00.000Z,True,[],MCO1246,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,673796970,NAJU932113,12.0,9166.67,0.0,COP,Versace
MCO827487616,1 Par -guantes Resistente Al Calor Uso Al Planchar Cabello ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-827487616-1-par-guantes-resistente-al-calor-uso-al-planchar-cabello-_JM,buy_it_now,MCO,MCO4598,MCO-HAIR_STRAIGHTENERS,11990,,1,,,True,2041-10-27T04:00:00.000Z,False,[],MCO1246,False,False,fulfillment,me2,['fulfillment'],,,296922908,SHISGAMA-STORE,,,,,Guantes Plancha Pelo
MCO1339586827,Serum Sesderma Sesvitamin-c5 X 30ml,new,MCO27059357,gold_special,https://www.mercadolibre.com.co/serum-sesderma-sesvitamin-c5-x-30ml/p/MCO27059357,buy_it_now,MCO,MCO180917,MCO-FACIAL_SKIN_CARE_PRODUCTS,196775,231500.0,50,1287.0,Locatel,True,2043-09-13T04:00:00.000Z,True,[],MCO1246,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,280824856,LOCTATELADMIN,36.0,5465.97,0.0,COP,Sesderma
MCO1967486726,Calentador Derretidor Olla Cera 110v,new,MCO22572281,gold_special,https://www.mercadolibre.com.co/calentador-derretidor-olla-cera-110v/p/MCO22572281,buy_it_now,MCO,MCO180966,MCO-DEPILATORY_WAX_WARMERS,34200,34900.0,1,,,True,2043-10-11T04:00:00.000Z,True,[],MCO1246,False,False,cross_docking,me2,['self_service_in'],,,87837511,JONORO,36.0,950.0,0.0,COP,Olla de Cera
MCO619742142,Tinte Bigen Men Barba Y Bigote Negro Natural B102,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-619742142-tinte-bigen-men-barba-y-bigote-negro-natural-b102-_JM,buy_it_now,MCO,MCO180942,MCO-HAIR_AND_FACE_DYES_AND_BLEACHES,33100,,1,1287.0,Locatel,True,2041-04-25T04:00:00.000Z,False,[],MCO1246,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,280824856,LOCTATELADMIN,36.0,919.44,0.0,COP,Bigen
MCO1239534482,Pañales Tena Clásico L 90 Unidad - Unidad a $148000,new,MCO21009499,gold_special,https://articulo.mercadolibre.com.co/MCO-1239534482-panales-tena-clasico-l-90-unidades-_JM,buy_it_now,MCO,MCO180831,MCO-ADULT_DIAPERS,148000,,1,,,True,2043-02-10T04:00:00.000Z,False,[],MCO1246,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,245445392,MANI5665006,36.0,4111.11,0.0,COP,Tena
MCO1309667707,Perry Ellis 18 Edt 100 ml Para  Hombre,new,MCO19599446,gold_pro,https://www.mercadolibre.com.co/perry-ellis-18-edt-100ml-para-hombre/p/MCO19599446,buy_it_now,MCO,MCO1271,MCO-PERFUMES,165000,,1,,,True,2043-06-23T04:00:00.000Z,True,[],MCO1246,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,137038283,URREGOJOSE03,12.0,13750.0,0.0,COP,Perry Ellis
MCO1708850302,Gel Frío Reafirmante Bell Franz - G A $3 - g a $38,new,MCO24444300,gold_special,https://www.mercadolibre.com.co/gel-frio-reafirmante-bell-franz-g-a-38/p/MCO24444300,buy_it_now,MCO,MCO180916,MCO-BODY_SKIN_CARE_PRODUCTS,18990,,100,,,True,2043-07-07T04:00:00.000Z,True,[],MCO1246,False,False,xd_drop_off,me2,['self_service_in'],,,799244692,BARBA RIZOS,,,,,Bell Franz
MCO2056393442,Plancha De Cabello Babylisspro Nano Titanium 2091 Babnt2091tes Azul 220v,new,MCO15203399,gold_special,https://www.mercadolibre.com.co/plancha-de-cabello-babylisspro-nano-titanium-2091-babnt2091tes-azul-220v/p/MCO15203399,buy_it_now,MCO,MCO4598,MCO-HAIR_STRAIGHTENERS,484792,550900.0,1,,,True,2043-11-23T04:00:00.000Z,True,[],MCO1246,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,493921318,TIENDA INN,36.0,13466.44,0.0,COP,BaBylissPRO
MCO2049756074,Minoxidil Minoxifort 7 % Men - mL a $756,new,MCO29595620,gold_pro,https://articulo.mercadolibre.com.co/MCO-2049756074-minoxidil-minoxifort-7-men-_JM,buy_it_now,MCO,MCO1266,MCO-HAIR_TREATMENTS,45340,,100,,,True,2043-11-19T04:00:00.000Z,False,[],MCO1246,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,145096868,ESHOPPI,12.0,3778.33,0.0,COP,MINOXIFORT
MCO1337860147,Crema The Ordinary Vitamin C Suspensio - mL a $1997,new,MCO19474863,gold_pro,https://www.mercadolibre.com.co/crema-the-ordinary-vitamin-c-suspension-23-ha-spheres-para-piel-normal-de-30ml/p/MCO19474863,buy_it_now,MCO,MCO180917,MCO-FACIAL_SKIN_CARE_PRODUCTS,59900,,1,,,True,2043-09-08T04:00:00.000Z,True,[],MCO1246,False,True,xd_drop_off,me2,[],,,56659810,CASTROJULIAN03,12.0,4991.67,0.0,COP,The Ordinary
MCO1278553303,Gel Fluido Etniker 300 Ml - Ml A $73 - g a $85,new,MCO20940113,gold_special,https://www.mercadolibre.com.co/gel-fluido-etniker-300-ml-ml-a-73/p/MCO20940113,buy_it_now,MCO,MCO388015,MCO-HAIR_FIXATIVES,26315,27700.0,1,,,True,2043-03-26T04:00:00.000Z,True,[],MCO1246,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,471857776,BESPHARMASAS,36.0,730.97,0.0,COP,Etniker
MCO1342297947,Perfume Watt Pink Para Mujer De Confinl - mL a $494,new,MCO25959135,gold_pro,https://www.mercadolibre.com.co/perfume-watt-pink-para-mujer-de-confinluxe-edt-200ml/p/MCO25959135,buy_it_now,MCO,MCO1271,MCO-PERFUMES,98900,,1,,,True,2043-09-20T04:00:00.000Z,True,[],MCO1246,False,True,cross_docking,me2,"['self_service_in', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",,,473847987,SIJU5235520,12.0,8241.67,0.0,COP,Confinluxe
MCO1166420466,Schwarzkopf Silhouette Extra Fuerte Lac - mL a $113,new,MCO20544506,gold_special,https://www.mercadolibre.com.co/schwarzkopf-silhouette-extra-fuerte-laca-750ml/p/MCO20544506,buy_it_now,MCO,MCO388015,MCO-HAIR_FIXATIVES,84700,,1,,,True,2042-12-24T04:00:00.000Z,True,[],MCO1246,False,False,not_specified,not_specified,['is_flammable'],,,340760068,DISTRIKOSMETI C,36.0,2352.78,0.0,COP,Silhouette
