id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1083826336,Diablo Iii: Eternal Collection  Diablo Iii Blizzard Entertainment Ps4 Físico,new,MCO15030507,gold_special,https://www.mercadolibre.com.co/diablo-iii-eternal-collection-diablo-iii-blizzard-entertainment-ps4-fisico/p/MCO15030507,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,120000,,1,,True,2042-11-16T04:00:00.000Z,True,[],,MCO1144,False,True,fulfillment,me2,"['fulfillment', 'self_service_out', 'mandatory_free_shipping']",,,50241406,VIDEOJUEGOSCLUB,36.0,3333.33,0.0,COP,
MCO884774059,Sony Playstation Ps2 Fat + Control Original + 500gb Juegos,used,MCO18618885,gold_special,https://articulo.mercadolibre.com.co/MCO-884774059-sony-playstation-ps2-fat-control-original-500gb-juegos-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,799999,,1,,True,2042-04-16T04:00:00.000Z,False,[],,MCO1144,False,True,xd_drop_off,me2,['self_service_in'],,,53387092,FIXXER STORE,36.0,22222.19,0.0,COP,Sony
MCO1288437211,Contro Para Pc Tipo X- 360  Alambrico ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1288437211-contro-para-pc-tipo-x-360-alambrico-_JM,buy_it_now,MCO,MCO441254,MCO-GAME_CONSOLES_VIDEO_GAMES_AND_ARCADE_MACHINES,34900,,1,,True,2043-04-20T04:00:00.000Z,False,[],,MCO1144,False,False,cross_docking,me2,['self_service_in'],,,620001499,BRAYANCHACONRAMOS,36.0,969.44,0.0,COP,
MCO1970402460,Estuche De Viaje Rígido Compatible Nintendo Switch Oled,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1970402460-estuche-de-viaje-rigido-compatible-nintendo-switch-oled-_JM,buy_it_now,MCO,MCO413678,MCO-GAME_CONSOLE_COVERS_AND_BAGS,32900,,250,,True,2043-10-13T04:00:00.000Z,False,[],,MCO1144,False,False,xd_drop_off,me2,"['self_service_in', 'fbm_in_process']",,,210400291,ATARISTATION VIDEOJUEGOS,36.0,913.89,0.0,COP,
MCO1369287279,Consola Nintendo Wii Retrocompatible Edición Mario Bros 25 ,used,MCO14797507,gold_special,https://articulo.mercadolibre.com.co/MCO-1369287279-consola-nintendo-wii-retrocompatible-edicion-mario-bros-25-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,230000,,1,,True,2043-12-02T04:00:00.000Z,False,[],,MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,37141607,HENAOSH,36.0,6388.89,0.0,COP,Nintendo
MCO2090675714,Sonic Superstars ::.. Ps5 Playstation 5,new,MCO26821849,gold_special,https://www.mercadolibre.com.co/sonic-superstars-ps5-playstation-5/p/MCO26821849,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,212865,,1,,True,2043-12-07T04:00:00.000Z,True,[],,MCO1144,False,True,drop_off,me2,['mandatory_free_shipping'],,,1355729170,ARCADEDANIEL,36.0,5912.92,0.0,COP,
MCO513361864,Soporte Holder Tablet iPad Pedestal De Micrófono 8.9 A 10.4 ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-513361864-soporte-holder-tablet-ipad-pedestal-de-microfono-89-a-104-_JM,buy_it_now,MCO,MCO441395,MCO-MICROPHONES,61900,79900.0,1,,True,2040-01-28T02:08:25.000Z,False,[],,MCO1144,False,False,cross_docking,me2,['self_service_in'],,,52392766,JD MARKET,36.0,1719.44,0.0,COP,TECHGO
MCO1316904931,"Consola Xbox One S - Venta De Repuestos, Piezas, Componentes",used,MCO6483219,gold_pro,https://articulo.mercadolibre.com.co/MCO-1316904931-consola-xbox-one-s-venta-de-repuestos-piezas-componentes-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,180000,,1,,True,2043-07-14T04:00:00.000Z,False,[],,MCO1144,False,False,xd_drop_off,me2,[],,,79826113,JULIAN_ZERO47,12.0,15000.0,0.0,COP,Microsoft
MCO832620893,Marvel Ultimate Alliance 3: The Black Order  Marvel Ultimate Alliance Standard Edition Nintendo Switch Físico,new,MCO15263370,gold_special,https://www.mercadolibre.com.co/marvel-ultimate-alliance-3-the-black-order-marvel-ultimate-alliance-standard-edition-nintendo-switch-fisico/p/MCO15263370,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,319990,,1,,True,2042-02-06T19:23:06.000Z,True,[],,MCO1144,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,175741711,TIENDAJUEGOSHD,36.0,8888.61,0.0,COP,
MCO1102142366,Consola Sony Playstation Ps4 Slim 1tb + Control + Juegos,used,MCO6454377,gold_special,https://articulo.mercadolibre.com.co/MCO-1102142366-consola-sony-playstation-ps4-slim-1tb-control-juegos-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,1899999,,1,,True,2042-11-25T04:00:00.000Z,False,[],,MCO1144,False,True,xd_drop_off,me2,['self_service_in'],,,53387092,FIXXER STORE,36.0,52777.75,0.0,COP,Sony
MCO601817741,Kit Carga Y Juega Xbox One One S One X Juega Sin Limites,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-601817741-kit-carga-y-juega-xbox-one-one-s-one-x-juega-sin-limites-_JM,buy_it_now,MCO,MCO117088,MCO-GAME_CONSOLE_POWER_SUPPLIES,22990,,1,,True,2041-01-09T04:00:00.000Z,False,[],,MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,681539258,JDHEPABUSINESS,36.0,638.61,0.0,COP,
MCO927396314,Silla De Escritorio Trust Gxt 716 Rizza Gamer Ergonómica  Negra Con Tapizado De Cuero Sintético,new,MCO19036762,gold_special,https://www.mercadolibre.com.co/silla-de-escritorio-trust-gxt-716-rizza-gamer-ergonomica-negra-con-tapizado-de-cuero-sintetico/p/MCO19036762,buy_it_now,MCO,MCO447782,MCO-OFFICE_CHAIRS,1399900,1899900.0,1,328.0,True,2042-07-13T04:00:00.000Z,True,[],Trust,MCO1144,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,264865901,TIENDAS.OFICIAL,36.0,38886.11,0.0,COP,Trust
MCO1233751350,Consola Nintendo Dsi ( Dsi )  Metallic Blue,used,MCO6107949,gold_special,https://articulo.mercadolibre.com.co/MCO-1233751350-consola-nintendo-dsi-dsi-metallic-blue-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,330000,,1,,True,2043-02-05T04:00:00.000Z,False,[],,MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,728737438,RETROGAMEBITS.STORE,36.0,9166.67,0.0,COP,Nintendo
