id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1301820115,Bateria Auditiva Rayovac #13 X 6und,new,MCO22212206,gold_special,https://www.mercadolibre.com.co/bateria-auditiva-rayovac-13-x-6und/p/MCO22212206,buy_it_now,MCO,MCO7279,MCO-CELL_BATTERIES,15900,,250,50043.0,Farmaweb,True,2043-05-29T04:00:00.000Z,True,[],MCO1000,False,False,cross_docking,me2,['self_service_out'],,,388680094,FARMAWEBGROUP,,,,,Locatel
MCO1347121048,Parlante Bafle Pequeño Mini Altavoz Bluetooth Usb Tg-184,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1347121048-parlante-bafle-pequeno-mini-altavoz-bluetooth-usb-tg-184-_JM,buy_it_now,MCO,MCO434927,MCO-SPEAKERS,31200,39000.0,1,,,True,2043-03-17T04:00:00.000Z,False,[],MCO1000,False,False,cross_docking,me2,['self_service_in'],,,265213021,CASTROLAURA19980512,12.0,2600.0,0.0,COP,Genérica
MCO944194738,Almohadillas Para Audífonos Bose 35 Qc35 Ii Qc15 Qc25  Otros,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-944194738-almohadillas-para-audifonos-bose-35-qc35-ii-qc15-qc25-otros-_JM,buy_it_now,MCO,MCO3697,MCO-HEADPHONES,35511,39900.0,1,,,True,2042-08-10T04:00:00.000Z,False,[],MCO1000,False,False,xd_drop_off,me2,['self_service_out'],,,485767416,SIMPLE ACCESORIOS,36.0,986.42,0.0,COP,Simple Accesorios
MCO1902384078,Luz Led Astrom Ast-6122-18  Par 64 10x183 ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1902384078-luz-led-astrom-ast-6122-18-par-64-10x183-_JM,buy_it_now,MCO,MCO417360,MCO-LED_STAGE_LIGHTS,209900,,50,,,True,2043-09-06T04:00:00.000Z,False,[],MCO1000,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,465435839,ELECTRONICAINTERNACIONALLAG,12.0,17491.67,0.0,COP,Astrom
MCO1815067222,Proyector 19000 Lúmenes 1080p Nativo Wifi Bluetooth ,new,MCO21883700,gold_pro,https://articulo.mercadolibre.com.co/MCO-1815067222-proyector-19000-lumenes-1080p-nativo-wifi-bluetooth-_JM,buy_it_now,MCO,MCO11889,MCO-PROJECTORS,632200,1090000.0,1,,,True,2044-02-16T15:49:53.217Z,False,[],MCO1000,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,264368762,13 LABODEGA,12.0,52683.33,0.0,COP,"Proyector Máximo brillo 19000 Lúmenes Resolución Nativa 1080P Full HD Wifi  doble banda, Bluetooth"
MCO462687217,Temporizador Timer Programable Digital Retie,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-462687217-temporizador-timer-programable-digital-retie-_JM,buy_it_now,MCO,MCO1070,MCO-ELECTRONIC_PRODUCTS,59900,,500,,,True,2043-04-05T01:50:04.000Z,False,[],MCO1000,False,False,xd_drop_off,me2,['self_service_in'],,,39941401,INVERSIONESFIE LEONARDOMELENGE,36.0,1663.89,0.0,COP,Excelite
MCO564371575,Audifonos Bluetooth Audifonos Diadema Audifonos Inalambricos,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-564371575-audifonos-bluetooth-audifonos-diadema-audifonos-inalambricos-_JM,buy_it_now,MCO,MCO3697,MCO-HEADPHONES,42990,47990.0,1,,,True,2042-09-18T04:06:40.000Z,False,[],MCO1000,False,False,cross_docking,me2,['self_service_in'],,,568880115,PALMERASHOP I,36.0,1194.17,0.0,COP,NIA
MCO878005107,Drone Sjrc F11 4k Pro Con Cámara 4k Plateado Gris 5ghz 1 Batería,new,MCO17236285,gold_special,https://www.mercadolibre.com.co/drone-sjrc-f11-4k-pro-con-camara-4k-plateado-gris-5ghz-1-bateria/p/MCO17236285,buy_it_now,MCO,MCO156677,MCO-DRONES,1299000,,1,,,True,2042-03-30T04:00:00.000Z,True,[],MCO1000,False,True,fulfillment,me2,"['fulfillment', 'self_service_out', 'mandatory_free_shipping']",,,609716481,MYDREAM TOYCOLOMBIA,36.0,36083.33,0.0,COP,SJRC
MCO821478972,Tronsmart T6 Pro Altavoz Bluetooth 45 Watts Ipx6,new,MCO19560029,gold_special,https://articulo.mercadolibre.com.co/MCO-821478972-tronsmart-t6-pro-altavoz-bluetooth-45-watts-ipx6-_JM,buy_it_now,MCO,MCO3691,MCO-SPEAKERS,390699,,1,,,True,2041-10-10T04:00:00.000Z,False,[],MCO1000,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,89064143,IMOPA SAS,36.0,10852.75,0.0,COP,Tronsmart
MCO1311396695,Audios Lenovo Xt80 Manos Libres Sport Auriculares,new,MCO19969912,gold_pro,https://articulo.mercadolibre.com.co/MCO-1311396695-audios-lenovo-xt80-manos-libres-sport-auriculares-_JM,buy_it_now,MCO,MCO3697,MCO-HEADPHONES,79900,,1,,,True,2043-06-30T04:00:00.000Z,False,[],MCO1000,False,False,xd_drop_off,me2,[],,,1304093571,GALEANOFERNEY20230206134650,12.0,6658.33,0.0,COP,Lenovo
