id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1173528360,5 Pesos 1978 Resello Asociación Numismática Granadina 1997,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1173528360-5-pesos-1978-resello-asociacion-numismatica-granadina-1997-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,35000,,1,,True,2042-12-29T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,143141724,WORLD COLLECTIONS100,36.0,972.22,0.0,COP,
MCO1362698427,Vendo Billetes De 10 Pesos Oro Para Coleccionistas ,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1362698427-vendo-billetes-de-10-pesos-oro-para-coleccionistas-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,500000,,1,,True,2043-11-15T19:30:30.513Z,False,[],,MCO1367,False,True,drop_off,me2,[],,,520492315,JOSELUISSALGADOBOHORQUEZ,36.0,13888.89,0.0,COP,Peso oro colombiano y 10 pesos oro colombiano
MCO1962803738,"Moneda De Oro Donald Trump 2017, Moneda Coleccionable Cha",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1962803738-moneda-de-oro-donald-trump-2017-moneda-coleccionable-cha-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,100900,,1,,True,2043-10-08T04:00:00.000Z,False,[],,MCO1367,False,True,drop_off,me2,['mandatory_free_shipping'],,,236966644,COMERCIALIZADORA_GONZALEZ,36.0,2802.78,0.0,COP,GOPBOX
MCO1912554924,"Grabador De Gramófono Realista, Tocadiscos De Casete,",new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1912554924-grabador-de-gramofono-realista-tocadiscos-de-casete-_JM,buy_it_now,MCO,MCO442108,MCO-ANTIQUE_TAPE_RECORDERS,46758,70314.0,1,,True,2043-09-12T04:00:00.000Z,False,[],,MCO1367,False,True,drop_off,me2,['mandatory_free_shipping'],,,751846459,BAOBLAZECO2,12.0,3896.5,0.0,COP,Other
MCO453617531,Jeep Willis Antiguo Metalico De Coleccion Restaurado,used,gold_pro,https://articulo.mercadolibre.com.co/MCO-453617531-jeep-willis-antiguo-metalico-de-coleccion-restaurado-_JM,buy_it_now,MCO,MCO439433,MCO-ANTIQUES,700000,,1,,True,2041-06-12T16:01:07.000Z,False,[],,MCO1367,False,False,custom,custom,[],,,142560917,PULGUEROPERSACALI,12.0,58333.33,0.0,COP,ANTIQUES
MCO452153815,Moneda España De 50 Pesetas De 1982 Rey Juan Carlos,used,gold_special,https://articulo.mercadolibre.com.co/MCO-452153815-moneda-espana-de-50-pesetas-de-1982-rey-juan-carlos-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,7978,,1,,True,2042-11-16T18:16:08.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,95325698,RONCESVALLES2010,,,,,
MCO454348789,Pato Antiguo Hindu Tallado En Madera Incrustacion En Bronce,used,gold_pro,https://articulo.mercadolibre.com.co/MCO-454348789-pato-antiguo-hindu-tallado-en-madera-incrustacion-en-bronce-_JM,buy_it_now,MCO,MCO439433,MCO-ANTIQUES,90000,,1,,True,2041-06-12T16:01:00.000Z,False,[],,MCO1367,False,False,custom,custom,[],,,142560917,PULGUEROPERSACALI,12.0,7500.0,0.0,COP,ANTIQUES
MCO1614251702,Billetes Dragón Rojo,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1614251702-billetes-dragon-rojo-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,100000,,50,,True,2043-05-20T04:00:00.000Z,False,[],,MCO1367,False,True,xd_drop_off,me2,[],,,26392150,NUMISMATICS INT,36.0,2777.78,0.0,COP,
MCO458859999,Colombia Moneda 10 Pesos 1992,used,gold_special,https://articulo.mercadolibre.com.co/MCO-458859999-colombia-moneda-10-pesos-1992-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,3000,,1,,True,2037-10-28T21:11:49.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,,,,,
MCO478206876,Medalla Campeonato Mundial De Fútbol Chile 1962,used,gold_special,https://articulo.mercadolibre.com.co/MCO-478206876-medalla-campeonato-mundial-de-futbol-chile-1962-_JM,buy_it_now,MCO,MCO442064,MCO-MEDALS,125000,,1,,True,2038-07-14T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,143141724,WORLD COLLECTIONS100,36.0,3472.22,0.0,COP,
MCO459106587,Colombia Moneda 50 Centavos 1975,used,gold_special,https://articulo.mercadolibre.com.co/MCO-459106587-colombia-moneda-50-centavos-1975-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,7000,,1,,True,2037-11-02T20:42:11.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,,,,,
MCO1841622424,Colombia 100 Pesos Oro 20 De Julio 1971 8 Dígitos,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1841622424-colombia-100-pesos-oro-20-de-julio-1971-8-digitos-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,14000,,1,,True,2043-08-26T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,,,,,
MCO646570128,Bandera Lgbt Multicolor 1m X 0.7m,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-646570128-bandera-lgbt-multicolor-1m-x-07m-_JM,buy_it_now,MCO,MCO393901,MCO-FLAGS,29900,,1,,True,2041-07-09T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,78101977,RUNNER777,12.0,2491.67,0.0,COP,
MCO477109787,Moneda Francia 5 Centimos 1966,used,gold_special,https://articulo.mercadolibre.com.co/MCO-477109787-moneda-francia-5-centimos-1966-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,8000,,1,,True,2038-07-06T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO1972608440,Billete Cien Pesos 1951,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1972608440-billete-cien-pesos-1951-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,125000,,1,,True,2043-10-14T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,5607144,NUMISCOLQ,36.0,3472.22,0.0,COP,
MCO816562919,"Trofeos De Plástico Twdrer, Para Niños, Con 12 Medallas",new,gold_pro,https://articulo.mercadolibre.com.co/MCO-816562919-trofeos-de-plastico-twdrer-para-ninos-con-12-medallas-_JM,buy_it_now,MCO,MCO413508,MCO-TROPHIES,140870,,1,,True,2041-09-27T04:00:00.000Z,False,[],,MCO1367,False,True,cross_docking,me2,['mandatory_free_shipping'],,,821576042,CLUBENVIOSCO2,12.0,11739.17,0.0,COP,Twdrer
MCO477807108,Moneda Argentina 1 Peso Año 1975 Usado Circulado,used,gold_special,https://articulo.mercadolibre.com.co/MCO-477807108-moneda-argentina-1-peso-ano-1975-usado-circulado-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,4000,,1,,True,2038-07-11T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO455152656,Colombia 100 Pesos 1 Enero 1983,new,gold_special,https://articulo.mercadolibre.com.co/MCO-455152656-colombia-100-pesos-1-enero-1983-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,22000,,1,,True,2037-08-23T14:18:56.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,611.11,0.0,COP,
MCO889472141,"Máquina De Escribir We R Memory Keepers 0718813102971, Color",new,gold_pro,https://articulo.mercadolibre.com.co/MCO-889472141-maquina-de-escribir-we-r-memory-keepers-0718813102971-color-_JM,buy_it_now,MCO,MCO442097,MCO-TYPEWRITERS,2059912,,1,,True,2042-04-29T04:00:00.000Z,False,[],,MCO1367,False,True,cross_docking,me2,['mandatory_free_shipping'],,,1055693607,CLUBENVIOSLLCCO,12.0,171659.33,0.0,COP,We R Memory Keepers
MCO478436090,Moneda Panamá Un 1 Centésimo Urraca 1967 Usado Circulado,used,gold_special,https://articulo.mercadolibre.com.co/MCO-478436090-moneda-panama-un-1-centesimo-urraca-1967-usado-circulado-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,5000,,1,,True,2038-07-16T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO942069897,Porcelana Antigua La Abuela Pintora Monti Fiero Spain,used,gold_special,https://articulo.mercadolibre.com.co/MCO-942069897-porcelana-antigua-la-abuela-pintora-monti-fiero-spain-_JM,buy_it_now,MCO,MCO439433,MCO-ANTIQUES,180000,,1,,True,2042-08-06T04:00:00.000Z,False,[],,MCO1367,False,False,custom,custom,[],,,142560917,PULGUEROPERSACALI,36.0,5000.0,0.0,COP,ANTIQUES
MCO978621115,Colombia 5 Pesos 1 Enero 1950,used,gold_special,https://articulo.mercadolibre.com.co/MCO-978621115-colombia-5-pesos-1-enero-1950-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,110000,,1,,True,2042-09-28T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,3055.56,0.0,COP,
MCO480405227,Monedas España 5 Pesetas 1989 Formato Nuevo,used,gold_special,https://articulo.mercadolibre.com.co/MCO-480405227-monedas-espana-5-pesetas-1989-formato-nuevo-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,4000,,1,,True,2038-08-03T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO1343548069,Placas Metálicas Decorativas Estilo Retro X3,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1343548069-placas-metalicas-decorativas-estilo-retro-x3-_JM,buy_it_now,MCO,MCO168946,MCO-POSTERS,42800,,250,,True,2043-09-24T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,735538649,DECORARTEVINTAGE,12.0,3566.67,0.0,COP,Placas decorativas vintage cuadros póster
MCO1330607919,Colombia 100 Pesos Oro 1 De Enero 1964,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1330607919-colombia-100-pesos-oro-1-de-enero-1964-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,42000,,1,,True,2043-08-19T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,1166.67,0.0,COP,
MCO483000168,"Medio Real 1838 Popayán, Nueva Granada Plata",used,gold_special,https://articulo.mercadolibre.com.co/MCO-483000168-medio-real-1838-popayan-nueva-granada-plata-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,420000,,1,,True,2038-08-25T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,143141724,WORLD COLLECTIONS100,36.0,11666.67,0.0,COP,
MCO1658406154,"Cinta De Tinta Negra Para Máquina De Escribir, 6 Juegos De A",new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1658406154-cinta-de-tinta-negra-para-maquina-de-escribir-6-juegos-de-a-_JM,buy_it_now,MCO,MCO442097,MCO-TYPEWRITERS,89133,112009.0,150,,True,2043-06-13T04:00:00.000Z,False,[],,MCO1367,False,True,drop_off,me2,['mandatory_free_shipping'],,,744957372,EMLIGHSTORECO,12.0,7427.75,0.0,COP,Genérica
MCO1907760940,"Espada Maestra De Link, Zelda, Con Soporte, Acero Inoxidable",new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1907760940-espada-maestra-de-link-zelda-con-soporte-acero-inoxidable-_JM,buy_it_now,MCO,MCO442246,MCO-COLLECTIBLE_SWORDS,1462905,1539900.0,1,,True,2043-09-08T04:00:00.000Z,False,[],,MCO1367,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,655393932,IMPOCOLOMBIA2,12.0,121908.75,0.0,COP,ZELDA
MCO483477622,Moneda Mexico 20 Centavos 1975,used,gold_special,https://articulo.mercadolibre.com.co/MCO-483477622-moneda-mexico-20-centavos-1975-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,9000,,1,,True,2038-08-29T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO530301049,Colombia Trío Consecutivo 100 Pesos Oro 12 Octubre 1986,new,gold_special,https://articulo.mercadolibre.com.co/MCO-530301049-colombia-trio-consecutivo-100-pesos-oro-12-octubre-1986-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,36000,,1,,True,2039-08-09T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,1000.0,0.0,COP,
MCO485813474, Papel Moneda Coleccion 6 Un Peso 1910-11-12 H-12 A M-13-16,used,gold_special,https://articulo.mercadolibre.com.co/MCO-485813474-papel-moneda-coleccion-6-un-peso-1910-11-12-h-12-a-m-13-16-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,262773,,1,,True,2042-11-16T18:16:16.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,95325698,RONCESVALLES2010,36.0,7299.25,0.0,COP,
MCO865732628,Bolivia Veinte Bolivianos  1986,new,gold_special,https://articulo.mercadolibre.com.co/MCO-865732628-bolivia-veinte-bolivianos-1986-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,18000,,1,,True,2042-02-25T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,748264739,COLECCIONES PRODUCTOSBOGOTA,,,,,
MCO503937131,"Porcelana Spartaco Con Leon, Firmado Tiziano-galli Italiana",used,gold_pro,https://articulo.mercadolibre.com.co/MCO-503937131-porcelana-spartaco-con-leon-firmado-tiziano-galli-italiana-_JM,buy_it_now,MCO,MCO439433,MCO-ANTIQUES,2300000,,1,,True,2042-11-17T20:35:54.000Z,False,[],,MCO1367,False,False,not_specified,not_specified,[],,,120586423,LIZETHASSEFF,12.0,191666.67,0.0,COP,
MCO497816772,Cuartillo 1 Cuarto De Real 1808 Nuevo Reino,used,gold_special,https://articulo.mercadolibre.com.co/MCO-497816772-cuartillo-1-cuarto-de-real-1808-nuevo-reino-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,730000,,1,,True,2038-12-12T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,143141724,WORLD COLLECTIONS100,36.0,20277.78,0.0,COP,
MCO871889216,Caja Registradora Antigua - Decorativa,used,gold_special,https://articulo.mercadolibre.com.co/MCO-871889216-caja-registradora-antigua-decorativa-_JM,buy_it_now,MCO,MCO442143,MCO-ANTIQUE_CASH_REGISTERS,1070000,,1,,True,2042-03-13T04:00:00.000Z,False,[],,MCO1367,False,False,not_specified,not_specified,[],,,55765466,CALZADO CHAPULÍN,36.0,29722.22,0.0,COP,NCR
