id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id
MCO1757585756,365 Historias Una Por Noche Lexus,new,MCO19973665,gold_pro,https://www.mercadolibre.com.co/365-historias-una-por-noche-lexus/p/MCO19973665,buy_it_now,MCO,MCO1196,MCO-BOOKS,60993,1,,True,2043-07-26T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,['MCO-chg-threshold-Jan-23'],,,702052164,VAMA8993855,12.0,5082.75,0.0,COP
MCO1368720177,Cartilla Nacho Lee Original - Cartilla De Lectura,new,MCO19941696,gold_pro,https://www.mercadolibre.com.co/cartilla-nacho-lee-original-cartilla-de-lectura/p/MCO19941696,buy_it_now,MCO,MCO1196,MCO-BOOKS,9801,1,,True,2043-11-30T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,['self_service_in'],,,1349051192,AVILALUIS20230409190710,,,,
MCO1915925740,"Invisible, De Eloy Moreno. Editorial Nube De Tinta, Tapa Blanda En Español",new,MCO25334757,gold_special,https://www.mercadolibre.com.co/invisible-de-eloy-moreno-editorial-nube-de-tinta-tapa-blanda-en-espanol/p/MCO25334757,buy_it_now,MCO,MCO1196,MCO-BOOKS,50000,1,,True,2043-09-15T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1388.89,0.0,COP
MCO1241072822,El Kybalion Los Tres Iniciados / Ilustrado,new,MCO21190508,gold_special,https://www.mercadolibre.com.co/el-kybalion-los-tres-iniciados-ilustrado/p/MCO21190508,buy_it_now,MCO,MCO1196,MCO-BOOKS,40000,1,,True,2043-02-11T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1111.11,0.0,COP
MCO1282694185,"El Hombre Que Calculaba: Aprende Matemáticas De Forma Divertida, De Malba Tahan. Serie 9584886828, Vol. 1. Editorial Ediciones Modernas, Tapa Blanda, Edición 2020 En Español, 2020",new,MCO21329979,gold_special,https://www.mercadolibre.com.co/el-hombre-que-calculaba-aprende-matematicas-de-forma-divertida-de-malba-tahan-serie-9584886828-vol-1-editorial-ediciones-modernas-tapa-blanda-edicion-2020-en-espanol-2020/p/MCO21329979,buy_it_now,MCO,MCO1196,MCO-BOOKS,20000,1,,True,2043-04-07T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,555.56,0.0,COP
MCO1363498109,Libro El Sutil Arte De Que Te Importe Un Carajo,new,MCO20899128,gold_special,https://www.mercadolibre.com.co/libro-el-sutil-arte-de-que-te-importe-un-carajo/p/MCO20899128,buy_it_now,MCO,MCO1196,MCO-BOOKS,87000,1,,True,2043-11-17T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,"['MCO-chg-threshold-Jan-23', 'self_service_in']",,,394380898,MUNDIALDELIBROS,36.0,2416.67,0.0,COP
MCO1318585149,Tratado De La Verdadera Devoción A María,new,MCO21330685,gold_special,https://www.mercadolibre.com.co/tratado-de-la-verdadera-devocion-a-maria/p/MCO21330685,buy_it_now,MCO,MCO1196,MCO-BOOKS,17900,50,,True,2043-07-19T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,[],,,216484233,ALMACEN LITURGICO,,,,
MCO1336189163,Estuche Tolkien: El Hobbit + El Señor De Los Anillos,new,MCO21026756,gold_special,https://www.mercadolibre.com.co/estuche-tolkien-el-hobbit-el-senor-de-los-anillos/p/MCO21026756,buy_it_now,MCO,MCO1196,MCO-BOOKS,380000,1,,True,2043-09-03T04:00:00.000Z,True,[],,MCO3025,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,394380898,MUNDIALDELIBROS,36.0,10555.56,0.0,COP
MCO1320155965,Mis 100 Historias Biblicas Favoritas®,new,MCO21205653,gold_pro,https://www.mercadolibre.com.co/mis-100-historias-biblicas-favoritas/p/MCO21205653,buy_it_now,MCO,MCO1196,MCO-BOOKS,29945,1,,True,2043-07-23T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,[],,,702052164,VAMA8993855,12.0,2495.42,0.0,COP
MCO1237989276,"Pokémon Guía Definitiva De La Región Galar: Libro Oficial, De Varios Autores. Serie Pokémon, Vol. 1. Editorial Montena, Tapa Blanda, Edición 2021 En Español, 2021",new,MCO21330625,gold_special,https://www.mercadolibre.com.co/pokemon-guia-definitiva-de-la-region-galar-libro-oficial-de-varios-autores-serie-pokemon-vol-1-editorial-montena-tapa-blanda-edicion-2021-en-espanol-2021/p/MCO21330625,buy_it_now,MCO,MCO1196,MCO-BOOKS,49000,1,2068.0,True,2043-02-09T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36.0,1361.11,0.0,COP
MCO1787523944,"El Método Silva De Control Mental - José Silva, Philip Miele",new,MCO22003111,gold_special,https://www.mercadolibre.com.co/el-metodo-silva-de-control-mental-jose-silva-philip-miele/p/MCO22003111,buy_it_now,MCO,MCO1196,MCO-BOOKS,42000,1,2068.0,True,2043-08-09T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36.0,1166.67,0.0,COP
MCO1639138888,El Milagro Antiestrés ( Libro Y Original),new,MCO20740950,gold_special,https://www.mercadolibre.com.co/el-milagro-antiestres-libro-y-original/p/MCO20740950,buy_it_now,MCO,MCO1196,MCO-BOOKS,45500,1,,True,2043-06-01T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1263.89,0.0,COP
MCO1319575297,"¡tómate Un Respiro! Mindfulness, De Mario Alonso Puig. Serie 9584264442, Vol. 1. Editorial Norma, Tapa Blanda, Edición 1 En Español, 2014",new,MCO24153230,gold_special,https://www.mercadolibre.com.co/tomate-un-respiro-mindfulness-de-mario-alonso-puig-serie-9584264442-vol-1-editorial-norma-tapa-blanda-edicion-1-en-espanol-2014/p/MCO24153230,buy_it_now,MCO,MCO1196,MCO-BOOKS,58000,1,,True,2043-07-22T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1611.11,0.0,COP
