id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname
MCO2191822438,Precio Oportunidad Apartamento Nuevo Transversal Intermedia Envigado,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2191822438-precio-oportunidad-apartamento-nuevo-transversal-intermedia-envigado-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,1163000000,1,,,False,2024-07-30T04:00:00.000Z,"{'address_line': 'Cra. 27AA # 36 Sur 151, Siena, Envigado, Antioquia, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYQ3VtYnJlc1RVTlBRMFZPVmpVNVlqWXg', 'name': 'Cumbres'}, 'city': {'id': 'TUNPQ0VOVjU5YjYx', 'name': 'Envigado'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1675212, 'longitude': -75.5711865}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1662528731,SONIARIVERA_INMOBILIARIA
MCO2102999142,Venta De Apartamento Medellín Loma Del Indio,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2102999142-venta-de-apartamento-medellin-loma-del-indio-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,647000000,1,,,False,2024-06-15T04:00:00.000Z,"{'address_line': 'Loma Del Indio', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2272582, 'longitude': -75.5631065}","{'contact': 'Proyecta IN Inmobiliaria S.A.S', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1499097882,PROYECTAPROYECTA20231003150329
MCO1388422461,Apartamento En Arriendo Poblado Sector La Frontera,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1388422461-apartamento-en-arriendo-poblado-sector-la-frontera-_JM,classified,MCO,MCO1473,MCO-APARTMENTS_FOR_RENT,6500000,1,,,False,2024-05-06T14:14:27.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBRjkxMjAxNg', 'name': 'La Frontera'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2476376, 'longitude': -75.5658153}","{'contact': 'Grupo Respaldo Inmobiliario', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1194088518,GRUPORESPALDOINMOBILIARIOSA
MCO1391616971,Vendo Permuto Bodega En Barrio Carvajal,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-1391616971-vendo-permuto-bodega-en-barrio-carvajal-_JM,classified,MCO,MCO50566,MCO-WAREHOUSES_FOR_SALE,1500000000,1,,,False,2025-02-12T04:00:00.000Z,"{'address_line': 'Cra 69 bis 31', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNBUjEzMzM1', 'name': 'Carvajal'}, 'city': {'id': 'TUNPQ0tFTjQyODYy', 'name': 'Kennedy'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6130458, 'longitude': -74.1347655}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,262609228,INMOBILIARIA SPC
MCO2204191102,Bodega En Arriendo En Medellin Sector Aguacatala,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-2204191102-bodega-en-arriendo-en-medellin-sector-aguacatala-_JM,classified,MCO,MCO50565,MCO-WAREHOUSES_FOR_RENT,10000000,1,,,False,2025-02-11T14:19:18.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkFHVTkzODgwMQ', 'name': 'Aguacatala'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2460043, 'longitude': -75.5704226}","{'contact': 'Grupo Respaldo Inmobiliario', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1194088518,GRUPORESPALDOINMOBILIARIOSA
MCO2212858746,Finca Ganadera ,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-2212858746-finca-ganadera-_JM,classified,MCO,MCO6403,MCO-FARM_HOUSES_FOR_SALE,6000000,1,,,False,2024-03-18T04:00:00.000Z,"{'address_line': 'Coello, Tolima, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0NPRWRiYzc3', 'name': 'Coello'}, 'state': {'id': 'TUNPUFRPTGExNGZkNA', 'name': 'Tolima'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.286261, 'longitude': -74.897875}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1573927901,GARZONJOSEFINA20231202125537
MCO1312363929,"Ven Y Descubre Tu Paraíso En Ruitoque Resort ! Tenemos Las Parcelas Más Exclusivas , Lo Mejor De Todo¡  Financiacion Propia. ",used,gold_premium,https://lote-casalote.mercadolibre.com.co/MCO-1312363929-ven-y-descubre-tu-paraiso-en-ruitoque-resort-tenemos-las-parcelas-mas-exclusivas-lo-mejor-de-todo-financiacion-propia-_JM,classified,MCO,MCO52059,MCO-INDIVIDUAL_LANDS_FOR_SALE,250000000,1,,,False,2024-07-10T14:15:48.858Z,"{'address_line': '2V43+7X Girón, Santander, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0dJUjYzMWEx', 'name': 'Girón'}, 'state': {'id': 'TUNPUFNBTnJlMjMw', 'name': 'Santander'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 7.0057012, 'longitude': -73.1450717}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,670917951,GLORIAURIBESI
MCO1391965513,Apartamento En Venta San Patricio,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1391965513-apartamento-en-venta-san-patricio-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,468000000,1,,,False,2024-08-12T04:00:00.000Z,"{'address_line': 'Carrera 15a # 106 - 90, Usaquén, Cundinamarca, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNFRDQ1MjM5Mw', 'name': 'Cedritos'}, 'city': {'id': 'TUNPQ0JPRzYwNjYwNA', 'name': 'Bogota'}, 'state': {'id': 'TUNPUENVTmE3NmQ4', 'name': 'Cundinamarca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6919359, 'longitude': -74.0458477}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1680617812,ENCASA_INMOBILIARIA
MCO2215861072,En Venta Exclusivo Apartamento Mediterrane Royal Floridablanca ,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2215861072-en-venta-exclusivo-apartamento-mediterrane-royal-floridablanca-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,358000000,1,,,False,2024-08-17T04:00:00.000Z,"{'address_line': 'Anillo Vial', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0ZMTzcwZTNh', 'name': 'Floridablanca'}, 'state': {'id': 'TUNPUFNBTnJlMjMw', 'name': 'Santander'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 7.0607816, 'longitude': -73.1119036}","{'contact': 'MI BIEN Servicios inmobiliarios', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,394963412,INMOBILIARIAMIBIEN
MCO1355230035,Venta Apartamento Nuevo Camino Verde Envigado,new,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1355230035-venta-apartamento-nuevo-camino-verde-envigado-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,550000000,1,,,False,2024-05-09T23:02:01.261Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYQ2FtaW5vIFZlcmRlVFVOUFEwVk9WalU1W', 'name': 'Camino Verde'}, 'city': {'id': 'TUNPQ0VOVjU5YjYx', 'name': 'Envigado'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1518149, 'longitude': -75.5763526}","{'contact': 'Octava Inmobiliaria', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,166867364,OCTAVA INMOBILIARIA
MCO1386831443,Finca Vereda San José Guarne Tranquila Linda Vista Y Cabaña ,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-1386831443-finca-vereda-san-jose-guarne-tranquila-linda-vista-y-cabana-_JM,classified,MCO,MCO6403,MCO-FARM_HOUSES_FOR_SALE,1250000000,1,,,False,2024-02-29T04:00:00.000Z,"{'address_line': 'Vereda San Jose SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYQ2VudHJvIEd1YXJuZVRVTlBRMGRWUVRWa', 'name': 'Centro Guarne'}, 'city': {'id': 'TUNPQ0dVQTVkOTk0', 'name': 'Guarne'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2443626, 'longitude': -75.4513087}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,438268767,BJANCKE10
MCO2026937200,"Venta De Casa En Altos De Capri,manizales ",new,gold_premium,https://casa.mercadolibre.com.co/MCO-2026937200-venta-de-casa-en-altos-de-caprimanizales-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,290000000,1,,,False,2024-05-13T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkFMVDgyMjg2Mw', 'name': 'Altos de Capri'}, 'city': {'id': 'TUNPQ01BTmMwNDc4', 'name': 'Manizales'}, 'state': {'id': 'TUNPUENBTHNjODY4', 'name': 'Caldas'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 5.0653272, 'longitude': -75.4865498}","{'contact': 'Castro Rosero Inmobiliaria', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,499893705,CASTROROSERO INMOBILIARIA
