id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO605511052,Soldadura Aluminio No Necesita Polvo Fundente X 2 Varillas,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-605511052-soldadura-aluminio-no-necesita-polvo-fundente-x-2-varillas-_JM,buy_it_now,MCO,MCO167011,MCO-WELDING_MACHINES,19990,,1,,True,2041-01-28T04:00:00.000Z,False,[],,MCO175794,False,False,xd_drop_off,me2,[],,,35334521,GUSTAVOADOLFO_CAB,36.0,555.28,0.0,COP,Genérica
MCO937230762,Boquilla Gas Butano Chispero Y Cilindro Combo Kit,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-937230762-boquilla-gas-butano-chispero-y-cilindro-combo-kit-_JM,buy_it_now,MCO,MCO5236,MCO-TOOL_AND_CONSTRUCTION_SUPPLIES,160000,,1,,True,2042-07-29T04:00:00.000Z,False,[],,MCO175794,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,166528358,FERRETERIA GERARDOBARRERASAS,36.0,4444.44,0.0,COP,WT Wall Quality Tools
MCO596734509,Compresor Aire Gratis Pistola Manguera Truper 50lts 3 1/2 Hp,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-596734509-compresor-aire-gratis-pistola-manguera-truper-50lts-3-12-hp-_JM,buy_it_now,MCO,MCO113547,MCO-AIR_COMPRESSORS,999850,,1,,True,2040-11-27T04:00:00.000Z,False,[],,MCO175794,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,261706700,FERRETODO CALI,36.0,27773.61,0.0,COP,Truper
MCO461490744,Juego De 7 Puntas Torx Con Seguro Largo 2'' Truper,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-461490744-juego-de-7-puntas-torx-con-seguro-largo-2-truper-_JM,buy_it_now,MCO,MCO372032,MCO-TOOL_AND_CONSTRUCTION_SUPPLIES,11700,,500,,True,2037-12-13T22:33:44.000Z,False,[],,MCO175794,False,False,cross_docking,me2,[],,,266915212,FERRETERIA_DE_MARCA,,,,,Truper
MCO589373420,Soldador Inversor Furius Mini Fix 181 + Careta Fw41,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-589373420-soldador-inversor-furius-mini-fix-181-careta-fw41-_JM,buy_it_now,MCO,MCO167011,MCO-WELDING_MACHINES,549900,549900.0,1,450.0,True,2040-10-10T04:00:00.000Z,False,[],Maquitodo,MCO175794,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,297702699,RAULZEAMEDINA,36.0,15275.0,0.0,COP,Furius
MCO1953611618,Engrapadora Uso Rudo Pesado Stanley Tr150,new,MCO23537117,gold_special,https://www.mercadolibre.com.co/engrapadora-uso-rudo-pesado-stanley-tr150/p/MCO23537117,buy_it_now,MCO,MCO371993,MCO-MANUAL_STAPLERS_AND_BRAD_NAILERS,188500,,1,515.0,True,2043-10-04T04:00:00.000Z,True,[],Belltec,MCO175794,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,205607103,BELLTEC SAS,36.0,5236.11,0.0,COP,Stanley
MCO926149317,Mototool 130w Takima 110v Hz60 30000rpm 2.3mm Sin Accesorios,new,MCO20767964,gold_pro,https://articulo.mercadolibre.com.co/MCO-926149317-mototool-130w-takima-110v-hz60-30000rpm-23mm-sin-accesorios-_JM,buy_it_now,MCO,MCO167012,MCO-MICRO_ROTARY_TOOLS,63900,,150,,True,2042-07-10T04:00:00.000Z,False,[],,MCO175794,False,False,xd_drop_off,me2,[],,,1160116463,IMPORTADORA BORACAY,12.0,5325.0,0.0,COP,Takima
MCO2074852368,Cincel Plano De 3/4 X 12 Con Protector,new,MCO28570360,gold_special,https://www.mercadolibre.com.co/cincel-plano-de-34-x-12-con-protector/p/MCO28570360,buy_it_now,MCO,MCO414196,MCO-CHISELS,20000,,1,,True,2043-11-27T04:00:00.000Z,True,[],,MCO175794,False,False,xd_drop_off,me2,[],,,420575390,ROJO FERRETERIAS,36.0,555.56,0.0,COP,Truper
MCO922498810,Maquina Para Sellar Bolsas Plásticas 400mm Cuerpo Metalico,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-922498810-maquina-para-sellar-bolsas-plasticas-400mm-cuerpo-metalico-_JM,buy_it_now,MCO,MCO113526,MCO-TOOL_AND_CONSTRUCTION_SUPPLIES,127309,139900.0,1,,True,2043-02-03T21:19:21.000Z,False,[],,MCO175794,False,True,drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,88437052,TUFERRETERIA.CO,12.0,10609.08,0.0,COP,USA TOOLS
MCO929046535,"Fresa Copiadora  38 Mm De Corte, Ruteadora 1/4, Carpintería ",new,,gold_special,https://articulo.mercadolibre.com.co/MCO-929046535-fresa-copiadora-38-mm-de-corte-ruteadora-14-carpinteria-_JM,buy_it_now,MCO,MCO372120,MCO-MILLING_CUTTERS,32922,34655.0,1,,True,2043-05-31T22:45:28.000Z,False,[],,MCO175794,False,False,xd_drop_off,me2,[],,,46682649,VARMONT44,36.0,914.5,0.0,COP,ZTD
MCO1320118784,Pulidora Industrial 4-1/2 710w Dsm02-115,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1320118784-pulidora-industrial-4-12-710w-dsm02-115-_JM,buy_it_now,MCO,MCO113523,MCO-ELECTRIC_POLISHERS,160000,,1,,True,2043-03-11T04:00:00.000Z,False,[],,MCO175794,False,True,drop_off,me2,['mandatory_free_shipping'],,,1054497228,MATT_GROUP,36.0,4444.44,0.0,COP,Dongcheng
MCO458720422,2 Rollos  Zuncho Plastico X 2000 Metros C/u,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-458720422-2-rollos-zuncho-plastico-x-2000-metros-cu-_JM,buy_it_now,MCO,MCO372032,MCO-TOOL_AND_CONSTRUCTION_SUPPLIES,150000,,1,,True,2040-04-25T23:01:13.000Z,False,[],,MCO175794,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,275809199,ALIGAB LOTIENE,12.0,12500.0,0.0,COP,Nacional
MCO617088311,Motor Electrico Trifasico 3hp Alta 3600 Rpm Industrial Nuevo,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-617088311-motor-electrico-trifasico-3hp-alta-3600-rpm-industrial-nuevo-_JM,buy_it_now,MCO,MCO113526,MCO-TOOL_AND_CONSTRUCTION_SUPPLIES,620000,,1,,True,2041-04-10T04:00:00.000Z,False,[],,MCO175794,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,732200371,INVERSIONESFERRETERASVENTAS,36.0,17222.22,0.0,COP,Power
MCO1202436623,Carretilla Doble Rueda Gran Capacidad 227 L Trabajo Pesado,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1202436623-carretilla-doble-rueda-gran-capacidad-227-l-trabajo-pesado-_JM,buy_it_now,MCO,MCO113531,MCO-TOOL_AND_CONSTRUCTION_SUPPLIES,370000,,50,,True,2043-01-20T04:00:00.000Z,False,[],,MCO175794,False,True,cross_docking,me2,['mandatory_free_shipping'],,,266915212,FERRETERIA_DE_MARCA,36.0,10277.78,0.0,COP,Truper
MCO571180688,Mototool 6 Vel. + Guaya Flexible + Accesorios 44pcs Truper,new,MCO9575229,gold_special,https://articulo.mercadolibre.com.co/MCO-571180688-mototool-6-vel-guaya-flexible-accesorios-44pcs-truper-_JM,buy_it_now,MCO,MCO167012,MCO-MICRO_ROTARY_TOOLS,209900,,1,,True,2040-07-11T04:00:00.000Z,False,[],,MCO175794,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,222830606,FERREIMPACTOFERREIMPACTO,36.0,5830.56,0.0,COP,Truper
MCO2093226536,Cortafrio Stanley #4 (84-124la),new,MCO24756361,gold_special,https://www.mercadolibre.com.co/cortafrio-stanley-4-84-124la/p/MCO24756361,buy_it_now,MCO,MCO167795,MCO-CUTTING_PLIERS,28899,,1,515.0,True,2043-12-08T04:00:00.000Z,True,[],Belltec,MCO175794,False,False,cross_docking,me2,['self_service_in'],,,205607103,BELLTEC SAS,36.0,802.75,0.0,COP,Stanley
MCO1285311787,Pulidora 5'' Makita Ga5020,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1285311787-pulidora-5-makita-ga5020-_JM,buy_it_now,MCO,MCO113523,MCO-ELECTRIC_POLISHERS,735900,840000.0,1,1960.0,True,2043-04-13T04:00:00.000Z,False,[],Almacenes HJ,MCO175794,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,311862503,ALMACENESHJ SAS,36.0,20441.67,0.0,COP,Makita
MCO2164535644,Rollo Soldadura Mig 0.30 (0.8mm) X 5 Kg ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-2164535644-rollo-soldadura-mig-030-08mm-x-5-kg-_JM,buy_it_now,MCO,MCO167011,MCO-WELDING_MACHINES,75000,,1,,True,2044-01-15T04:00:00.000Z,False,[],,MCO175794,False,False,xd_drop_off,me2,['self_service_in'],,,166528358,FERRETERIA GERARDOBARRERASAS,12.0,6250.0,0.0,COP,self shielded
MCO461491603,Espejo Telescopico Truper,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-461491603-espejo-telescopico-truper-_JM,buy_it_now,MCO,MCO372032,MCO-TOOL_AND_CONSTRUCTION_SUPPLIES,19700,,100,,True,2037-12-13T22:39:50.000Z,False,[],,MCO175794,False,False,cross_docking,me2,[],,,266915212,FERRETERIA_DE_MARCA,36.0,547.22,0.0,COP,Truper
MCO1092702144,Hidrolavadora 1 Bateria 48v Lavadora A Presión Portable,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1092702144-hidrolavadora-1-bateria-48v-lavadora-a-presion-portable-_JM,buy_it_now,MCO,MCO166618,MCO-ELECTRIC_PRESSURE_WASHERS,175945,319900.0,1,,True,2042-11-20T04:00:00.000Z,False,[],,MCO175794,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,546421444,GRUPO COMERCIA1,12.0,14662.08,0.0,COP,Squash
MCO657819069,Kit Set Destornilladores Todo En Uno Alta Precisión 22pcs  ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-657819069-kit-set-destornilladores-todo-en-uno-alta-precision-22pcs-_JM,buy_it_now,MCO,MCO166612,MCO-MANUAL_SCREWDRIVERS,14900,,1,,True,2041-08-15T04:00:00.000Z,False,[],,MCO175794,False,False,xd_drop_off,me2,['self_service_in'],,,790254776,NATALIAPATIORODRIGUEZ,,,,,set destornillador
MCO618119386,Pulidora 4.1/2  540w 12000 Rpm Makita Mt M0901b,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-618119386-pulidora-412-540w-12000-rpm-makita-mt-m0901b-_JM,buy_it_now,MCO,MCO113523,MCO-ELECTRIC_POLISHERS,254700,290100.0,1,1960.0,True,2041-04-16T04:00:00.000Z,False,[],Almacenes HJ,MCO175794,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,311862503,ALMACENESHJ SAS,36.0,7075.0,0.0,COP,Makita
MCO852751215,Organizador 20 Pg Con 64 Compartimentos Truper,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-852751215-organizador-20-pg-con-64-compartimentos-truper-_JM,buy_it_now,MCO,MCO372111,MCO-TOOL_ORGANIZERS_AND_STORAGE_CONTAINERS,146990,164400.0,1,1188.0,True,2042-01-20T04:00:00.000Z,False,[],Ferreco,MCO175794,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,244719950,FERRECO.,36.0,4083.06,0.0,COP,Truper
MCO1310189539,Punta Cónica 1/64'' Para Cautín Wm120 X Unidad Weller Mp131,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1310189539-punta-conica-164-para-cautin-wm120-x-unidad-weller-mp131-_JM,buy_it_now,MCO,MCO167011,MCO-WELDING_MACHINES,21900,,1,,True,2043-06-25T04:00:00.000Z,False,[],,MCO175794,False,False,xd_drop_off,me2,[],,,241719064,HERRAMIENTASINDUSTRIALESAS,36.0,608.33,0.0,COP,Weller
MCO1313488153,Segueta Metalica 12 X 24 Dientes Set X 12 Und,new,MCO24390821,gold_pro,https://www.mercadolibre.com.co/segueta-metalica-12-x-24-dientes-set-x-12-und/p/MCO24390821,buy_it_now,MCO,MCO414154,MCO-HAND_SAW_BLADES,24000,,1,,True,2043-07-05T04:00:00.000Z,True,[],,MCO175794,False,False,xd_drop_off,me2,['self_service_out'],,,379438969,ABASTECEDORA VAM,12.0,2000.0,0.0,COP,Uyustools
