id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1356483847,Colombia 500 Pesos Oro 20 Julio 1964,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1356483847-colombia-500-pesos-oro-20-julio-1964-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,788000,,1,True,2043-10-31T04:00:00.000Z,False,[],MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,21888.89,0.0,COP,
MCO1970456476,50 Centavos Set 1958 - 1966 10 Monedas ,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1970456476-50-centavos-set-1958-1966-10-monedas-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,400000,,1,True,2043-10-13T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,65616184,WORLD COLLECTIONS200,36.0,11111.11,0.0,COP,
MCO1193105310,Mini Maquina De Afeitar Electrica Usb De Bolsillo ,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1193105310-mini-maquina-de-afeitar-electrica-usb-de-bolsillo-_JM,buy_it_now,MCO,MCO442140,MCO-ANTIQUES,34900,,1,True,2043-01-09T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,1177161918,MEGAOFERTAS_SHOP,12.0,2908.33,0.0,COP,Genérica
MCO478434150,Moneda Panamá 1/4 Un Cuarto De Balboa 1979,used,gold_special,https://articulo.mercadolibre.com.co/MCO-478434150-moneda-panama-14-un-cuarto-de-balboa-1979-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,15000,,1,True,2038-07-16T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO2126775016,Billete Colombia 100 Pesos Certificado 20 De Julio 1973 Repo,new,gold_special,https://articulo.mercadolibre.com.co/MCO-2126775016-billete-colombia-100-pesos-certificado-20-de-julio-1973-repo-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,270000,,1,True,2043-12-28T04:00:00.000Z,False,[],MCO1367,False,True,cross_docking,me2,['mandatory_free_shipping'],,,55172203,DISTRIBUCIONES SANTANDER,36.0,7500.0,0.0,COP,Banco República
MCO864733916,Caja Musical Dragon Ball Z Tapión,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-864733916-caja-musical-dragon-ball-z-tapion-_JM,buy_it_now,MCO,MCO1885,MCO-ANTIQUES,42400,53000.0,1,True,2042-02-22T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,752565072,MEMORIES STORECOL,12.0,3533.33,0.0,COP,Genérica
MCO483474386,Moneda Mexico Bimetalica 1 Peso 1997,used,gold_special,https://articulo.mercadolibre.com.co/MCO-483474386-moneda-mexico-bimetalica-1-peso-1997-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,8000,,1,True,2038-08-29T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO824436780,Colombia 20000 Pesos 24 Agosto 2009,new,gold_special,https://articulo.mercadolibre.com.co/MCO-824436780-colombia-20000-pesos-24-agosto-2009-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,100000,,1,True,2041-10-19T04:00:00.000Z,False,[],MCO1367,False,True,drop_off,me2,['mandatory_free_shipping'],,,91086457,NIKY6919,36.0,2777.78,0.0,COP,
MCO882518626,Caja Musical Para Mi Esposa,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-882518626-caja-musical-para-mi-esposa-_JM,buy_it_now,MCO,MCO1885,MCO-ANTIQUES,42400,53000.0,1,True,2042-04-11T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,752565072,MEMORIES STORECOL,12.0,3533.33,0.0,COP,
MCO508792242,50 Centavos 1921 Lazareto,used,gold_special,https://articulo.mercadolibre.com.co/MCO-508792242-50-centavos-1921-lazareto-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,42000,,1,True,2039-03-30T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,143141724,WORLD COLLECTIONS100,36.0,1166.67,0.0,COP,
