id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1327124131,Vinilo Foo Fighters - But Here We Are (white),new,MCO24557189,gold_special,https://www.mercadolibre.com.co/vinilo-foo-fighters-but-here-we-are-white/p/MCO24557189,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,200000,1,,,True,2043-08-11T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,499571,DISIDENCIA STORE,36.0,5555.56,0.0,COP,
MCO1329623375,Ricardo Arjona - Personalidad,new,MCO23769517,gold_pro,https://www.mercadolibre.com.co/ricardo-arjona-personalidad/p/MCO23769517,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,49000,1,,,True,2043-08-17T04:00:00.000Z,True,[],MCO1168,False,True,drop_off,me2,[],,,1103043220,MUSICA DISCOLASER,12.0,4083.33,0.0,COP,
MCO1332830775,Cd: Bob Dylan S Greatest Hits,new,MCO26223266,gold_special,https://www.mercadolibre.com.co/cd-bob-dylan-s-greatest-hits/p/MCO26223266,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,69900,1,,,True,2043-08-24T04:00:00.000Z,True,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1941.67,0.0,COP,
MCO1337112907,Cd Babasonicos Anoche,new,MCO22506254,gold_pro,https://www.mercadolibre.com.co/cd-babasonicos-anoche/p/MCO22506254,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,59000,1,,,True,2043-09-06T04:00:00.000Z,True,[],MCO1168,False,True,drop_off,me2,[],,,1103043220,MUSICA DISCOLASER,12.0,4916.67,0.0,COP,
MCO800047358,Colección Creed Original Blu-ray + Dvd Stallone Rocky Jordan,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-800047358-coleccion-creed-original-blu-ray-dvd-stallone-rocky-jordan-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,179900,1,,,True,2043-12-04T04:03:10.387Z,False,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,93866356,ARTEMANIA77,12.0,14991.67,0.0,COP,
MCO1372694431,The Beatles Past Masters 2 Lp Vinyl Importado,new,MCO27939192,gold_special,https://www.mercadolibre.com.co/the-beatles-past-masters-2-lp-vinyl-importado/p/MCO27939192,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,329500,1,1173.0,Centro Comercial Avenida Chile,True,2043-12-13T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,571683735,COMERCIALCARDONAHERMANOSSAS,36.0,9152.78,0.0,COP,
MCO1378212469,Cd Motorhead Ace Of Spades Remastered,new,MCO22785442,gold_special,https://www.mercadolibre.com.co/cd-motorhead-ace-of-spades-remastered/p/MCO22785442,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,98900,1,,,True,2043-12-31T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,499571,DISIDENCIA STORE,36.0,2747.22,0.0,COP,
MCO1389229809,Cd Diomedes Diaz Con Mucho Gusto Caray,new,MCO22959565,gold_pro,https://www.mercadolibre.com.co/diomedes-diaz-alvaro-lopez-con-mucho-gusto-caray-cd/p/MCO22959565,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,24990,1,,,True,2044-02-01T04:00:00.000Z,True,[],MCO1168,False,False,xd_drop_off,me2,[],,,757355146,COLOMBIATSHIRT STORE,12.0,2082.5,0.0,COP,
MCO1633895638,Musica Autentico Miguel Morales La Voz,new,MCO23498055,gold_pro,https://www.mercadolibre.com.co/musica-autentico-miguel-morales-la-voz/p/MCO23498055,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,39000,1,,,True,2043-05-28T04:00:00.000Z,True,[],MCO1168,False,True,drop_off,me2,[],,,1103043220,MUSICA DISCOLASER,12.0,3250.0,0.0,COP,
MCO1721162828,Romeo Santos / Formula . Vol. 1 - Cd -original,new,MCO22908996,gold_special,https://www.mercadolibre.com.co/romeo-santos-formula-vol-1-cd-original/p/MCO22908996,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,39900,1,,,True,2043-07-12T04:00:00.000Z,True,[],MCO1168,False,False,drop_off,me2,[],,,45078463,TELOCOMPROUSA,36.0,1108.33,0.0,COP,
MCO1721244468,Scorpions - Return To Forever - Cd Difusión Cerrado,new,MCO22789918,gold_special,https://www.mercadolibre.com.co/scorpions-return-to-forever-cd-difusion-cerrado/p/MCO22789918,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,38000,1,,,True,2043-07-12T04:00:00.000Z,True,[],MCO1168,False,False,drop_off,me2,[],,,45078463,TELOCOMPROUSA,36.0,1055.56,0.0,COP,
