id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO585455923,Fragancias Hidrosolubles Para Difusores 30 Ml,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-585455923-fragancias-hidrosolubles-para-difusores-30-ml-_JM,buy_it_now,MCO,MCO180916,MCO-BODY_SKIN_CARE_PRODUCTS,3500,,5000,,True,2043-05-22T04:53:13.000Z,False,[],,MCO1246,False,False,cross_docking,me2,['self_service_in'],,,432439187,MCKENNAGROUP S.A.S,,,,,MCKENNA GROUP
MCO1115758417,Shampoo Loreal Blondifier Cool 300ml Cabellos Rubios,new,MCO19828130,gold_special,https://www.mercadolibre.com.co/shampoo-loreal-blondifier-cool-300ml-cabellos-rubios/p/MCO19828130,buy_it_now,MCO,MCO180951,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,83900,,1,,True,2042-11-30T04:00:00.000Z,True,[],,MCO1246,False,False,cross_docking,me2,"['MCO-chg-threshold-Jan-23', 'self_service_out']",,,304779348,MECHU2PELUQUERIA,36.0,2330.56,0.0,COP,L'Oréal
MCO1383885073,Crema Antiedad Protector Fps 50 Cicatricure Porcelana 40g,new,MCO27304265,gold_special,https://www.mercadolibre.com.co/crema-antiedad-protector-fps-50-cicatricure-porcelana-40g/p/MCO27304265,buy_it_now,MCO,MCO180917,MCO-FACIAL_SKIN_CARE_PRODUCTS,67110,,1,,True,2044-01-16T04:00:00.000Z,True,[],,MCO1246,False,False,drop_off,me2,[],,,1323912996,DROGUERÍAS LAFARMA,36.0,1864.17,0.0,COP,Cicatricure
MCO922393267,Issey Miyake L'eau D'issey Pour Homme Intense Edt 125 ml Para  Hombre,new,MCO19311644,gold_pro,https://www.mercadolibre.com.co/issey-miyake-leau-dissey-pour-homme-intense-edt-125ml-para-hombre/p/MCO19311644,buy_it_now,MCO,MCO1271,MCO-PERFUMES,221000,340000.0,1,,True,2042-07-03T04:00:00.000Z,True,[],,MCO1246,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,304291379,FACEBOOKVENTASCOM,12.0,18416.67,0.0,COP,Issey Miyake
MCO944942920,Secador De Cabello Turbox Nt-bravo Negro 110v,new,MCO19521061,gold_special,https://www.mercadolibre.com.co/secador-de-cabello-turbox-nt-bravo-negro-110v/p/MCO19521061,buy_it_now,MCO,MCO4597,MCO-HAIR_DRYERS,178292,,1,,True,2042-08-12T04:00:00.000Z,True,[],,MCO1246,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,376692339,SPORTFITNES ONLINE,36.0,4952.56,0.0,COP,Turbox
MCO2123515012,Crema Dental Natural Sin Flúor - G - g a $249,new,MCO29078198,gold_pro,https://www.mercadolibre.com.co/crema-dental-natural-sin-fluor-g/p/MCO29078198,buy_it_now,MCO,MCO181053,MCO-TOOTHPASTES,29500,,1,,True,2043-12-25T04:00:00.000Z,True,[],,MCO1246,False,False,fulfillment,me2,"['fulfillment', 'self_service_out']",,,41326521,HAPPYMARKETBEAUTY,12.0,2458.33,0.0,COP,HGW
MCO1642039728,Tratamiento Ogx Aceite Renovador Cabell - mL a $630,new,MCO19560178,gold_pro,https://www.mercadolibre.com.co/tratamiento-ogx-aceite-renovador-cabello-seco-morocco-100-ml/p/MCO19560178,buy_it_now,MCO,MCO1266,MCO-HAIR_TREATMENTS,66500,,1,,True,2043-09-23T22:35:16.000Z,True,[],,MCO1246,False,False,cross_docking,me2,"['fs_threshold_mco_change_jul2021', 'self_service_in']",,,545180103,WHIMCO,12.0,5541.67,0.0,COP,OGX
MCO1279545141,Schwarzkopf Silhouette Mousse *200 Ml - - mL a $194,new,MCO21784420,gold_special,https://www.mercadolibre.com.co/schwarzkopf-silhouette-mousse-200-ml-ml-a-186-en-mousse-schwarzkopf-professional-silhouette/p/MCO21784420,buy_it_now,MCO,MCO388015,MCO-HAIR_FIXATIVES,42940,,1,,True,2043-03-29T04:00:00.000Z,True,[],,MCO1246,False,True,xd_drop_off,me2,['self_service_in'],,,385263270,SHORTIME STORE,36.0,1192.78,0.0,COP,Schwarzkopf Professional
MCO1373176383, Hielo 250ml Mineral Sport Aceite Athos M - Ml  Fragancia Hielo Sport,new,MCO28726312,gold_special,https://www.mercadolibre.com.co/hielo-250ml-mineral-sport-aceite-athos-m-ml-fragancia-hielo-sport/p/MCO28726312,buy_it_now,MCO,MCO180916,MCO-BODY_SKIN_CARE_PRODUCTS,19400,,1,50043.0,True,2043-12-15T04:00:00.000Z,True,[],Farmaweb,MCO1246,False,False,cross_docking,me2,['self_service_in'],,,388680094,FARMAWEBGROUP,,,,,Athos
MCO1370714519, Shampoo Elvive Hialurónico Pure 370 Ml,new,MCO23021238,gold_special,https://www.mercadolibre.com.co/shampoo-elvive-hialuronico-pure-370-ml/p/MCO23021238,buy_it_now,MCO,MCO180951,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,24100,,100,1385.0,True,2043-12-06T04:00:00.000Z,True,[],La Rebaja,MCO1246,False,False,cross_docking,me2,[],,,507646494,COPSERVIR LTDA,36.0,669.44,0.0,COP,L'Oréal Paris
