id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO593201305,Tarjeta Amazon 15 Usd Original Envio Inmediato,new,MCO10652174,gold_special,https://articulo.mercadolibre.com.co/MCO-593201305-tarjeta-amazon-15-usd-original-envio-inmediato-_JM,buy_it_now,MCO,MCO425038,MCO-GIFT_CARDS,98900,,1,,True,2040-10-29T04:00:00.000Z,False,[],,MCO1953,False,False,custom,custom,[],,,318231865,ENAR5559897,36.0,2747.22,0.0,COP,Amazon
MCO1039148892,Conos Raw Orgánicos Tamaño 1 ¼ X 50 Unidades,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1039148892-conos-raw-organicos-tamano-1-x-50-unidades-_JM,buy_it_now,MCO,MCO417902,MCO-CIGARETTE_PAPERS,95000,,1,,True,2042-10-30T04:00:00.000Z,False,[],,MCO1953,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1197748014,ESD COLOMBIA,12.0,7916.67,0.0,COP,RAW
MCO840819918,Encendedor Gas Recargable Repue,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-840819918-encendedor-gas-recargable-repue-_JM,buy_it_now,MCO,MCO172908,MCO-LIGHTERS,14900,,1,,True,2041-12-05T04:00:00.000Z,False,[],,MCO1953,False,False,not_specified,not_specified,['is_flammable'],,,467990121,DAVID FGIRALDO,,,,,Floppi
MCO566741353,Kit Sello Minestamp  - Abecedario,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-566741353-kit-sello-minestamp-abecedario-_JM,buy_it_now,MCO,MCO3530,MCO-UNCLASSIFIED_PRODUCTS,90000,,1,,True,2040-06-11T04:00:00.000Z,False,[],,MCO1953,False,False,not_specified,not_specified,[],,,113232047,MARKITIENDA,12.0,7500.0,0.0,COP,MInestamp
MCO945072504,Pendulo Bronce Isis Reiki + Manual Electrónico ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-945072504-pendulo-bronce-isis-reiki-manual-electronico-_JM,buy_it_now,MCO,MCO409091,MCO-ESOTERIC_PENDULUMS,95000,,1,,True,2042-08-12T04:00:00.000Z,False,[],,MCO1953,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,279354362,CAAD7532417,12.0,7916.67,0.0,COP,
MCO611449942,"Neilmed Nasogel Drip Free Gel Spray, 1 Fluid Ounce",new,,gold_special,https://articulo.mercadolibre.com.co/MCO-611449942-neilmed-nasogel-drip-free-gel-spray-1-fluid-ounce-_JM,buy_it_now,MCO,MCO3530,MCO-UNCLASSIFIED_PRODUCTS,94900,,1,,True,2042-07-26T19:18:13.000Z,False,[],,MCO1953,False,False,custom,custom,[],,,159883089,JEN-MA,36.0,2636.11,0.0,COP,
MCO598556132,Soporte Para Tubo Laser Co2,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-598556132-soporte-para-tubo-laser-co2-_JM,buy_it_now,MCO,MCO3530,MCO-UNCLASSIFIED_PRODUCTS,88000,,1,,True,2040-12-10T04:00:00.000Z,False,[],,MCO1953,False,False,not_specified,not_specified,[],,,418475917,LASERTEXTIL,36.0,2444.44,0.0,COP,
MCO853607762,Rack De Instalación Para Lavadora Y Secadora Samsung.,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-853607762-rack-de-instalacion-para-lavadora-y-secadora-samsung-_JM,buy_it_now,MCO,MCO3530,MCO-UNCLASSIFIED_PRODUCTS,90000,,1,,True,2042-01-23T04:00:00.000Z,False,[],,MCO1953,False,False,not_specified,not_specified,[],,,247333387,ROSE9467124,36.0,2500.0,0.0,COP,
MCO899203263,Pipita  Encendedor De Antorcha Prueba De Viento  Triple...,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-899203263-pipita-encendedor-de-antorcha-prueba-de-viento-triple-_JM,buy_it_now,MCO,MCO172908,MCO-LIGHTERS,185900,,1,,True,2042-05-20T04:00:00.000Z,False,[],,MCO1953,False,True,cross_docking,me2,['mandatory_free_shipping'],,,120405736,TODOENCARGO-CO,36.0,5163.89,0.0,COP,P PIPITA
MCO1307526367,Bong Silicona Mandalorian Bong Pipa De Agua Bong Silicona ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1307526367-bong-silicona-mandalorian-bong-pipa-de-agua-bong-silicona-_JM,buy_it_now,MCO,MCO417908,MCO-BONGS,81900,,1,,True,2043-06-16T04:00:00.000Z,False,[],,MCO1953,False,True,xd_drop_off,me2,['self_service_in'],,,610185240,SONIARAQUELROJASORTIZ,12.0,6825.0,0.0,COP,importacionesredskinSHOP4:20
MCO1934807852,Baraja De Tarot En Español Para Principiantes,new,MCO27523590,gold_pro,https://articulo.mercadolibre.com.co/MCO-1934807852-baraja-de-tarot-en-espanol-para-principiantes-_JM,buy_it_now,MCO,MCO414133,MCO-TAROT_CARDS,79970,,1,,True,2043-09-21T04:00:00.000Z,False,[],,MCO1953,False,True,drop_off,me2,['mandatory_free_shipping'],,,776389214,XIANGXIANGHOUSEHOLDHALLCO,12.0,6664.17,0.0,COP,Zimu
MCO980259479,Péndulo Radiestesia Grande - Isis,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-980259479-pendulo-radiestesia-grande-isis-_JM,buy_it_now,MCO,MCO409091,MCO-ESOTERIC_PENDULUMS,80000,,1,,True,2042-09-30T04:00:00.000Z,False,[],,MCO1953,False,False,xd_drop_off,me2,['MCO-chg-threshold-Jan-23'],,,553374403,ENERGETIC STORE,12.0,6666.67,0.0,COP,
MCO1197401760,Orgonita Piramidal De Cuarzo 7 Chakras.,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1197401760-orgonita-piramidal-de-cuarzo-7-chakras-_JM,buy_it_now,MCO,MCO442293,MCO-ENERGETIC_STONES,70000,,1,,True,2043-01-14T04:00:00.000Z,False,[],,MCO1953,False,False,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'self_service_in']",,,377817176,THEKA.COM.CO,12.0,5833.33,0.0,COP,
