id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO622682457,Vela Volcán Para Cumpleaños X 6 Unidades,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-622682457-vela-volcan-para-cumpleanos-x-6-unidades-_JM,buy_it_now,MCO,MCO441217,MCO-BIRTHDAY_CANDLES_AND_SPARKLERS,11990,,1,True,2041-05-06T04:00:00.000Z,False,[],MCO118204,False,False,cross_docking,me2,[],,,169991554,DRK SHOP,,,,,DRK
MCO1351684425,Caja Cajita Feliz Sorpresa X12 Unidades Princesa Sofía,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1351684425-caja-cajita-feliz-sorpresa-x12-unidades-princesa-sofia-_JM,buy_it_now,MCO,MCO8591,MCO-SOUVENIRS,18905,,1,True,2043-10-19T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,1026596468,GLOBOS_Y_PELUCHES_MASMELO,,,,,
MCO1584554284,Kit Decoracion Millonario Descartables 24invit Leer Dc,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1584554284-kit-decoracion-millonario-descartables-24invit-leer-dc-_JM,buy_it_now,MCO,MCO435356,MCO-PARTY_DECORATION_KITS,27500,,250,True,2043-05-10T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,1085789498,LENCERIASEDUCTORA.CO,36.0,763.89,0.0,COP,Premium
MCO982578825,Pitillos Dorados Reutilizables X 2 + Cepillo Limpiador ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-982578825-pitillos-dorados-reutilizables-x-2-cepillo-limpiador-_JM,buy_it_now,MCO,MCO430983,MCO-STRAWS,5700,6000.0,50,True,2042-10-02T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,[],,,815054630,BIGCENTER COLOMBIA,,,,,Genérica
MCO1139715652,Kit Decoración Transformer Para 12 Niños + Obsequio,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1139715652-kit-decoracion-transformer-para-12-ninos-obsequio-_JM,buy_it_now,MCO,MCO435356,MCO-PARTY_DECORATION_KITS,19999,,1,True,2043-08-24T00:06:32.872Z,False,[],MCO118204,False,False,cross_docking,me2,['self_service_in'],,,1196168641,LA JUGUETERIA2022,12.0,1666.58,0.0,COP,La jugueteria
MCO622296525,35 Recordatorios En Mdf Para Nacimiento Bebes ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-622296525-35-recordatorios-en-mdf-para-nacimiento-bebes-_JM,buy_it_now,MCO,MCO8591,MCO-SOUVENIRS,101500,,1,True,2041-05-05T04:00:00.000Z,False,[],MCO118204,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,464132744,TIMICOLOMBIA,36.0,2819.44,0.0,COP,
MCO1841627906,Cañón De Pétalos X2 Matrimonio Quinceañeras Fiesta Boda Seda,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1841627906-canon-de-petalos-x2-matrimonio-quinceaneras-fiesta-boda-seda-_JM,buy_it_now,MCO,MCO417267,MCO-CONFETTI_SHOOTERS,23790,,1,True,2043-08-26T04:00:00.000Z,False,[],MCO118204,False,False,cross_docking,me2,['self_service_in'],,,492751534,TIENDALAELEGANCIACOM,12.0,1982.5,0.0,COP,LA ELEGANCIA
MCO1304574967,Globo Kit Decoración Fiesta Salvaje Jungla Safari Animales ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1304574967-globo-kit-decoracion-fiesta-salvaje-jungla-safari-animales-_JM,buy_it_now,MCO,MCO435877,MCO-BALLOONS,66400,,50,True,2043-06-05T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,1026596468,GLOBOS_Y_PELUCHES_MASMELO,36.0,1844.44,0.0,COP,Genérica
MCO2086805798,Torta Ibiza 42 Tiros El Vaquero Matrimonios,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-2086805798-torta-ibiza-42-tiros-el-vaquero-matrimonios-_JM,buy_it_now,MCO,MCO417267,MCO-CONFETTI_SHOOTERS,121500,135000.0,1,True,2043-12-04T04:00:00.000Z,False,[],MCO118204,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,559409830,ELKINZA2189,12.0,10687.5,0.0,COP,El Vaquero
MCO1329699881,Kit Disfraz De Diabla Diademas Con Cachos Cola Y Moño Para Halloween ,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1329699881-kit-disfraz-de-diabla-diademas-con-cachos-cola-y-mono-para-halloween-_JM,buy_it_now,MCO,MCO118203,MCO-COSTUMES,12000,,1,True,2043-08-17T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,585116219,MARIACAMILASANABRIALVAREZ,,,,,Genérica
