id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO892709209,Soporte Celular Tablet Base Metálica Altura Ajustable V3,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-892709209-soporte-celular-tablet-base-metalica-altura-ajustable-v3-_JM,buy_it_now,MCO,MCO6944,MCO-CELLPHONE_ACCESSORIES,19040,,250,,True,2042-05-06T04:00:00.000Z,False,[],,MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,55477565,SISDATA.CO,,,,,Sisdata
MCO903055619,Xiaomi Cargador Para Carro Tipo C / Tipo A 100w Max,new,MCO10073615,gold_pro,https://articulo.mercadolibre.com.co/MCO-903055619-xiaomi-cargador-para-carro-tipo-c-tipo-a-100w-max-_JM,buy_it_now,MCO,MCO39268,MCO-MOBILE_DEVICE_CHARGERS,116500,,1,,True,2043-10-22T17:41:00.000Z,False,[],,MCO1051,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,54932662,TECHNOSERSO48,12.0,9708.33,0.0,COP,Xiaomi
MCO1652395668,Audífonos Kalley Bluetooth On Ear Mickey Mouse Disney Gris Color Gris,new,MCO23965725,gold_special,https://www.mercadolibre.com.co/audifonos-kalley-bluetooth-on-ear-mickey-mouse-disney-gris-color-gris/p/MCO23965725,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,95900,153900.0,50,398.0,True,2043-06-10T04:00:00.000Z,True,[],Kalley,MCO1051,False,True,cross_docking,me2,['mandatory_free_shipping'],,,238038329,TIENDA-OFICIAL-EN-LINEA,36.0,2663.89,0.0,COP,Kalley
MCO615718453,Gafas Realidad Virtual + Joystick Control Bluetooth,new,MCO28242620,gold_special,https://articulo.mercadolibre.com.co/MCO-615718453-gafas-realidad-virtual-joystick-control-bluetooth-_JM,buy_it_now,MCO,MCO401278,MCO-VR_HEADSETS,29900,,1,,True,2042-12-21T18:08:22.000Z,False,[],,MCO1051,False,False,cross_docking,me2,['self_service_in'],,,659913138,WGLAM,36.0,830.56,0.0,COP,VR Box
MCO558049106,Radio Walkie Profesional Baofeng Uv5r Versión 2020 60km X1,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-558049106-radio-walkie-profesional-baofeng-uv5r-version-2020-60km-x1-_JM,buy_it_now,MCO,MCO442234,MCO-RADIO_BASE_STATIONS,139900,,150,,True,2040-03-28T04:00:00.000Z,False,[],,MCO1051,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,191222360,MEDELLINELECTRONICA,36.0,3886.11,0.0,COP,Baofeng
MCO1381987249,Audifonos Diadema Acer Nitro Gamer Alámbricos,new,MCO20540170,gold_pro,https://www.mercadolibre.com.co/audifonos-diadema-acer-nitro-gamer-alambricos/p/MCO20540170,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,179900,,1,,True,2044-01-11T04:00:00.000Z,True,[],,MCO1051,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,209367346,IMPORTACIONES GAMC2,12.0,14991.67,0.0,COP,Acer
MCO1320772283,Auriculares Inalambricos Conduccion Osea Deportivos Rb-s33,new,MCO21988151,gold_special,https://www.mercadolibre.com.co/auriculares-inalambricos-conduccion-osea-deportivos-rb-s33/p/MCO21988151,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,139000,,1,,True,2043-07-26T04:00:00.000Z,True,[],,MCO1051,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,629601638,HEOR9241515,36.0,3861.11,0.0,COP,Remax
MCO1355845173,Reloj Inteligente Smart Watch 8 Hombre Mujer ,new,MCO28935121,gold_pro,https://articulo.mercadolibre.com.co/MCO-1355845173-reloj-inteligente-smart-watch-8-hombre-mujer-_JM,buy_it_now,MCO,MCO118449,MCO-SMARTWATCHES,55000,,1,,True,2043-10-29T04:00:00.000Z,False,[],,MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,1528527633,NETXONE2023,12.0,4583.33,0.0,COP,Genérica
MCO1110080226,Diadema Bluetooth Inalámbrica P9505 Wireless Aisla Ruido,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1110080226-diadema-bluetooth-inalambrica-p9505-wireless-aisla-ruido-_JM,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,49425,65900.0,250,,True,2042-11-28T04:00:00.000Z,False,[],,MCO1051,False,False,cross_docking,me2,['self_service_in'],,,1113894288,AVILAVERONICA20220427142633,12.0,4118.75,0.0,COP,Genérica
MCO463070383,Soporte Adaptador De Celular Para Tripode Monopie Camara,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-463070383-soporte-adaptador-de-celular-para-tripode-monopie-camara-_JM,buy_it_now,MCO,MCO6944,MCO-CELLPHONE_ACCESSORIES,16660,,50,,True,2038-01-17T04:00:00.000Z,False,[],,MCO1051,False,False,cross_docking,me2,['self_service_in'],,,132499720,MUYBARATICOSS,,,,,Genérica
MCO1328189421,Reloj Inteligente Mujer Modas Llamada Deporte Salud Ineyes,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1328189421-reloj-inteligente-mujer-modas-llamada-deporte-salud-ineyes-_JM,buy_it_now,MCO,MCO118449,MCO-SMARTWATCHES,166907,476912.0,500,,True,2043-08-14T04:00:00.000Z,False,[],,MCO1051,False,True,drop_off,me2,['mandatory_free_shipping'],,,1140198063,CNINEYES-COR,12.0,13908.92,0.0,COP,INEYES
MCO1180721687,Forro Protector En Diseño Compatible Con Cargador iPhone 20w,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1180721687-forro-protector-en-diseno-compatible-con-cargador-iphone-20w-_JM,buy_it_now,MCO,MCO4922,MCO-DATA_CABLES_AND_ADAPTERS,25000,,500,,True,2043-01-02T04:00:00.000Z,False,[],,MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,522582458,LISA7788706,12.0,2083.33,0.0,COP,Genérico Compatible con cargador iPhone 20w
MCO1372687733,Audífonos In-ear Gamer Inalámbricos Xiaomi Redmi Buds 3 L,new,MCO19031222,gold_special,https://articulo.mercadolibre.com.co/MCO-1372687733-audifonos-in-ear-gamer-inalambricos-xiaomi-redmi-buds-3-l-_JM,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,68606,,1,,True,2043-12-13T04:00:00.000Z,False,[],,MCO1051,False,False,fulfillment,me2,['fulfillment'],,,290041597,YESIQUITAROJAS,36.0,1905.72,0.0,COP,Xiaomi
MCO1266430521,Gatillos Electrónicos Mas Ventilador Memo Ak03 Fantasy,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1266430521-gatillos-electronicos-mas-ventilador-memo-ak03-fantasy-_JM,buy_it_now,MCO,MCO167698,MCO-CELLPHONE_ACCESSORIES,99900,,1,,True,2043-02-26T04:00:00.000Z,False,[],,MCO1051,False,True,fulfillment,me2,"['fulfillment', 'self_service_out', 'mandatory_free_shipping']",,,127583558,TIENDAS HORUSKY,12.0,8325.0,0.0,COP,Memo
MCO1255677566,Cable De Carga Magnético Para Smartwatch Mi Band 5/6,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1255677566-cable-de-carga-magnetico-para-smartwatch-mi-band-56-_JM,buy_it_now,MCO,MCO417755,MCO-SMARTWATCH_CHARGERS,8125,12500.0,1,,True,2043-02-18T04:00:00.000Z,False,[],,MCO1051,False,False,cross_docking,me2,['self_service_in'],,,265213021,CASTROLAURA19980512,,,,,Genérica
MCO1360517615,Paquete De 5 Rollos Adhesivos Para Mini Impresoras,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1360517615-paquete-de-5-rollos-adhesivos-para-mini-impresoras-_JM,buy_it_now,MCO,MCO403380,MCO-CELLPHONE_PHOTO_PRINTERS,29900,,1,,True,2043-11-10T04:00:00.000Z,False,[],,MCO1051,False,False,xd_drop_off,me2,[],,,1446574619,CORTESDIANA20230810141829,36.0,830.56,0.0,COP,Genérica
MCO657002036,Correa Para Apple Watch 38 40 42 44 Manilla Metal Acero ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-657002036-correa-para-apple-watch-38-40-42-44-manilla-metal-acero-_JM,buy_it_now,MCO,MCO434353,MCO-SMARTWATCH_AND_WATCH_BANDS,24500,,1,,True,2041-08-13T04:00:00.000Z,False,[],,MCO1051,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,346148818,ACCESORIOS RIHNO,12.0,2041.67,0.0,COP,metalica
MCO852594122,Soporte Universal Para Celular Bicicleta Moto Porta Celular,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-852594122-soporte-universal-para-celular-bicicleta-moto-porta-celular-_JM,buy_it_now,MCO,MCO6944,MCO-CELLPHONE_ACCESSORIES,21755,22900.0,1,,True,2042-01-20T04:00:00.000Z,False,[],,MCO1051,False,False,cross_docking,me2,['self_service_in'],,,546421444,GRUPO COMERCIA1,12.0,1812.92,0.0,COP,360
MCO1092714474,Cable Cargador Para Reloj Smartwatch Huawei Kids 4 Pro ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1092714474-cable-cargador-para-reloj-smartwatch-huawei-kids-4-pro-_JM,buy_it_now,MCO,MCO417755,MCO-SMARTWATCH_CHARGERS,29990,,1,,True,2042-11-20T04:00:00.000Z,False,[],,MCO1051,False,False,drop_off,me2,[],,,77737977,IMPORTACCESORIOS SMARTWATCH,36.0,833.06,0.0,COP,Genérica
MCO1589733202,Vidrio Tortuga Borde Reforzado Para iPhone,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1589733202-vidrio-tortuga-borde-reforzado-para-iphone-_JM,buy_it_now,MCO,MCO12953,MCO-CELLPHONE_TABLET_AND_GPS_SCREEN_PROTECTORS,13900,,500,,True,2043-05-12T04:00:00.000Z,False,[],,MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,84818143,SAFARISHOP IMPORTACIONES,,,,,Vidrio Tortuga
MCO852376277,Estuche Funda + Protector Pantalla Apple Watch 41mm 45mm,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-852376277-estuche-funda-protector-pantalla-apple-watch-41mm-45mm-_JM,buy_it_now,MCO,MCO417718,MCO-SMARTWATCH_AND_WRISTWATCH_SCREEN_PROTECTORS,25990,,50,,True,2042-01-18T04:00:00.000Z,False,[],,MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,27835248,TECHSITE.COL,12.0,2165.83,0.0,COP,Genérica PROBEFIT
MCO1316441835,Correa Manilla Pulso De Repuesto Para Samsung Galaxy Fit 2,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1316441835-correa-manilla-pulso-de-repuesto-para-samsung-galaxy-fit-2-_JM,buy_it_now,MCO,MCO417313,MCO-SMARTWATCH_AND_WATCH_BANDS,12990,,1,,True,2043-07-13T04:00:00.000Z,False,[],,MCO1051,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,170147922,SUPPORTLABSTORE.,,,,,Genérica
MCO1795675006,Powerbank Baseus Adaman 20000mah 65w Blue Edition,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1795675006-powerbank-baseus-adaman-20000mah-65w-blue-edition-_JM,buy_it_now,MCO,MCO39268,MCO-MOBILE_DEVICE_CHARGERS,349900,,1,,True,2043-08-13T04:00:00.000Z,False,[],,MCO1051,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,119775693,DUQUEOUTLET,36.0,9719.44,0.0,COP,Baseus
MCO1316085293,Belkin Cargador De Carro Boost Charge Pd 3  37w Usb-c/usb-a,new,MCO21334053,gold_special,https://www.mercadolibre.com.co/belkin-cargador-de-carro-boost-charge-pd-3-37w-usb-cusb-a/p/MCO21334053,buy_it_now,MCO,MCO39268,MCO-MOBILE_DEVICE_CHARGERS,125715,147900.0,1,,True,2043-07-12T04:00:00.000Z,True,[],,MCO1051,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1143970317,TECNOTIENDAOUTLET,36.0,3492.08,0.0,COP,Belkin
MCO1342225783,Otterbox Defender Para iPhone 13 13 Pro Max 13 Pro Color Negro Iphne 13,new,MCO25838242,gold_pro,https://www.mercadolibre.com.co/otterbox-defender-para-iphone-13-13-pro-max-13-pro-color-negro-iphne-13/p/MCO25838242,buy_it_now,MCO,MCO169817,MCO-CELLPHONE_COVERS,58699,,50,,True,2043-09-20T04:00:00.000Z,True,[],,MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,1478892573,ROJASANDRES20230913212505,12.0,4891.58,0.0,COP,OtterBox
