id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1944062436,Tenis Bl Active Negro Atwood Hombre Vans,new,MCO24163382,gold_special,https://articulo.mercadolibre.com.co/MCO-1944062436-tenis-bl-active-negro-atwood-hombre-vans-_JM,buy_it_now,MCO,MCO5607,MCO-SNEAKERS,259000,,100,57744.0,VANS Colombia,True,2043-09-27T04:00:00.000Z,False,[],MCO1430,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,475376088,DY9930721,36.0,7194.44,0.0,COP,Vans
MCO826568036,Camiseta Black Sabbath Us Tour 78 #2 Metal Rock Activity,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-826568036-camiseta-black-sabbath-us-tour-78-2-metal-rock-activity-_JM,buy_it_now,MCO,MCO157283,MCO-T_SHIRTS,54900,,1,,,True,2041-11-14T05:06:58.000Z,False,[],MCO1430,False,True,cross_docking,me2,['self_service_in'],,,131273179,ROCK ACTIVITY,36.0,1525.0,0.0,COP,Rock Activity
MCO653430925,Morral Peluche Paw Patrol Patrulla Canina Maleta Escolar,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-653430925-morral-peluche-paw-patrol-patrulla-canina-maleta-escolar-_JM,buy_it_now,MCO,MCO166410,MCO-BACKPACKS,54990,,1,,,True,2043-11-15T02:28:53.535Z,False,[],MCO1430,False,False,cross_docking,me2,['self_service_in'],,,193264204,VITTORIA.COM.CO,36.0,1527.5,0.0,COP,Vittoria
MCO1049359173,Botas Franin Rosa Para Niña Los Gomosos,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1049359173-botas-franin-rosa-para-nina-los-gomosos-_JM,buy_it_now,MCO,MCO414251,MCO-BOOTS_AND_BOOTIES,89900,119900.0,200,1117.0,Croydon,True,2042-11-04T04:00:00.000Z,False,[],MCO1430,False,True,cross_docking,me2,[],,,313600420,CROYDONCOLOMBIA,36.0,2497.22,0.0,COP,Los Gomosos
MCO1347788777,Zapatillas New Balance 574 Plataforma Mujer ,new,MCO15031019,gold_special,https://articulo.mercadolibre.com.co/MCO-1347788777-zapatillas-new-balance-574-plataforma-mujer-_JM,buy_it_now,MCO,MCO5607,MCO-SNEAKERS,490000,,100,,,True,2043-10-08T04:00:00.000Z,False,[],MCO1430,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1466025497,ARCERICARDO20230901001400,36.0,13611.11,0.0,COP,New Balance
MCO1914475204,Sombrilla Tipo Golf Con Protector Solar Uv Publicitaria,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1914475204-sombrilla-tipo-golf-con-protector-solar-uv-publicitaria-_JM,buy_it_now,MCO,MCO166237,MCO-UMBRELLAS,26505,27900.0,1,,,True,2043-09-14T04:00:00.000Z,False,[],MCO1430,False,False,cross_docking,me2,['self_service_in'],,,546421444,GRUPO COMERCIA1,12.0,2208.75,0.0,COP,Yumar
MCO1238628218,Sombrero Vueltiao X12 Hora Loca Fiesta Piñateria,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1238628218-sombrero-vueltiao-x12-hora-loca-fiesta-pinateria-_JM,buy_it_now,MCO,MCO430271,MCO-HATS_AND_CAPS,20999,,1,,,True,2043-02-09T04:00:00.000Z,False,[],MCO1430,False,False,cross_docking,me2,['self_service_in'],,,1196168641,LA JUGUETERIA2022,12.0,1749.92,0.0,COP,la jugueteria
MCO1228307391,Tula F1,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1228307391-tula-f1-_JM,buy_it_now,MCO,MCO166476,MCO-SUITCASES,179900,,1,1084.0,Totto,True,2043-02-02T04:00:00.000Z,False,[],MCO1430,False,True,cross_docking,me2,['mandatory_free_shipping'],,,282454060,NALSANISAS,36.0,4997.22,0.0,COP,Totto
MCO616239118,"Sujetador Tapabocas, Salva Orejas, Protector Siliconado X10 ",new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-616239118-sujetador-tapabocas-salva-orejas-protector-siliconado-x10-_JM,buy_it_now,MCO,MCO445788,MCO-REUSABLE_MASKS,8500,,500,,,True,2041-04-06T04:00:00.000Z,False,[],MCO1430,False,False,xd_drop_off,me2,['self_service_in'],,,8363200,LEOSTORY,,,,,
MCO608718500,Tenis Deportivo Alto Blanco Para Hombre Croydon,new,MCO23646119,gold_special,https://articulo.mercadolibre.com.co/MCO-608718500-tenis-deportivo-alto-blanco-para-hombre-croydon-_JM,buy_it_now,MCO,MCO441597,MCO-SNEAKERS,69900,,50,1117.0,Croydon,True,2041-02-18T04:00:00.000Z,False,[],MCO1430,False,False,cross_docking,me2,[],,,313600420,CROYDONCOLOMBIA,36.0,1941.67,0.0,COP,Croydon
MCO873295867,3 Cinturones Para Hombre 100% Cuero Por El Precio De 2,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-873295867-3-cinturones-para-hombre-100-cuero-por-el-precio-de-2-_JM,buy_it_now,MCO,MCO166192,MCO-BELTS,131895,,500,,,True,2042-03-17T04:00:00.000Z,False,[],MCO1430,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,823672691,MARROQUINERIANACIONAL1,12.0,10991.25,0.0,COP,PURO CUERO
MCO631275561,Par Pantorrilleras Deportivas Compresión Graduada 15-20mm/hg,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-631275561-par-pantorrilleras-deportivas-compresion-graduada-15-20mmhg-_JM,buy_it_now,MCO,MCO162622,MCO-SOCKS,30000,,1,,,True,2041-05-30T04:00:00.000Z,False,[],MCO1430,False,False,fulfillment,me2,"['fulfillment', 'self_service_out']",,,403594714,CVITAL SALUDYBIENESTAR,12.0,2500.0,0.0,COP,Athlon Línea Médica
MCO860312665,Zapatos Evacol Antideslizante Ref 1752 Con Plantilla,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-860312665-zapatos-evacol-antideslizante-ref-1752-con-plantilla-_JM,buy_it_now,MCO,MCO416005,MCO-SANDALS_AND_CLOGS,64900,,200,,,True,2042-02-10T04:00:00.000Z,False,[],MCO1430,False,False,xd_drop_off,me2,['self_service_in'],,,766403074,MARIALUCILASAAVEDRANARVEZ,36.0,1802.78,0.0,COP,Evacol
MCO1305725157,Tula Balonera Ozs 15 Balones Aproximadamente Poliester Lona,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1305725157-tula-balonera-ozs-15-balones-aproximadamente-poliester-lona-_JM,buy_it_now,MCO,MCO166410,MCO-BACKPACKS,61655,64900.0,1,,,True,2043-06-10T04:00:00.000Z,False,[],MCO1430,False,False,xd_drop_off,me2,['self_service_in'],,,149507259,DAV1D R0M3R0,36.0,1712.64,0.0,COP,ONE ZONE SPORT
MCO1116382003,Zapatilla Original Importada En Caja.,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1116382003-zapatilla-original-importada-en-caja-_JM,buy_it_now,MCO,MCO5607,MCO-SNEAKERS,119900,,500,,,True,2042-11-30T04:00:00.000Z,False,[],MCO1430,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,607872950,VICTORMANUELBARRIOSSALAZAR,12.0,9991.67,0.0,COP,PAATAL
MCO917739090,Buzo Deportivo Camiseta Larga Gym Lycra Militar  Verde,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-917739090-buzo-deportivo-camiseta-larga-gym-lycra-militar-verde-_JM,buy_it_now,MCO,MCO441398,MCO-SWEATSHIRTS_AND_HOODIES,19900,,1,,,True,2042-06-25T04:00:00.000Z,False,[],MCO1430,False,False,cross_docking,me2,['self_service_in'],,,525149875,PINEDAGIRALDOLUISFERNEY,12.0,1658.33,0.0,COP,Alma de héroe
MCO1954233200,Organizadores De Equipaje Set De Bolsas Para Viaje X6 ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1954233200-organizadores-de-equipaje-set-de-bolsas-para-viaje-x6-_JM,buy_it_now,MCO,MCO411771,MCO-LUGGAGE_ORGANIZERS,27387,29900.0,150,,,True,2043-10-04T04:00:00.000Z,False,[],MCO1430,False,False,cross_docking,me2,['self_service_in'],,,624007952,TIENDA IDEAT,12.0,2282.25,0.0,COP,Secret  Pouch
MCO1143658226,Jogger Sudadera Deportivo Dama  X1 Und.,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1143658226-jogger-sudadera-deportivo-dama-x1-und-_JM,buy_it_now,MCO,MCO417370,MCO-SPORT_PANTS,33250,35000.0,500,,,True,2042-12-10T04:00:00.000Z,False,[],MCO1430,False,False,xd_drop_off,me2,['self_service_in'],,,607872950,VICTORMANUELBARRIOSSALAZAR,12.0,2770.83,0.0,COP,PAATAL
