id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1382374717,Adaptador Convertidor Hdmi A Vga 1080p Cable,new,MCO28867700,gold_special,https://www.mercadolibre.com.co/adaptador-convertidor-hdmi-a-vga-1080p-cable/p/MCO28867700,buy_it_now,MCO,MCO431809,MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,14900,,1,,True,2044-01-12T04:00:00.000Z,True,[],,MCO1000,False,False,fulfillment,me2,"['fulfillment', 'self_service_out']",,,85089122,MAKROINTEL DISTRIBUIDOR,,,,,Sisdata
MCO1372777391,Audífonos Beats Flex - Beats Azabache,new,MCO17805818,gold_special,https://www.mercadolibre.com.co/audifonos-beats-flex-beats-azabache/p/MCO17805818,buy_it_now,MCO,MCO3697,MCO-HEADPHONES,186325,,1,,True,2043-12-14T04:00:00.000Z,True,[],,MCO1000,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,471524915,SELETIENE CALI,36.0,5175.69,0.0,COP,Beats
MCO2023634572,Televisor Challenger 32  Hd Led 32l87,new,MCO28564830,gold_pro,https://articulo.mercadolibre.com.co/MCO-2023634572-televisor-challenger-32-hd-led-32l87-_JM,buy_it_now,MCO,MCO14903,MCO-TELEVISIONS,564900,,50,684.0,True,2044-02-04T15:33:25.976Z,False,[],Challenger,MCO1000,False,True,cross_docking,me2,"['mandatory_free_shipping', 'optional_me2_chosen']",,,388583366,CHALLENGER S.A.S.,12.0,47075.0,0.0,COP,Challenger
MCO2202149054,Parlante Kalley K-spk400 Negro,new,MCO29563182,gold_special,https://www.mercadolibre.com.co/parlante-kalley-k-spk400-negro/p/MCO29563182,buy_it_now,MCO,MCO3691,MCO-SPEAKERS,1014900,2514811.0,250,398.0,True,2044-02-02T04:00:00.000Z,True,[],Kalley,MCO1000,False,True,cross_docking,me2,['mandatory_free_shipping'],,,238038329,TIENDA-OFICIAL-EN-LINEA,36.0,28191.67,0.0,COP,Kalley
MCO1348815671,Audifonos Inalambricos Gamer Lenovo Th10  8 Horas Duracion,new,MCO19837567,gold_special,https://www.mercadolibre.com.co/audifonos-inalambricos-gamer-lenovo-th10-8-horas-duracion/p/MCO19837567,buy_it_now,MCO,MCO3697,MCO-HEADPHONES,127880,150448.0,1,,True,2043-10-11T04:00:00.000Z,True,[],,MCO1000,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,135236119,TIENDASALIZCOM,36.0,3552.22,0.0,COP,Lenovo
MCO2217647980,Soporte Tv Doble Nb North Bayou Gran Pantalla Y Resistencia Color Negro,new,MCO19148457,gold_special,https://www.mercadolibre.com.co/soporte-tv-doble-nb-north-bayou-gran-pantalla-y-resistencia-color-negro/p/MCO19148457,buy_it_now,MCO,MCO113152,MCO-TV_AND_MONITOR_MOUNTS,208250,245000.0,1,,True,2044-02-15T04:00:00.000Z,True,[],,MCO1000,False,True,cross_docking,me2,['mandatory_free_shipping'],,,569567091,FERRELECTRICOSJD,36.0,5784.72,0.0,COP,North Bayou
MCO1373561271,Amazon Echo Pop Con Asistente Virtual Alexa Lavender Bloom Color Lavanda,new,MCO24752051,gold_special,https://www.mercadolibre.com.co/amazon-echo-pop-con-asistente-virtual-alexa-lavender-bloom-color-lavanda/p/MCO24752051,buy_it_now,MCO,MCO420273,MCO-SMART_SPEAKERS,144640,,1,,True,2043-12-17T04:00:00.000Z,True,[],,MCO1000,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,69062659,ADRIANAAMAYA92,36.0,4017.78,0.0,COP,Amazon
MCO1592678714,Pilas Para Audífonos Duracell Tamaño 312 Paquete De 6,new,MCO21771488,gold_special,https://www.mercadolibre.com.co/pilas-para-audifonos-duracell-tamano-312-paquete-de-6/p/MCO21771488,buy_it_now,MCO,MCO7279,MCO-CELL_BATTERIES,26400,,1,1523.0,True,2043-05-12T04:00:00.000Z,True,[],Gen Salud,MCO1000,False,False,cross_docking,me2,['self_service_in'],,,727758987,MKTOOLS SAS,36.0,733.33,0.0,COP,Duracell
MCO1963541270,Audífonos In-ear Gamer Kz Auriculares Con Cable Zsn Pro With Mic Dorado,new,MCO26642843,gold_special,https://www.mercadolibre.com.co/audifonos-in-ear-gamer-kz-auriculares-con-cable-zsn-pro-with-mic-dorado/p/MCO26642843,buy_it_now,MCO,MCO3697,MCO-HEADPHONES,117900,,1,,True,2043-10-08T04:00:00.000Z,True,[],,MCO1000,False,True,fulfillment,me2,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",,,147716948,RAKTORS,36.0,3275.0,0.0,COP,KZ
MCO1149786411,Televisor Kalley K-tv24hd 24 Pulgadas Hd Led Plano Tv,new,MCO20769618,gold_special,https://www.mercadolibre.com.co/televisor-kalley-k-tv24hd-24-pulgadas-hd-led-plano-tv/p/MCO20769618,buy_it_now,MCO,MCO14903,MCO-TELEVISIONS,538334,,1,,True,2042-12-14T04:00:00.000Z,True,[],,MCO1000,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,74772063,NAOKI JV,36.0,14953.72,0.0,COP,Kalley
MCO488545715,Barra Parlante Bluetooth Potente Sonido 20w Con Display,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-488545715-barra-parlante-bluetooth-potente-sonido-20w-con-display-_JM,buy_it_now,MCO,MCO3691,MCO-SPEAKERS,92880,,1,,True,2042-10-02T23:29:43.000Z,False,[],,MCO1000,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,164938468,NEXTLEVELCOMERCIAL,36.0,2580.0,0.0,COP,MyMobile
