id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1632550062,Cargador Usb Para Xiaomi Redmi Watch 3,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1632550062-cargador-usb-para-xiaomi-redmi-watch-3-_JM,buy_it_now,MCO,MCO417755,MCO-SMARTWATCH_CHARGERS,18109,19890.0,1,True,2043-05-27T04:00:00.000Z,False,[],MCO1051,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,139705540,MUNDONETTECH,,,,,Genérica
MCO2170637808,Funda Para Freebuds Se 2 Protector Silicona Case Audifonos,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-2170637808-funda-para-freebuds-se-2-protector-silicona-case-audifonos-_JM,buy_it_now,MCO,MCO169817,MCO-CELLPHONE_COVERS,40000,,50,True,2044-01-18T04:00:00.000Z,False,[],MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,429755907,A TRAER,12.0,3333.33,0.0,COP,A TRAER
MCO1378844101,"Cable Lightning Compatible Con iPhone Usb-c Pd En L 36 W, Color Negro",new,MCO28902422,gold_pro,https://www.mercadolibre.com.co/cable-lightning-compatible-con-iphone-usb-c-pd-en-l-36-w-color-negro/p/MCO28902422,buy_it_now,MCO,MCO4922,MCO-DATA_CABLES_AND_ADAPTERS,41445,60900.0,1,True,2044-01-02T04:00:00.000Z,True,[],MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,1181218812,BASARIWORLD.CO,12.0,3453.75,0.0,COP,Mcdodo
MCO817600688,Estuche Acrílico Pro Nillkin Camshield Pro Compatible iPhone,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-817600688-estuche-acrilico-pro-nillkin-camshield-pro-compatible-iphone-_JM,buy_it_now,MCO,MCO4159,MCO-CELLPHONE_AND_TABLET_CASES,74900,,1,True,2041-09-30T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,306914978,LATIENDA JAK,12.0,6241.67,0.0,COP,Nillkin
MCO2013286750,Lenovo Qt81 Auriculares Wireless Originales Blancos Y Negros Color Blanco Color De La Luz Blanco,new,MCO19911516,gold_pro,https://www.mercadolibre.com.co/lenovo-qt81-auriculares-wireless-originales-blancos-y-negros/p/MCO19911516,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,135000,,1,True,2043-11-03T04:00:00.000Z,True,[],MCO1051,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,220671109,DIBUJARET. MONACHOS.,12.0,11250.0,0.0,COP,Lenovo
MCO586178660,Smart Watch Reloj Inteligente Y68 - D20 Pro Fitness,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-586178660-smart-watch-reloj-inteligente-y68-d20-pro-fitness-_JM,buy_it_now,MCO,MCO118449,MCO-SMARTWATCHES,22161,24900.0,1,True,2043-10-21T17:38:57.000Z,False,[],MCO1051,False,False,cross_docking,me2,[],,,120655255,IVANMARMOLEJO,12.0,1846.75,0.0,COP,PK Y68 D20S SMART WATCH
MCO1287223059,Correa De Acero Para Apple Watch Series 8-7-6-5-4-3-2-1-se-u,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1287223059-correa-de-acero-para-apple-watch-series-8-7-6-5-4-3-2-1-se-u-_JM,buy_it_now,MCO,MCO434353,MCO-SMARTWATCH_AND_WATCH_BANDS,85499,89999.0,1,True,2043-04-18T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,145328341,MERAKIESHOP.CO,36.0,2374.97,0.0,COP,Genérica
MCO1910927004,Aros Cámara Lente Para iPhone 15 Pro / 15 / 15 Pro Max,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1910927004-aros-camara-lente-para-iphone-15-pro-15-15-pro-max-_JM,buy_it_now,MCO,MCO417275,MCO-CELLPHONE_CAMERA_PROTECTORS,17900,,100,True,2043-09-10T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,355873913,GHORAACCESORIOS,,,,,Genérica
MCO1391142133,Audífonos Inalámbricos Retro Vintage Rewind Negro - Jlab,new,MCO19881501,gold_pro,https://www.mercadolibre.com.co/audifonos-inalambricos-retro-vintage-rewind-negro-jlab/p/MCO19881501,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,187312,,1,True,2044-02-07T04:00:00.000Z,True,[],MCO1051,False,True,cross_docking,me2,['mandatory_free_shipping'],,,1203313740,US NOCNOC-COR,12.0,15609.33,0.0,COP,JLab
MCO830840890,"Correa Para Huawei Gt4, Gt3, Gt2 Compatible Con Garmin, Sams",new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-830840890-correa-para-huawei-gt4-gt3-gt2-compatible-con-garmin-sams-_JM,buy_it_now,MCO,MCO434353,MCO-SMARTWATCH_AND_WATCH_BANDS,17910,19900.0,50,True,2041-11-05T04:00:00.000Z,False,[],MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,429755907,A TRAER,,,,,Atraer
