id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1045935490,Confeti Cañón Volcán Pólvora Fría Eléctrico Fuente 3mt,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1045935490-confeti-canon-volcan-polvora-fria-electrico-fuente-3mt-_JM,buy_it_now,MCO,MCO417267,MCO-CONFETTI_SHOOTERS,18900,50,True,2042-11-03T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,559409830,ELKINZA2189,,,,,vaquero
MCO1318295661,Pitillo Biodegradable De Papel Ecogreen Empacado  X 100 Unid,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1318295661-pitillo-biodegradable-de-papel-ecogreen-empacado-x-100-unid-_JM,buy_it_now,MCO,MCO430983,MCO-STRAWS,20000,1,True,2043-07-18T04:00:00.000Z,False,[],MCO118204,False,False,drop_off,me2,[],,,1419170559,DISTRIDESECHABLES DELASABANA,36.0,555.56,0.0,COP,ECOGREEN
MCO1033115228,Ángel De La Guarda Niño Souvenirs Recordatorio 15 Und,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1033115228-angel-de-la-guarda-nino-souvenirs-recordatorio-15-und-_JM,buy_it_now,MCO,MCO8591,MCO-SOUVENIRS,90000,1,True,2043-04-22T00:00:04.000Z,False,[],MCO118204,False,True,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'mandatory_free_shipping']",,,198179901,CREATIFHOME,12.0,7500.0,0.0,COP,
MCO806905057,Set De Globos Luigi  Y Mario Bros 65 X 45 Cm,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-806905057-set-de-globos-luigi-y-mario-bros-65-x-45-cm-_JM,buy_it_now,MCO,MCO435877,MCO-BALLOONS,13900,1,True,2041-09-05T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,573609394,PELUCHES MASMELO,,,,,
MCO573499979,Kit Decoración Fiesta Baby Shark,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-573499979-kit-decoracion-fiesta-baby-shark-_JM,buy_it_now,MCO,MCO435356,MCO-PARTY_DECORATION_KITS,42000,1,True,2040-07-24T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,143164040,MISTER PIÑATAS,36.0,1166.67,0.0,COP,Surti
MCO976330110,Mascara La Purga Classic Anarquía Adulto Disfraz Halloween,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-976330110-mascara-la-purga-classic-anarquia-adulto-disfraz-halloween-_JM,buy_it_now,MCO,MCO157459,MCO-PARTY_MASKS,23990,1,True,2043-11-15T03:25:16.325Z,False,[],MCO118204,False,True,cross_docking,me2,['self_service_in'],,,193264204,VITTORIA.COM.CO,36.0,666.39,0.0,COP,Vittoria
MCO613104495,Vaso Económico 9 Oz 2.000 Unid + Aro Para Máquina Selladora,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-613104495-vaso-economico-9-oz-2000-unid-aro-para-maquina-selladora-_JM,buy_it_now,MCO,MCO413643,MCO-DISPOSABLE_CUPS,239900,1,True,2041-03-18T04:00:00.000Z,False,[],MCO118204,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,219113521,GLOBAL OUTLET,36.0,6663.89,0.0,COP,Global Outlet
MCO559151545,30 Recordatorios Boda Mdf,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-559151545-30-recordatorios-boda-mdf-_JM,buy_it_now,MCO,MCO8591,MCO-SOUVENIRS,87000,1,True,2040-04-13T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['MCO-chg-threshold-Jan-23'],,,464132744,TIMICOLOMBIA,36.0,2416.67,0.0,COP,
MCO1857234122,Bouquet 5 Globos Bluey Globo 3d+4 Metalizados 45cm,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1857234122-bouquet-5-globos-bluey-globo-3d4-metalizados-45cm-_JM,buy_it_now,MCO,MCO435877,MCO-BALLOONS,15500,500,True,2043-08-29T04:00:00.000Z,False,[],MCO118204,False,False,xd_drop_off,me2,['self_service_in'],,,1085789498,LENCERIASEDUCTORA.CO,,,,,Vittoria
MCO967913231,Mascara Spiderman Iron Man Y Batman Halloween Disfraz Fiesta,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-967913231-mascara-spiderman-iron-man-y-batman-halloween-disfraz-fiesta-_JM,buy_it_now,MCO,MCO157459,MCO-PARTY_MASKS,13990,250,True,2043-11-17T00:00:08.236Z,False,[],MCO118204,False,False,cross_docking,me2,['self_service_in'],,,254808136,VITTORIA FAST,,,,,Vittoria
