id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO2206746218,Radio De Comunicaciones Baofeng Uv-9r Pro Color Negro,new,MCO32422607,gold_special,https://www.mercadolibre.com.co/radio-de-comunicaciones-baofeng-uv-9r-pro-color-negro/p/MCO32422607,buy_it_now,MCO,MCO442235,MCO-WALKIE_TALKIES,188000,,50,,True,2044-02-07T04:00:00.000Z,True,[],MCO1051,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,603052909,LUZMERYDECELY,36.0,5222.22,0.0,COP,Baofeng
MCO1351282175,Audífonos In-ear Inalámbricos Xiaomi Buds 4 Lite Bhr7118gl Blanco,new,MCO26860049,gold_pro,https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-xiaomi-buds-4-lite-bhr7118gl-blanco/p/MCO26860049,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,72709,79900.0,5000,,True,2043-10-18T04:00:00.000Z,True,[],MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,1478892573,ROJASANDRES20230913212505,12.0,6059.08,0.0,COP,Xiaomi
MCO2072266134,Funda Estuche Forro Silicone Case Para Xiaomi 13t / 13 Pro,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-2072266134-funda-estuche-forro-silicone-case-para-xiaomi-13t-13-pro-_JM,buy_it_now,MCO,MCO169817,MCO-CELLPHONE_COVERS,22900,,1,,True,2043-11-26T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,355873913,GHORAACCESORIOS,12.0,1908.33,0.0,COP,Genérica
MCO1348481527,Audífonos De Monitoreo Audio-technica Ath-m50xds Color Azul Color De La Luz No,new,MCO21795263,gold_special,https://www.mercadolibre.com.co/audifonos-de-monitoreo-audio-technica-ath-m50xds-color-azul-color-de-la-luz-no/p/MCO21795263,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,1012500,,1,,True,2043-10-10T04:00:00.000Z,True,[],MCO1051,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,157083473,AKITA MUSIC,36.0,28125.0,0.0,COP,Audio-Technica
MCO1075736516,Vidrio Templado Anti Espía Para Celular,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1075736516-vidrio-templado-anti-espia-para-celular-_JM,buy_it_now,MCO,MCO12953,MCO-CELLPHONE_TABLET_AND_GPS_SCREEN_PROTECTORS,14900,,500,,True,2042-11-12T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,130225743,AYF_ACCESORIOS_COLOMBIA_,,,,,Genérica
MCO928083549,Smart Band M6 Fitness Pulsera Reloj Inteligente Smart Watch,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-928083549-smart-band-m6-fitness-pulsera-reloj-inteligente-smart-watch-_JM,buy_it_now,MCO,MCO118449,MCO-SMARTWATCHES,23100,,250,,True,2042-07-14T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,66208468,52 BITS,36.0,641.67,0.0,COP,M6
MCO918935661,"Huawei Band 6 1.47  Caja De  Polímero Gold, Malla  Sakura Pink De  Silicona Fra-b19",new,MCO17944054,gold_special,https://www.mercadolibre.com.co/huawei-series-6-band-6-147-caja-de-polimero-gold-malla-sakura-pink-de-silicona-fra-b19/p/MCO17944054,buy_it_now,MCO,MCO118449,MCO-SMARTWATCHES,366900,,1,,True,2042-06-27T04:00:00.000Z,True,[],MCO1051,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,609476065,AMERICAN TIENDA,36.0,10191.67,0.0,COP,Huawei
MCO1051306846,"Correa Para Reloj Garmin 22mm Forerunner 255, Venu2, Vivo 4.",new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1051306846-correa-para-reloj-garmin-22mm-forerunner-255-venu2-vivo-4-_JM,buy_it_now,MCO,MCO417313,MCO-SMARTWATCH_AND_WATCH_BANDS,35900,,50,,True,2042-11-05T04:00:00.000Z,False,[],MCO1051,False,False,xd_drop_off,me2,[],,,305689666,MYSMARTITEMS,12.0,2991.67,0.0,COP,Majos
MCO1949351916,Convertidor De Plug A Dos Plug Para Conectar Dos Audifonos,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1949351916-convertidor-de-plug-a-dos-plug-para-conectar-dos-audifonos-_JM,buy_it_now,MCO,MCO3520,MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,12500,,1,,True,2043-09-30T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,63324385,TECNOQUICK BOGOTA,,,,,Genérica
MCO1202867782,Aro De Luz Multicolor Rgb 33cm Soporte Celular Y Trípode 2m,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1202867782-aro-de-luz-multicolor-rgb-33cm-soporte-celular-y-tripode-2m-_JM,buy_it_now,MCO,MCO417716,MCO-CELLPHONE_SELFIE_LIGHTS,54000,,1,,True,2043-01-20T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,173391710,INNOVATECHMB,36.0,1500.0,0.0,COP,Rgb Led
MCO956062140,Cargador Carga Rápida 25w Adaptador Samsung Original,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-956062140-cargador-carga-rapida-25w-adaptador-samsung-original-_JM,buy_it_now,MCO,MCO39268,MCO-MOBILE_DEVICE_CHARGERS,75592,85900.0,1,,True,2042-08-31T04:00:00.000Z,False,[],MCO1051,False,True,fulfillment,me2,"['fulfillment', 'MCO-chg-threshold-Jan-23', 'self_service_out']",,,406781619,TECHNOLOGYRIVER,36.0,2099.78,0.0,COP,Samsung
MCO1432743862,Protector Forro Diseño Compatible Con Cargador iPhone 20w ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1432743862-protector-forro-diseno-compatible-con-cargador-iphone-20w-_JM,buy_it_now,MCO,MCO4922,MCO-DATA_CABLES_AND_ADAPTERS,40840,42990.0,1,,True,2043-04-04T04:00:00.000Z,False,[],MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,81574815,KORESTORE COLOMBIA,36.0,1134.44,0.0,COP,Genérico Compatible con cargador iPhone 20w
MCO626858398,Correa Metálica Con Cierre De Seguridad Para Xiaomi Band 6,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-626858398-correa-metalica-con-cierre-de-seguridad-para-xiaomi-band-6-_JM,buy_it_now,MCO,MCO434353,MCO-SMARTWATCH_AND_WATCH_BANDS,30000,,1,,True,2042-10-23T04:52:45.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,81213245,TAUXI_COMERCIALIZADORA,12.0,2500.0,0.0,COP,Genérica
MCO619795141,Uña Metalica Baku Bk 213 Apertura Celular Acero Inoxidable,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-619795141-una-metalica-baku-bk-213-apertura-celular-acero-inoxidable-_JM,buy_it_now,MCO,MCO432463,MCO-CELLPHONE_REPAIR_TOOL_KITS,5600,,1,,True,2041-04-25T04:00:00.000Z,False,[],MCO1051,False,False,fulfillment,me2,['fulfillment'],,,462984194,VIVO_EVOLUCION TECNOLOGICA,,,,,Baku
MCO1298863444,Lapiz Limpiador Audifonos Inalambricos AirPods Celular 3en1 ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1298863444-lapiz-limpiador-audifonos-inalambricos-airpods-celular-3en1-_JM,buy_it_now,MCO,MCO5549,MCO-CELLPHONE_ACCESSORIES,12900,,50,,True,2043-03-05T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,469960335,MVMARCAS.COM,,,,,Mv Marcas
MCO863510080,Soporte Celular Y Control Remoto Para Pared,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-863510080-soporte-celular-y-control-remoto-para-pared-_JM,buy_it_now,MCO,MCO6944,MCO-CELLPHONE_ACCESSORIES,7990,,1,,True,2042-06-08T00:45:15.000Z,False,[],MCO1051,False,False,fulfillment,me2,['fulfillment'],,,172425901,ANGELAXIOMARAFONSECAROMERO,,,,,Genérica
MCO583464026,Cable Original Samsung Tipo C A Tipo C A70 A80 Note10 S20,new,MCO19854901,gold_pro,https://articulo.mercadolibre.com.co/MCO-583464026-cable-original-samsung-tipo-c-a-tipo-c-a70-a80-note10-s20-_JM,buy_it_now,MCO,MCO4922,MCO-DATA_CABLES_AND_ADAPTERS,29990,,1,,True,2040-09-13T04:00:00.000Z,False,[],MCO1051,False,False,fulfillment,me2,"['fulfillment', 'self_service_out']",,,91061472,DIMEGATEC,12.0,2499.17,0.0,COP,Samsung
MCO597547532,Cable Usb C Alta Velocidad Otg Adaptador- Apple Android Win ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-597547532-cable-usb-c-alta-velocidad-otg-adaptador-apple-android-win-_JM,buy_it_now,MCO,MCO181196,MCO-DATA_CABLES_AND_ADAPTERS,11900,,1,,True,2042-05-21T16:28:57.000Z,False,[],MCO1051,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,55477565,SISDATA.CO,,,,,Sisdata
MCO930648834,Funda Silicone Case Para iPhone 13 Mini\13\13pro\13promax,new,MCO22780540,gold_pro,https://articulo.mercadolibre.com.co/MCO-930648834-funda-silicone-case-para-iphone-13-mini1313pro13promax-_JM,buy_it_now,MCO,MCO169817,MCO-CELLPHONE_COVERS,24500,,100,,True,2042-07-18T04:00:00.000Z,False,[],MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,1034604501,ANVICSTORE.,12.0,2041.67,0.0,COP,Genérica
MCO866122832,Soporte Holder Multifuncional Carro-cabezera-escritorio 360,new,MCO27569352,gold_pro,https://articulo.mercadolibre.com.co/MCO-866122832-soporte-holder-multifuncional-carro-cabezera-escritorio-360-_JM,buy_it_now,MCO,MCO429452,MCO-VEHICLE_CELLPHONE_AND_GPS_MOUNTS,16339,17199.0,1,,True,2042-02-26T04:00:00.000Z,False,[],MCO1051,False,False,cross_docking,me2,['self_service_in'],,,23988417,CARLOSALFONSO SERRANOULLOA,,,,,Genérica
MCO2206644040,Teléfono Vtech Cs6719 Inalámbrico - Color Gris/negro,new,MCO9002724,gold_pro,https://www.mercadolibre.com.co/telefono-vtech-cs6719-inalambrico-color-grisnegro/p/MCO9002724,buy_it_now,MCO,MCO2896,MCO-TELEPHONES,162149,202686.0,1,,True,2044-02-07T04:00:00.000Z,True,[],MCO1051,False,True,cross_docking,me2,['mandatory_free_shipping'],,,1103133100,NOCNOC US-COR,12.0,13512.42,0.0,COP,VTech
MCO918948249,Audífonos Inalámbricos Aftershokz Air Slate Gray Con Luz Led,new,MCO10006175,gold_special,https://www.mercadolibre.com.co/audifonos-inalambricos-aftershokz-air-slate-gray-con-luz-led/p/MCO10006175,buy_it_now,MCO,MCO5072,MCO-HEADPHONES,1113900,,1,,True,2042-06-27T04:00:00.000Z,True,[],MCO1051,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,609476065,AMERICAN TIENDA,36.0,30941.67,0.0,COP,AfterShokz
MCO950552063,Cable Cargador Reloj Garmin Fenix 5/5s/5x 6/6s/6x + Funda,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-950552063-cable-cargador-reloj-garmin-fenix-55s5x-66s6x-funda-_JM,buy_it_now,MCO,MCO417755,MCO-SMARTWATCH_CHARGERS,23990,,1,,True,2042-12-04T18:26:58.000Z,False,[],MCO1051,False,False,xd_drop_off,me2,['self_service_in'],,,688266578,PROODASTORE,12.0,1999.17,0.0,COP,prooda colombia
