id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO575055303,Repuestos Mangueras Extractor Medela (x2),new,,gold_special,https://articulo.mercadolibre.com.co/MCO-575055303-repuestos-mangueras-extractor-medela-x2-_JM,buy_it_now,MCO,MCO39945,MCO-BREAST_PUMPS,65000,,1,,True,2040-07-31T04:00:00.000Z,False,[],,MCO1384,False,False,xd_drop_off,me2,[],,,76670163,RV3L3Z,36.0,1805.56,0.0,COP,Maymom
MCO1388514655,Coche Paseador Nova Priori Color Negro Color Del Chasis Negro,new,MCO31774086,gold_special,https://www.mercadolibre.com.co/coche-paseador-nova-priori-color-negro-color-del-chasis-negro/p/MCO31774086,buy_it_now,MCO,MCO15047,MCO-BABY_STROLLERS,535437,849900.0,1,58.0,True,2044-01-30T04:00:00.000Z,True,[],Priori,MCO1384,False,True,cross_docking,me2,['mandatory_free_shipping'],,,179432356,MULTITIENDAS OFICIALES,36.0,14873.25,0.0,COP,Priori
MCO576061270,Conjunto De Niño ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-576061270-conjunto-de-nino-_JM,buy_it_now,MCO,MCO28130,MCO-BABY_CLOTHING_SETS,72250,,1,,True,2040-08-22T15:40:36.000Z,False,[],,MCO1384,False,False,xd_drop_off,me2,['MCO-chg-threshold-Jan-23'],,,622609976,CREACIONESOSVITH,36.0,2006.94,0.0,COP,Creaciones Osvith
MCO1274755717,Weleda Crema Calendula Cuidado Irritacion Bebe Panal,new,MCO21803883,gold_special,https://www.mercadolibre.com.co/weleda-crema-calendula-cuidado-irritacion-bebe-panal/p/MCO21803883,buy_it_now,MCO,MCO173190,MCO-BABY_CREAMS_AND_OINTMENTS,115900,122000.0,1,,True,2043-03-18T04:00:00.000Z,True,[],,MCO1384,False,True,cross_docking,me2,['mandatory_free_shipping'],,,545180103,WHIMCO,36.0,3219.44,0.0,COP,Weleda
MCO1972636822,Mordedor Sonajero Pulpo Baby Einstein 12487 Color Blanco,new,MCO27776015,gold_special,https://www.mercadolibre.com.co/mordedor-sonajero-pulpo-baby-einstein-12487-color-blanco/p/MCO27776015,buy_it_now,MCO,MCO420419,MCO-BABY_RATTLES,32500,49900.0,1,59.0,True,2043-10-14T04:00:00.000Z,True,[],InfanToys,MCO1384,False,False,cross_docking,me2,[],,,179432356,MULTITIENDAS OFICIALES,36.0,902.78,0.0,COP,Baby Einstein
MCO2030682286,Medela Biberones Con Tetinas De Flujo Lento- 5oz/150ml Color Transparentes,new,MCO26003808,gold_special,https://www.mercadolibre.com.co/medela-biberones-con-tetinas-de-flujo-lento-5oz150ml-color-transparentes/p/MCO26003808,buy_it_now,MCO,MCO420400,MCO-BABY_BOTTLES,94417,103754.0,1,,True,2043-11-12T04:00:00.000Z,True,[],,MCO1384,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,344093871,PATO JUGUETES,36.0,2622.69,0.0,COP,Medela
MCO1345564441,Leche De Fórmula En Polvo Sin Tacc Nestlé Nan Optipro 1 En Lata De 1 De 1.1kg - 0  A 6 Meses,new,MCO10337712,gold_special,https://www.mercadolibre.com.co/leche-de-formula-en-polvo-sin-tacc-nestle-nan-optipro-1-en-lata-de-1-de-11kg-0-a-6-meses/p/MCO10337712,buy_it_now,MCO,MCO39965,MCO-BABY_FORMULAS,128700,,1,,True,2043-10-01T04:00:00.000Z,True,[],,MCO1384,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,1202130403,GXYSHOP,36.0,3575.0,0.0,COP,Nan
MCO597277519,Repuesto Manguera Parte 6 Sacaleches Electrico Real Bubee ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-597277519-repuesto-manguera-parte-6-sacaleches-electrico-real-bubee-_JM,buy_it_now,MCO,MCO39945,MCO-BREAST_PUMPS,9000,,1,,True,2041-09-27T01:11:03.000Z,False,[],,MCO1384,False,False,cross_docking,me2,[],,,48335556,GANGADIGITAL.CO,,,,,Real Bubee
MCO1625526688,Rodilleras De Lana Hipoalergenica Para Bebes Gateadores,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1625526688-rodilleras-de-lana-hipoalergenica-para-bebes-gateadores-_JM,buy_it_now,MCO,MCO420436,MCO-BABY_CLOTHING,9900,,1,,True,2043-05-24T04:00:00.000Z,False,[],,MCO1384,False,False,xd_drop_off,me2,['self_service_in'],,,554715911,INNOVATION.INNOVATION,,,,,Genérica
MCO601301574,Stich Rosada Gigante 100cms Perfumada Obsequios Env Gratis,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-601301574-stich-rosada-gigante-100cms-perfumada-obsequios-env-gratis-_JM,buy_it_now,MCO,MCO176652,MCO-STUFFED_TOYS,144876,169900.0,500,,True,2041-01-06T04:00:00.000Z,False,[],,MCO1384,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,240893296,JOSEFINOPELUCHESGRANDES,12.0,12073.0,0.0,COP,Josefino Peluches Grandes
MCO1708839950,Silla Para Carro Bebe Priori Prix,new,MCO31014490,gold_special,https://articulo.mercadolibre.com.co/MCO-1708839950-silla-para-carro-bebe-priori-prix-_JM,buy_it_now,MCO,MCO8814,MCO-BABY_CAR_SEATS,449950,917400.0,1,58.0,True,2043-07-07T04:00:00.000Z,False,[],Priori,MCO1384,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,179432356,MULTITIENDAS OFICIALES,36.0,12498.61,0.0,COP,Priori
MCO1349780283,Leche Klim Deslactosada Semidescre.840 G,new,MCO27777463,gold_special,https://www.mercadolibre.com.co/leche-klim-deslactosada-semidescre840-g/p/MCO27777463,buy_it_now,MCO,MCO39965,MCO-BABY_FORMULAS,53700,,1,50043.0,True,2043-10-14T04:00:00.000Z,True,[],Farmaweb,MCO1384,False,False,cross_docking,me2,['self_service_out'],,,388680094,FARMAWEBGROUP,36.0,1491.67,0.0,COP,Klim
