id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1324785418,Blackpink Lightstick V2 Original Kpop App Bluetooth Concert,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1324785418-blackpink-lightstick-v2-original-kpop-app-bluetooth-concert-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,311094,,150,True,2043-03-13T04:00:00.000Z,False,[],MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,1094085416,CNHANDLIST-COR,12.0,25924.5,0.0,COP,
MCO1450023018,Iron Maiden Box Set Eddie´s Archive Edición Limitada 2003 Uk,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1450023018-iron-maiden-box-set-eddies-archive-edicion-limitada-2003-uk-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,793900,,1,True,2043-04-09T04:00:00.000Z,False,[],MCO1168,False,True,drop_off,me2,[],,,94016040,HALCON DEACERO777,36.0,22052.78,0.0,COP,
MCO1331550329,Dvd Cartoon Crack-ups / Hanna-barbera / Cartoon Network,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1331550329-dvd-cartoon-crack-ups-hanna-barbera-cartoon-network-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,59900,,1,True,2043-08-21T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1663.89,0.0,COP,DVD
MCO1605579172,Blackpink Lightstick - Martillo Bong,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1605579172-blackpink-lightstick-martillo-bong-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,140546,,50,True,2043-05-17T04:00:00.000Z,False,[],MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,1239592891,CNBAOXI-COR,12.0,11712.17,0.0,COP,
MCO1657039568,Vinyl Vinilo Lp Acetato Llena Tu Cabeza De Rock '86 Charly ,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1657039568-vinyl-vinilo-lp-acetato-llena-tu-cabeza-de-rock-86-charly-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,90000,,1,True,2043-06-12T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,45548108,NIGERTOOL2011,36.0,2500.0,0.0,COP,
MCO1045588569,Novela Colombiana: Pandilla Guerra Y Paz,used,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1045588569-novela-colombiana-pandilla-guerra-y-paz-_JM,buy_it_now,MCO,MCO5633,MCO-TV_SERIES,10000,,1,True,2042-11-02T04:00:00.000Z,False,[],MCO1168,False,True,not_specified,not_specified,[],,,159189599,OSCARLUISPINEDADIAZ,,,,,
MCO633926292,Johnny Colon - Portrait Of Johnny,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-633926292-johnny-colon-portrait-of-johnny-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,125000,,1,True,2041-06-04T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,181939816,HITMUSICAL DISCOTIENDA,12.0,10416.67,0.0,COP,
MCO966153917,Lp - Acetato - Bandas Sonoras - Selecciones Circulo - 3 Lp,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-966153917-lp-acetato-bandas-sonoras-selecciones-circulo-3-lp-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,152000,160000.0,1,True,2042-09-16T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,157583271,LIBRERIAFERIADELLIBRO,12.0,12666.67,0.0,COP,
MCO1373691353,Dvd Película - El Regalo Prometido / Jingle All The Way - ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1373691353-dvd-pelicula-el-regalo-prometido-jingle-all-the-way--_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,56905,59900.0,1,True,2043-12-17T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1580.69,0.0,COP,DVD
MCO1996554336,200 Clasicas Del Vallenato - La Gota Fria - 2 Cd,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1996554336-200-clasicas-del-vallenato-la-gota-fria-2-cd-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,35000,,1,True,2043-10-25T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,2916.67,0.0,COP,
