id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1305770164,Audífonos In-ear Gamer Inalámbricos Razer Hammerhead True Wireless X Negro Con Luz  Verde Led,new,MCO19037632,gold_pro,https://www.mercadolibre.com.co/audifonos-in-ear-gamer-inalambricos-razer-hammerhead-true-wireless-x-negro-con-luz-verde-led/p/MCO19037632,buy_it_now,MCO,MCO31377,MCO-HEADPHONES,248880,,1,,True,2043-03-08T04:00:00.000Z,True,[],MCO1144,False,True,drop_off,me2,['mandatory_free_shipping'],,,780645585,SUPERBABYCO,12.0,20740.0,0.0,COP,Razer
MCO879111219,Sony Playstation 4 Slim Cuh-20 1tb Standard Color  Negro Azabache,new,MCO6252348,gold_special,https://www.mercadolibre.com.co/sony-playstation-4-slim-cuh-20-1tb-standard-color-negro-azabache/p/MCO6252348,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,1899990,,1,,True,2042-04-01T04:00:00.000Z,True,[],MCO1144,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,228385106,BEAUTY HOME,36.0,52777.5,0.0,COP,Sony
MCO1394310665,Naruto X Boruto Ultimate Ninja Storm Connections Switch,new,MCO27487280,gold_special,https://www.mercadolibre.com.co/naruto-x-boruto-ultimate-ninja-storm-connections-switch/p/MCO27487280,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,249900,,1,,True,2044-02-15T04:00:00.000Z,True,[],MCO1144,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,25283625,JOSELO382,36.0,6941.67,0.0,COP,Switch
MCO1395103985,Tarjeta De Memoria Sandisk 64gb Sd Extreme Pro  Class 10,new,MCO21465005,gold_special,https://www.mercadolibre.com.co/tarjeta-de-memoria-sandisk-64gb-sd-extreme-pro-class-10/p/MCO21465005,buy_it_now,MCO,MCO87069,MCO-MEMORY_CARDS,90990,,1,,True,2044-02-17T04:00:00.000Z,True,[],MCO1144,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,1505237984,POPECOLOMBIA,36.0,2527.5,0.0,COP,SanDisk
MCO1197252447,Microsoft Xbox Series S 512gb Fortnite Y Rocket League Bundle Color  Blanco,new,MCO18640623,gold_special,https://www.mercadolibre.com.co/microsoft-xbox-series-s-512gb-fortnite-y-rocket-league-bundle-color-blanco/p/MCO18640623,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,2418900,,1,,True,2043-03-08T17:42:56.000Z,True,[],MCO1144,False,True,drop_off,me2,['mandatory_free_shipping'],,,85062679,E-TAG,36.0,67191.67,0.0,COP,Microsoft
MCO1290692639,Ghost Of Tsushima  Ghost Of Tsushima Director's Cut Sony Ps4 Físico,new,MCO18438375,gold_special,https://www.mercadolibre.com.co/ghost-of-tsushima-ghost-of-tsushima-directors-cut-sony-ps4-fisico/p/MCO18438375,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,166030,,1,,True,2043-04-27T04:00:00.000Z,True,[],MCO1144,False,True,drop_off,me2,['mandatory_free_shipping'],,,1355729170,ARCADEDANIEL,36.0,4611.94,0.0,COP,Sony
MCO1333445825,Joystick Trust Muta Cable Extra Largo 3 Mts Para Pc Dimm Color Negro,new,MCO26155394,gold_special,https://www.mercadolibre.com.co/joystick-trust-muta-cable-extra-largo-3-mts-para-pc-dimm-color-negro/p/MCO26155394,buy_it_now,MCO,MCO11067,MCO-GAMEPADS_AND_JOYSTICKS,111900,,1,,True,2043-08-26T04:00:00.000Z,True,[],MCO1144,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,1240398017,FENIXTECUNILAGO,36.0,3108.33,0.0,COP,Trust
MCO818180142,Consola Nintendo Switch Neon O Gris 32gb,new,MCO8755482,gold_special,https://articulo.mercadolibre.com.co/MCO-818180142-consola-nintendo-switch-neon-o-gris-32gb-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,1313689,,200,,True,2041-10-02T04:00:00.000Z,False,[],MCO1144,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,783790319,MRBLIS.COM,36.0,36491.36,0.0,COP,Nintendo
MCO1164415865,Audífonos Gamer Hyperx Cloudx Stinger Hx-hscsx Negro Y Verde Con Luz  Verde Oscuro,new,MCO18592703,gold_special,https://www.mercadolibre.com.co/audifonos-gamer-hyperx-cloudx-stinger-hx-hscsx-negro-y-verde-con-luz-verde-oscuro/p/MCO18592703,buy_it_now,MCO,MCO31377,MCO-HEADPHONES,169900,,1,,True,2042-12-23T04:00:00.000Z,True,[],MCO1144,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,52392766,JD MARKET,36.0,4719.44,0.0,COP,HyperX
MCO1007377037,Nintendo Ds Standard Color  Platinum Silver,new,MCO14797078,gold_special,https://www.mercadolibre.com.co/nintendo-ds-standard-color-platinum-silver/p/MCO14797078,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,1799999,,1,,True,2042-10-16T04:00:00.000Z,True,[],MCO1144,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,53387092,FIXXER STORE,36.0,49999.97,0.0,COP,Nintendo
