id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1339286269,Sony Playstation 2 Slim (ps2),used,MCO5325920,gold_special,https://articulo.mercadolibre.com.co/MCO-1339286269-sony-playstation-2-slim-ps2-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,350000,1,True,2043-09-13T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,728737438,RETROGAMEBITS.STORE,36,9722.22,0,COP,Sony
MCO1392014332,Play 4 Fat 1215 Con 1 Control Original Y 1 Juego Fisico Esta,used,MCO6454403,gold_special,https://articulo.mercadolibre.com.co/MCO-1392014332-play-4-fat-1215-con-1-control-original-y-1-juego-fisico-esta-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,1000000,1,True,2043-03-26T04:00:00.000Z,False,[],MCO1144,False,True,xd_drop_off,me2,[],,,397432196,JAAL9365699,36,27777.78,0,COP,Sony
MCO1982235542,Xbox One S De 1 Tera Con 1 Control Ver Fotos,used,MCO24520655,gold_special,https://articulo.mercadolibre.com.co/MCO-1982235542-xbox-one-s-de-1-tera-con-1-control-ver-fotos-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,950000,1,True,2043-10-19T04:00:00.000Z,False,[],MCO1144,False,True,xd_drop_off,me2,[],,,397432196,JAAL9365699,36,26388.89,0,COP,Microsoft
MCO1393001293,Sony Playstation 4 Slim  1tb ,used,MCO6454377,gold_special,https://articulo.mercadolibre.com.co/MCO-1393001293-sony-playstation-4-slim-1tb-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,998000,1,True,2044-02-13T04:00:00.000Z,False,[],MCO1144,False,True,xd_drop_off,me2,[],,,55400661,UN-TECHNO,36,27722.22,0,COP,Sony
MCO1384470239,Nintendo Lite Switch Lite 32gb Standard Gris + Juego,used,MCO15191028,gold_special,https://articulo.mercadolibre.com.co/MCO-1384470239-nintendo-lite-switch-lite-32gb-standard-gris-juego-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,649999,1,True,2044-01-18T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,1111711343,GAMESSAVERS.,36,18055.53,0,COP,Nintendo
MCO548495436,Ps3 Play Station 3 Super Slim 500  Gb + Juegos Playstaion 3,used,MCO6106601,gold_special,https://articulo.mercadolibre.com.co/MCO-548495436-ps3-play-station-3-super-slim-500-gb-juegos-playstaion-3-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,859990,50,True,2040-01-07T04:00:00.000Z,False,[],MCO1144,False,True,xd_drop_off,me2,[],,,305772147,TECHNOBESTPRICE,36,23888.61,0,COP,Sony
MCO1318156077,Consola Xbox One S 500gb Battlefield ,used,MCO15192533,gold_special,https://articulo.mercadolibre.com.co/MCO-1318156077-consola-xbox-one-s-500gb-battlefield-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,1060000,1,True,2043-07-18T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,37141607,HENAOSH,36,29444.44,0,COP,Microsoft
MCO1636809614,Playstation Ps3 Azul + Obsequio! Patineta Tony Hawk,used,MCO6321495,gold_special,https://articulo.mercadolibre.com.co/MCO-1636809614-playstation-ps3-azul-obsequio-patineta-tony-hawk-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,549000,1,True,2043-05-31T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,[],,,95945422,MAURO292001,36,15250.0,0,COP,Sony
MCO2021693630,Consola Sony Playstation Pspgo Nueva Edicion Piano + Juegos,used,MCO6454410,gold_special,https://articulo.mercadolibre.com.co/MCO-2021693630-consola-sony-playstation-pspgo-nueva-edicion-piano-juegos-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,999999,1,True,2043-11-08T04:00:00.000Z,False,[],MCO1144,False,True,xd_drop_off,me2,['self_service_in'],,,53387092,FIXXER STORE,36,27777.75,0,COP,Sony
MCO1078818295,Xbox 360 Ultra Slim 5.0 Disco Duro 500 Gb Kinet +forros+car.,used,MCO15458772,gold_pro,https://articulo.mercadolibre.com.co/MCO-1078818295-xbox-360-ultra-slim-50-disco-duro-500-gb-kinet-forroscar-_JM,buy_it_now,MCO,MCO2931,MCO-GAME_CONSOLES,950000,1,True,2043-06-03T06:57:53.000Z,False,[],MCO1144,False,True,xd_drop_off,me2,['self_service_in'],,,1184619613,LEMUSJENNY20220823230938,12,79166.67,0,COP,Microsoft
