id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1373524317,Audífonos Cloud Stinger 2 Wireless Hyperx Color Negro Color De La Luz Na,new,MCO25831144,gold_special,https://www.mercadolibre.com.co/audifonos-cloud-stinger-2-wireless-hyperx-color-negro-color-de-la-luz-na/p/MCO25831144,buy_it_now,MCO,MCO31377,MCO-HEADPHONES,399000,,1,True,2043-12-17T04:00:00.000Z,True,[],MCO1144,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,190930068,TAURET.COMPUTADORES,36.0,11083.33,0.0,COP,HyperX
MCO2044236506,Game Pass Ultimate 1 Mes,new,MCO28294145,gold_pro,https://articulo.mercadolibre.com.co/MCO-2044236506-game-pass-ultimate-1-mes-_JM,buy_it_now,MCO,MCO117092,MCO-VIDEO_GAME_PREPAID_CARDS,21800,,50,True,2043-11-17T04:00:00.000Z,False,[],MCO1144,False,True,not_specified,not_specified,[],,,1412378468,LOZADAMAURICIO20230701103418,12.0,1816.67,0.0,COP,Microsoft
MCO987710432,Mario Strikers Battle League Switch,new,MCO19081011,gold_special,https://articulo.mercadolibre.com.co/MCO-987710432-mario-strikers-battle-league-switch-_JM,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,239900,,1,True,2042-10-07T04:00:00.000Z,False,[],MCO1144,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,534289338,GIWI3254200,36.0,6663.89,0.0,COP,Switch
MCO1355842419,Diadema Audífonos Inalámbricos Gamer Rgb Graffiti Diseño P35,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1355842419-diadema-audifonos-inalambricos-gamer-rgb-graffiti-diseno-p35-_JM,buy_it_now,MCO,MCO31377,MCO-HEADPHONES,37642,64900.0,250,True,2043-10-29T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,581059899,NICOLASCASTROAVILA,12.0,3136.83,0.0,COP,GRAFFITI
MCO2118669568,Funda Carcasa Acrilica Compatible Con Nintendo Switch,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-2118669568-funda-carcasa-acrilica-compatible-con-nintendo-switch-_JM,buy_it_now,MCO,MCO413678,MCO-GAME_CONSOLE_COVERS_AND_BAGS,29900,,50,True,2043-12-22T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,461909637,LINK GAME,36.0,830.56,0.0,COP,Crystal
MCO475175720,"Kit Control De Juegos Gamepad Usb, 2x1 Análog Y Digital",new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-475175720-kit-control-de-juegos-gamepad-usb-2x1-analog-y-digital-_JM,buy_it_now,MCO,MCO441782,MCO-GAMEPADS_AND_JOYSTICKS,39980,,250,True,2038-06-20T04:00:00.000Z,False,[],MCO1144,False,False,cross_docking,me2,['self_service_in'],,,263335107,VENTASBOGOTAOFICIAL,12.0,3331.67,0.0,COP,GAMEPAD
MCO512486667,Videojuego Truck Driver Playstation 4 ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-512486667-videojuego-truck-driver-playstation-4-_JM,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,208550,,1,True,2039-05-04T04:00:00.000Z,False,[],MCO1144,False,True,cross_docking,me2,['mandatory_free_shipping'],,,218237182,SIMARO.CO,36.0,5793.06,0.0,COP,PlayStation
MCO608110485,Cargador Adaptador Ps Vita 1000,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-608110485-cargador-adaptador-ps-vita-1000-_JM,buy_it_now,MCO,MCO420725,MCO-GAME_CONSOLES_VIDEO_GAMES_AND_ARCADE_MACHINES,28900,,1,True,2041-02-13T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,397642985,COMERCIALIZAORA JYC,12.0,2408.33,0.0,COP,Genérica
MCO1353998917,Control Ps4 Compatible Con Play Station 4 Y Pc Color Dorado ,new,MCO24971964,gold_pro,https://articulo.mercadolibre.com.co/MCO-1353998917-control-ps4-compatible-con-play-station-4-y-pc-color-dorado-_JM,buy_it_now,MCO,MCO117056,MCO-GAMEPADS_AND_JOYSTICKS,75000,,1,True,2043-10-24T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,1202130403,GXYSHOP,12.0,6250.0,0.0,COP,Genérica
MCO562116311,Silicona Para Control Xbox One Funda O Forro ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-562116311-silicona-para-control-xbox-one-funda-o-forro-_JM,buy_it_now,MCO,MCO434363,MCO-GAME_CONSOLES_VIDEO_GAMES_AND_ARCADE_MACHINES,14900,,1,True,2040-05-05T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,461909637,LINK GAME,,,,,
MCO1347367076,Juego Para Ps5. Hot Wheels Unleashed,new,MCO18564559,gold_pro,https://articulo.mercadolibre.com.co/MCO-1347367076-juego-para-ps5-hot-wheels-unleashed-_JM,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,202483,,50,True,2043-03-17T04:00:00.000Z,False,[],MCO1144,False,True,cross_docking,me2,['mandatory_free_shipping'],,,817708959,THEBOOKSTORECO,12.0,16873.58,0.0,COP,Deep Silver
MCO451514942,"Control Gamepad Usb Programable Logitech F310, Pc Android Tv",new,MCO13505412,gold_special,https://articulo.mercadolibre.com.co/MCO-451514942-control-gamepad-usb-programable-logitech-f310-pc-android-tv-_JM,buy_it_now,MCO,MCO441782,MCO-GAMEPADS_AND_JOYSTICKS,99900,,1,True,2037-06-28T13:02:40.000Z,False,[],MCO1144,False,True,fulfillment,me2,"['fulfillment', 'self_service_in', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",,,52392766,JD MARKET,36.0,2775.0,0.0,COP,Logitech
MCO607603886,"Diadema Gamer Unitec K13, Usb 7.1 Virtual Ps3/ps4/pc Luz Led",new,,gold_special,https://articulo.mercadolibre.com.co/MCO-607603886-diadema-gamer-unitec-k13-usb-71-virtual-ps3ps4pc-luz-led-_JM,buy_it_now,MCO,MCO31377,MCO-HEADPHONES,74900,83223.0,1,True,2041-02-10T04:00:00.000Z,False,[],MCO1144,False,False,cross_docking,me2,"['MCO-chg-threshold-Jan-23', 'self_service_in']",,,52392766,JD MARKET,36.0,2080.56,0.0,COP,Redragon
MCO1349833455,Tapa Memoria Microsd Soporte Compatible Con Nintendo Switch,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1349833455-tapa-memoria-microsd-soporte-compatible-con-nintendo-switch-_JM,buy_it_now,MCO,MCO407561,MCO-GAME_CONSOLES_VIDEO_GAMES_AND_ARCADE_MACHINES,23800,,1,True,2043-10-14T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,769746549,GEEKCO_TIENDA,12.0,1983.33,0.0,COP,Genérica
MCO864446718,Call Of Juarez Gun Er   Switch Game Download Code In Bo...,new,MCO21801034,gold_special,https://articulo.mercadolibre.com.co/MCO-864446718-call-of-juarez-gun-er-switch-game-download-code-in-bo-_JM,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,199900,,1,True,2042-02-21T04:00:00.000Z,False,[],MCO1144,False,True,cross_docking,me2,['mandatory_free_shipping'],,,120405736,TODOENCARGO-CO,36.0,5552.78,0.0,COP,Switch
MCO889015887,Silla De Escritorio Gtracing Ace-m1 Gamer Ergonómica  Beige Con Tapizado De Cuero Sintético Y Fibra De Carbono,new,MCO19055949,gold_special,https://www.mercadolibre.com.co/silla-de-escritorio-gtracing-ace-m1-gamer-ergonomica-beige-con-tapizado-de-cuero-sintetico-y-fibra-de-carbono/p/MCO19055949,buy_it_now,MCO,MCO447782,MCO-OFFICE_CHAIRS,1836371,2515578.0,1,True,2042-04-28T04:00:00.000Z,True,[],MCO1144,False,True,drop_off,me2,['mandatory_free_shipping'],,,599455763,IECOMM SAS,36.0,51010.31,0.0,COP,Gtracing
MCO833648043,Vidrio Templado Protector 9h Compatible Con Switch Oled,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-833648043-vidrio-templado-protector-9h-compatible-con-switch-oled-_JM,buy_it_now,MCO,MCO413679,MCO-GAME_CONSOLE_SCREEN_PROTECTORS,25900,,1,True,2041-11-14T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,2055608,SUPER GADGETWORLD,12.0,2158.33,0.0,COP,Genérica
MCO576990747,Análogo Joystick Repuesto Control Xbox 360,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-576990747-analogo-joystick-repuesto-control-xbox-360-_JM,buy_it_now,MCO,MCO441355,MCO-GAMEPADS_AND_JOYSTICKS,6900,,1,True,2040-08-08T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_in'],,,210400291,ATARISTATION VIDEOJUEGOS,,,,,Xbox
MCO1934222418,Dead Island 2 Day One Edition Ps5 Fisico Nuevo,new,MCO22915100,gold_special,https://articulo.mercadolibre.com.co/MCO-1934222418-dead-island-2-day-one-edition-ps5-fisico-nuevo-_JM,buy_it_now,MCO,MCO163237,MCO-VIDEO_GAMES,299000,,1,True,2043-09-21T04:00:00.000Z,False,[],MCO1144,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,1059842769,PIPEGAMES22,36.0,8305.56,0.0,COP,
MCO1290670795,Control Playstation 5 Original ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1290670795-control-playstation-5-original-_JM,buy_it_now,MCO,MCO441301,MCO-GAME_CONSOLES_VIDEO_GAMES_AND_ARCADE_MACHINES,345000,,1,True,2043-04-27T04:00:00.000Z,False,[],MCO1144,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,581634854,HEWI3884763,36.0,9583.33,0.0,COP,Sony
MCO593683071,Cartucho Family Polystation 150 En 1 No Repite,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-593683071-cartucho-family-polystation-150-en-1-no-repite-_JM,buy_it_now,MCO,MCO441363,MCO-GAME_CONSOLES_VIDEO_GAMES_AND_ARCADE_MACHINES,59500,,1,True,2040-11-04T04:00:00.000Z,False,[],MCO1144,False,False,xd_drop_off,me2,['self_service_out'],,,180035596,ARAL2204271,36.0,1652.78,0.0,COP,OEM
