id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO571817761,Silla Ejecutiva Ergonómica Reclinable Con Espaldar Grande,new,MCO24381503,gold_special,https://articulo.mercadolibre.com.co/MCO-571817761-silla-ejecutiva-ergonomica-reclinable-con-espaldar-grande-_JM,buy_it_now,MCO,MCO113544,MCO-OFFICE_CHAIRS,154900,197000.0,250,2023.0,MAGNUX,True,2042-12-18T15:53:44.000Z,False,[],MCO1574,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,212962423,WWW.BIG44SALE.COM,36.0,4302.78,0.0,COP,Magnux
MCO1021420587,Cajas Organizador De Zapatos Set 4 Zapatero Apilable Casatua,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1021420587-cajas-organizador-de-zapatos-set-4-zapatero-apilable-casatua-_JM,buy_it_now,MCO,MCO419500,MCO-SHOE_RACKS_AND_CABINETS,79990,84990.0,250,,,True,2042-10-20T04:00:00.000Z,False,[],MCO1574,False,False,fulfillment,me2,"['fulfillment', 'MCO-chg-threshold-Jan-23', 'self_service_in']",,,160820235,BUILDER CO,36.0,2221.94,0.0,COP,Casatua
MCO2011537570,Sensor Detector De Humo Con Alarma Y Pila 9v,new,MCO26917215,gold_pro,https://www.mercadolibre.com.co/sensor-detector-de-humo-con-alarma-y-pila-9v/p/MCO26917215,buy_it_now,MCO,MCO177810,MCO-HOME_ALARMS_AND_SENSORS,21694,,1,,,True,2043-11-02T04:00:00.000Z,True,[],MCO1574,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,1043253308,GRUPOECYG,12.0,1807.83,0.0,COP,ROYAL LED
MCO2007248768,Silla Alta De Bar Giratoria Silla Para Bar Alta Premium Color Cafe,new,MCO23849696,gold_special,https://www.mercadolibre.com.co/silla-alta-de-bar-giratoria-silla-para-bar-alta-premium-color-cafe/p/MCO23849696,buy_it_now,MCO,MCO177109,MCO-STOOLS_AND_BENCHES,139688,,1,,,True,2043-10-30T04:00:00.000Z,True,[],MCO1574,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,275395623,PC ESHOP,36.0,3880.22,0.0,COP,MG
MCO1203656083,Caja Fuerte Digital Color Crema,new,MCO21302642,gold_special,https://www.mercadolibre.com.co/caja-fuerte-digital-color-crema/p/MCO21302642,buy_it_now,MCO,MCO177806,MCO-SAFES,116218,,1,,,True,2043-01-21T04:00:00.000Z,True,[],MCO1574,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,378863427,HOMEY COLOMBIA,36.0,3228.28,0.0,COP,Genérica
MCO1319199319,Silla Gamer Ergonomica Para Escritorio Gaming Hogar Oficina Color Negro Material Del Tapizado Vinipiel,new,MCO24828779,gold_special,https://www.mercadolibre.com.co/silla-gamer-ergonomica-para-escritorio-gaming-hogar-oficina-color-negro-material-del-tapizado-vinipiel/p/MCO24828779,buy_it_now,MCO,MCO177115,MCO-OFFICE_CHAIRS,499999,999999.0,1,2100.0,EasyShop,True,2043-07-21T04:00:00.000Z,True,[],MCO1574,False,True,fulfillment,me2,"['fulfillment', 'self_service_out', 'mandatory_free_shipping']",,,1160701053,EASYSHOP COLOMBIA,36.0,13888.86,0.0,COP,Libitium
MCO1367948077,Esquinero Organizador De Ducha Multiuso 4 Repisas Ajustable Color Blanco,new,MCO24736899,gold_special,https://www.mercadolibre.com.co/esquinero-organizador-de-ducha-multiuso-4-repisas-ajustable-color-blanco/p/MCO24736899,buy_it_now,MCO,MCO416810,MCO-BATHROOM_SHOWER_ORGANIZERS,47000,,200,,,True,2043-11-28T04:00:00.000Z,True,[],MCO1574,False,False,cross_docking,me2,[],,,1126283177,AVILESLINA20220520145727,36.0,1305.56,0.0,COP,Genérica
MCO1318887585,Cabezal De Grifo Giratorio 360 Para Lavaplatos Ahorrador Color Plateado,new,MCO21319413,gold_pro,https://www.mercadolibre.com.co/cabezal-de-grifo-giratorio-360-para-lavaplatos-ahorrador-color-plateado/p/MCO21319413,buy_it_now,MCO,MCO177118,MCO-KITCHEN_FAUCETS,13900,,1,,,True,2043-11-12T11:36:09.828Z,True,[],MCO1574,False,False,cross_docking,me2,['self_service_in'],,,86800592,MANCAKE,,,,,Genérica
MCO1353086939,Regadera Ducha Cuadrada Moderna Negra Monocontrol 25x25,new,MCO26304330,gold_special,https://www.mercadolibre.com.co/regadera-ducha-cuadrada-moderna-negra-monocontrol-25x25/p/MCO26304330,buy_it_now,MCO,MCO436134,MCO-SHOWER_PANELS,137102,279900.0,250,1979.0,FEMMTO,True,2043-10-22T04:00:00.000Z,True,[],MCO1574,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,1206541284,FEMMTO COLOMBIA,36.0,3808.39,0.0,COP,Femmto
MCO1998926044,Silla Ergonómica Gerente Malla Cromada Color Negro,new,MCO18555629,gold_special,https://www.mercadolibre.com.co/silla-ergonomica-gerente-malla-cromada-color-negro/p/MCO18555629,buy_it_now,MCO,MCO113544,MCO-OFFICE_CHAIRS,334996,376400.0,1,,,True,2043-10-26T04:00:00.000Z,True,[],MCO1574,False,True,cross_docking,me2,['mandatory_free_shipping'],,,549413071,SOLCOM_SOLUTIONS_ECOMMERCE,36.0,9305.44,0.0,COP,Ergonomus
