id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1744312046,"Felicidad A Traves De La Kabbalah,la - Rodes",new,MCO21252815,gold_special,https://www.mercadolibre.com.co/felicidad-a-traves-de-la-kabbalahla-rodes/p/MCO21252815,buy_it_now,MCO,MCO1196,MCO-BOOKS,128348,1,,True,2043-07-22T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,791273252,LIBERIMPORTACINSASLIBERIMP,36,3565.22,0,COP,Lucem
MCO1364434475,"Oraculo Del Destino, De Azzurra D Agostino. Editorial Ilus Books, Tapa Blanda En Español",new,MCO26279613,gold_special,https://www.mercadolibre.com.co/oraculo-del-destino-de-azzurra-d-agostino-editorial-ilus-books-tapa-blanda-en-espanol/p/MCO26279613,buy_it_now,MCO,MCO1196,MCO-BOOKS,195057,1,,True,2043-11-19T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,791273252,LIBERIMPORTACINSASLIBERIMP,36,5418.25,0,COP,LIBRERO
MCO1328822117,"Libro Tus Proximas Cinco Jugadas, De Patrick Bet-david. Editorial Sirio, Tapa Blanda En Español, 2022",new,MCO24598559,gold_special,https://www.mercadolibre.com.co/libro-tus-proximas-cinco-jugadas-de-patrick-bet-david-editorial-sirio-tapa-blanda-en-espanol-2022/p/MCO24598559,buy_it_now,MCO,MCO1196,MCO-BOOKS,142100,250,,True,2043-08-15T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,664025950,EDICIONES GAVIOTA,36,3947.22,0,COP,
MCO2072531016,"La Terrible Adele Vol 8 Padres En Venta, De Mr Tan. Editorial Komikids, Tapa Blanda En Español, 2023",new,MCO25320948,gold_special,https://www.mercadolibre.com.co/la-terrible-adele-vol-8-padres-en-venta-de-mr-tan-editorial-komikids-tapa-blanda-en-espanol-2023/p/MCO25320948,buy_it_now,MCO,MCO1196,MCO-BOOKS,128039,1,,True,2043-11-26T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,791273252,LIBERIMPORTACINSASLIBERIMP,36,3556.64,0,COP,Komikids
MCO1320536563,"Libro Cro Profesional. Estrategia Y Práctica - Tayar Lopez,",new,MCO20979057,gold_special,https://www.mercadolibre.com.co/libro-cro-profesional-estrategia-y-practica-tayar-lopez/p/MCO20979057,buy_it_now,MCO,MCO1196,MCO-BOOKS,128170,1,,True,2043-07-25T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,791273252,LIBERIMPORTACINSASLIBERIMP,36,3560.28,0,COP,Anaya multimedia
MCO1841187696,"Una Perfecta Oportunidad, De Andrea Smith. Editorial Montena, Tapa Blanda En Español",new,MCO22938340,gold_special,https://www.mercadolibre.com.co/una-perfecta-oportunidad-de-andrea-smith-editorial-montena-tapa-blanda-en-espanol/p/MCO22938340,buy_it_now,MCO,MCO1196,MCO-BOOKS,115319,1,,True,2043-08-26T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,791273252,LIBERIMPORTACINSASLIBERIMP,36,3203.31,0,COP,MONTENA
MCO1747875604,Una Teoria De La Democracia Compleja - Gobernar En El Siglo,new,MCO22090289,gold_special,https://www.mercadolibre.com.co/una-teoria-de-la-democracia-compleja-gobernar-en-el-siglo/p/MCO22090289,buy_it_now,MCO,MCO1196,MCO-BOOKS,127253,1,,True,2043-07-23T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,791273252,LIBERIMPORTACINSASLIBERIMP,36,3534.81,0,COP,"Galaxia Gutenberg, S.L."
MCO1735725124,"Ortografia Moderna, De Mateo Miguel. Editorial Macro, Tapa Blanda En Español, 2012",new,MCO23811715,gold_special,https://www.mercadolibre.com.co/ortografia-moderna-de-mateo-miguel-editorial-macro-tapa-blanda-en-espanol-2012/p/MCO23811715,buy_it_now,MCO,MCO1196,MCO-BOOKS,51000,1,2064.0,True,2043-07-19T04:00:00.000Z,True,[],El Bibliotecologo Libros,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,213566545,ELBIBLIOTECOLOGO,36,1416.67,0,COP,
MCO1748476736,Libro ¿existe La Suerte? - Nassim Nicholas Taleb,new,MCO20864363,gold_special,https://www.mercadolibre.com.co/libro-existe-la-suerte-nassim-nicholas-taleb/p/MCO20864363,buy_it_now,MCO,MCO1196,MCO-BOOKS,126848,1,,True,2043-07-23T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'mandatory_free_shipping']",,,791273252,LIBERIMPORTACINSASLIBERIMP,36,3523.56,0,COP,Booket
MCO1371487701,Libro Las Lunas: El Refugio De La Memoria - Eugenio Carutti,new,MCO19838643,gold_special,https://www.mercadolibre.com.co/libro-las-lunas-el-refugio-de-la-memoria-eugenio-carutti/p/MCO19838643,buy_it_now,MCO,MCO1196,MCO-BOOKS,127000,1,1278.0,True,2043-12-09T04:00:00.000Z,True,[],Libreria de la U,MCO3025,False,True,cross_docking,me2,['mandatory_free_shipping'],,,279263455,HIPERTEXTOSAS,36,3527.78,0,COP,Ediciones Gaviota
MCO2046935644,"Este Libro Te Hará Vivir Más, De Tamara Pazos. Editorial Ediciones Paidós, Tapa Blanda En Español, 2023",new,MCO26304502,gold_special,https://www.mercadolibre.com.co/este-libro-te-hara-vivir-mas-de-tamara-pazos-editorial-ediciones-paidos-tapa-blanda-en-espanol-2023/p/MCO26304502,buy_it_now,MCO,MCO1196,MCO-BOOKS,126509,1,,True,2043-11-18T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,791273252,LIBERIMPORTACINSASLIBERIMP,36,3514.14,0,COP,PAIDOS
MCO1744310290,"Ortodoxia, De G. K. Chesterton., Vol. 0. Editorial Acantilado, Tapa Blanda En Español, 2013",new,MCO23255012,gold_special,https://www.mercadolibre.com.co/ortodoxia-de-g-k-chesterton-vol-0-editorial-acantilado-tapa-blanda-en-espanol-2013/p/MCO23255012,buy_it_now,MCO,MCO1196,MCO-BOOKS,128348,1,,True,2043-07-22T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,791273252,LIBERIMPORTACINSASLIBERIMP,36,3565.22,0,COP,Acantilado
