id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,brand_value_name
MCO1390397201,Chevrolet Traker Lt At De Placa Ixz845,used,MCO17047319,gold_premium,https://carro.mercadolibre.com.co/MCO-1390397201-chevrolet-traker-lt-at-de-placa-ixz845-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,56000000,,1,1958.0,False,2024-06-09T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQk5JWjQ3MDYz', 'name': 'Niza'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],Sanautos Usados,MCO1743,False,False,,not_specified,[],,,259900520,SANAUTOS S.A,Chevrolet
MCO2204737232,Toyota Fortuner 2.8 4x4 2018  Blindaje 2 Plus ,used,,gold_premium,https://carro.mercadolibre.com.co/MCO-2204737232-toyota-fortuner-28-4x4-2018-blindaje-2-plus-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,190000000,,1,,False,2024-06-09T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBUzEyODY5MQ', 'name': 'Las Palmas'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2386625, 'longitude': -75.564787}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,339592220,CONCESIONARIO DANCARS,Toyota
MCO2204822446,Ford Edge Titanium 2016,used,MCO17049949,gold_premium,https://carro.mercadolibre.com.co/MCO-2204822446-ford-edge-titanium-2016-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,78000000,,1,,False,2024-06-09T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBUzEyODY5MQ', 'name': 'Las Palmas'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2386625, 'longitude': -75.564787}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,339592220,CONCESIONARIO DANCARS,Ford
MCO2204729366,Toyota Land Cruiser 4.5 Vxr Lc 200  Blindada 2015,used,MCO17067381,gold_premium,https://carro.mercadolibre.com.co/MCO-2204729366-toyota-land-cruiser-45-vxr-lc-200-blindada-2015-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,320000000,,1,,False,2024-03-11T04:01:18.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMUDI3MDA0Ng', 'name': 'El Poblado'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2034815, 'longitude': -75.5716589}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,1066357062,LJU6866308,Toyota
MCO2204869104,Volkswagen T- Cross 1.0 Turbo Trendline Techo De Cristal ,used,MCO21073866,gold_premium,https://carro.mercadolibre.com.co/MCO-2204869104-volkswagen-t-cross-10-turbo-trendline-techo-de-cristal-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,81900000,,1,,False,2024-03-11T04:01:17.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMUDI3MDA0Ng', 'name': 'El Poblado'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2034815, 'longitude': -75.5716589}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,1059795339,RECA448784,Volkswagen
MCO2204790922,Renault Koleos 2.0 Diésel 4x4 Mt,used,MCO17064377,gold_premium,https://carro.mercadolibre.com.co/MCO-2204790922-renault-koleos-20-diesel-4x4-mt-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,40900000,,1,,False,2024-03-11T04:00:05.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNFRDEzNzQw', 'name': 'Cedritos'}, 'city': {'id': 'TUNPQ1VTQTY3MTQ1', 'name': 'Usaquén'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': 'GOODCAR SAS', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,1676693184,GSAS37209,Renault
MCO2204148238,Harley Davison Flhtcu Ultra / Modelo 2006,used,,gold_premium,https://moto.mercadolibre.com.co/MCO-2204148238-harley-davison-flhtcu-ultra-modelo-2006-_JM,classified,MCO,MCO1763,MCO-MOTORCYCLES,65000000,,1,,False,2024-03-10T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMTDYxNjM5NQ', 'name': 'El Limonar'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.3998749, 'longitude': -76.5390437}","{'contact': 'CARLOS EMILIO RAMIREZ', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,1400166466,DCF20230615124454,Harley-Davidson
MCO2204258480,Ford Explorer 2014 3.5 Limited,used,MCO17050159,gold_premium,https://carro.mercadolibre.com.co/MCO-2204258480-ford-explorer-2014-35-limited-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,74900000,,1,,False,2024-06-08T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,200620945,JEDUARDOPINEDA,Ford
MCO1390244501,Chevrolet Captiva Sport 3.000cc Automática Gasolina 4x4,used,MCO17045864,gold_premium,https://carro.mercadolibre.com.co/MCO-1390244501-chevrolet-captiva-sport-3000cc-automatica-gasolina-4x4-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,59800000,,1,1874.0,False,2024-06-11T08:31:48.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQk1PUjI2NzM2', 'name': 'Morato'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],Distoyota Usados,MCO1743,False,False,,not_specified,[],,,37418405,TUC_CVTOYOTAMORATO,Chevrolet
MCO1390153573,Toyota Prado Txl 2.800cc Automática Diésel 4x4,used,,gold_premium,https://carro.mercadolibre.com.co/MCO-1390153573-toyota-prado-txl-2800cc-automatica-diesel-4x4-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,312000000,,1,1874.0,False,2024-06-11T08:34:38.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkJPUzI1NTAy', 'name': 'Bosque de Pinos'}, 'city': {'id': 'TUNPQ1VTQTY3MTQ1', 'name': 'Usaquén'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7235084, 'longitude': -74.0234023}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],Distoyota Usados,MCO1743,False,False,,not_specified,[],,,37418405,TUC_CVTOYOTAMORATO,Toyota
