id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1322687335,Queen - Sheer Heart Attack - Disco Cd + Bonus Ep,new,MCO23462588,gold_pro,https://www.mercadolibre.com.co/queen-sheer-heart-attack-disco-cd-bonus-ep/p/MCO23462588,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,90000,1,True,2043-07-31T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,181939816,HITMUSICAL DISCOTIENDA,12,7500.0,0,COP,
MCO1323638171,Cd Shakira Fijacion Oral Vol. 1 Sellado,new,MCO22495070,gold_pro,https://www.mercadolibre.com.co/cd-shakira-fijacion-oral-vol-1-sellado/p/MCO22495070,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,90000,1,True,2043-08-03T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,181939816,HITMUSICAL DISCOTIENDA,12,7500.0,0,COP,
MCO1368612029,Led Zeppelin - Led Zeppelin Iv - 2 Cd Deluxe Edition Versión Del Álbum Estándar,new,MCO22618496,gold_pro,https://www.mercadolibre.com.co/cd-led-zeppelin-iv-2-cds/p/MCO22618496,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,120000,1,True,2043-11-30T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,181939816,HITMUSICAL DISCOTIENDA,12,10000.0,0,COP,
MCO810477285,Destino Final Películas Saga Dvd Oferta,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-810477285-destino-final-peliculas-saga-dvd-oferta-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,50000,50,True,2041-09-14T04:00:00.000Z,False,[],MCO1168,False,False,drop_off,me2,[],,,252070720,MAURICIOMT69,12,4166.67,0,COP,DVD
MCO1360902713,Rosalia Motomami Cd Original 2022,new,MCO21963852,gold_pro,https://www.mercadolibre.com.co/rosalia-motomami-cd-original-2022/p/MCO21963852,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,75000,1,True,2043-11-11T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'self_service_out']",,,181939816,HITMUSICAL DISCOTIENDA,12,6250.0,0,COP,
MCO1350684653,Cd Adele - 30 Y Sellado Obivinilos,new,MCO22698315,gold_pro,https://www.mercadolibre.com.co/cd-adele-30-y-sellado-obivinilos/p/MCO22698315,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,75000,1,True,2043-10-16T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'self_service_out']",,,181939816,HITMUSICAL DISCOTIENDA,12,6250.0,0,COP,
MCO1313810859,Metallica Hardwired To Self Destruct Standard 2cd En Stock,new,MCO23140729,gold_pro,https://www.mercadolibre.com.co/metallica-hardwired-to-self-destruct-standard-2cd-en-stock/p/MCO23140729,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,90000,1,True,2043-07-06T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,181939816,HITMUSICAL DISCOTIENDA,12,7500.0,0,COP,
MCO1351811643,The Velvet Underground - Gold - 2 Cd Versión Del Álbum Estándar,new,MCO23737560,gold_pro,https://www.mercadolibre.com.co/the-velvet-underground-gold-2-cds-importado/p/MCO23737560,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,90000,1,True,2043-10-19T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,181939816,HITMUSICAL DISCOTIENDA,12,7500.0,0,COP,
MCO1363574371,Cd: Lujuria Por La Vida,new,MCO28090937,gold_pro,https://www.mercadolibre.com.co/cd-lujuria-por-la-vida/p/MCO28090937,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,70000,1,True,2043-11-17T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12,5833.33,0,COP,
MCO871465539,Slam Dunk Serie Anime + Ovas Bluray Mkv  Full Hd 1080p,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-871465539-slam-dunk-serie-anime-ovas-bluray-mkv-full-hd-1080p-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,49990,1,True,2042-03-12T04:00:00.000Z,False,[],MCO1168,False,False,drop_off,me2,[],,,130852877,ANIME CINEMANEKI,36,1388.61,0,COP,Blu-Ray
