level_id,power_seller_status,transactions_period,transactions_total,seller_id,user_type
5_green,,historic,35,35314394,normal
5_green,,historic,410,195089663,normal
5_green,platinum,historic,17013,256669196,normal
5_green,platinum,historic,6191,1111711343,normal
5_green,gold,historic,529,1507274457,normal
5_green,platinum,historic,18414,241976445,brand
5_green,,historic,36,163040465,normal
5_green,platinum,historic,6183,134165426,normal
5_green,silver,historic,4012,120907882,normal
5_green,gold,historic,5883,179200275,normal
5_green,silver,historic,673,346688767,normal
5_green,silver,historic,561,655798464,normal
5_green,,historic,2047,4946180,normal
5_green,platinum,historic,4001,254779222,normal
5_green,gold,historic,3189,629601638,normal
5_green,,historic,80,1029583560,normal
5_green,gold,historic,3677,658379763,normal
5_green,gold,historic,9906,63324385,normal
5_green,,historic,1038,511170979,normal
5_green,silver,historic,793,1327242039,normal
4_light_green,,historic,10,194932149,normal
5_green,platinum,historic,16519,1126283177,normal
5_green,,historic,1425,207408274,normal
5_green,,historic,57,287453629,normal
5_green,platinum,historic,15508,392415713,normal
5_green,platinum,historic,30365,81213245,normal
5_green,platinum,historic,16544,703728628,normal
5_green,,historic,276,231655738,normal
5_green,platinum,historic,6435,291001852,normal
5_green,platinum,historic,4700,1048891806,normal
5_green,gold,historic,11140,222968833,normal
5_green,,historic,145,19171549,normal
5_green,silver,historic,1208,555618380,normal
5_green,silver,historic,577,1004707587,normal
5_green,,historic,7452,275941270,normal
5_green,platinum,historic,22627,110187976,normal
5_green,platinum,historic,6765,1285158927,normal
5_green,platinum,historic,2497,213665461,normal
5_green,gold,historic,4233,316067380,normal
5_green,platinum,historic,1737,1160356260,brand
5_green,silver,historic,1957,63934840,normal
5_green,gold,historic,6638,85089122,normal
5_green,gold,historic,4045,206498420,normal
5_green,silver,historic,1539,619136194,normal
5_green,gold,historic,603,104778311,normal
5_green,silver,historic,558,139456790,normal
5_green,silver,historic,1081,20081454,normal
5_green,platinum,historic,2436,1103133100,normal
5_green,,historic,563,241173688,normal
5_green,platinum,historic,14191,753453321,normal
5_green,platinum,historic,39134,347054769,normal
5_green,platinum,historic,5844,603052909,normal
5_green,silver,historic,215,401908648,normal
5_green,platinum,historic,10375,76085013,normal
5_green,silver,historic,3089,202484385,normal
5_green,silver,historic,868,520170887,brand
5_green,platinum,historic,6251,443454264,normal
5_green,,historic,2208,438550491,normal
5_green,,historic,273,139901058,normal
5_green,platinum,historic,6306,419985146,normal
5_green,platinum,historic,6695,119775693,normal
5_green,platinum,historic,39484,147458773,brand
5_green,silver,historic,1486,171598070,normal
5_green,platinum,historic,16941,449651964,normal
5_green,,historic,373,532886943,normal
5_green,gold,historic,3614,581059899,normal
5_green,,historic,735,214090008,normal
5_green,,historic,166,318129375,normal
5_green,platinum,historic,5592,443345170,brand
5_green,,historic,326,1190492706,normal
5_green,platinum,historic,22965,86467128,normal
5_green,platinum,historic,21284,310122679,normal
5_green,gold,historic,3328,16460565,normal
5_green,platinum,historic,4727,94904012,normal
5_green,silver,historic,1921,518919845,normal
5_green,silver,historic,2678,193454310,normal
5_green,,historic,451,172316855,normal
5_green,,historic,244,1424509762,normal
5_green,platinum,historic,8092,514623283,normal
5_green,platinum,historic,20133,55772036,normal
5_green,,historic,516,430854189,normal
5_green,silver,historic,1293,371911805,normal
5_green,gold,historic,1989,197996850,normal
5_green,platinum,historic,6666,681539258,normal
3_yellow,,historic,2743,51723829,normal
5_green,,historic,25,1509526044,normal
5_green,platinum,historic,2336,1188576157,normal
5_green,silver,historic,1241,407978438,normal
5_green,platinum,historic,6848,583648487,normal
5_green,platinum,historic,4606,699285447,normal
5_green,gold,historic,2695,10247077,normal
5_green,platinum,historic,6243,822582501,normal
5_green,,historic,407,244597406,normal
5_green,silver,historic,789,362243902,normal
5_green,silver,historic,1338,733674525,normal
5_green,platinum,historic,22075,1135555,normal
5_green,gold,historic,3799,55172203,normal
5_green,,historic,76,213450430,normal
5_green,silver,historic,2290,510684218,normal
5_green,gold,historic,3847,690628259,normal
5_green,gold,historic,6343,65148553,normal
5_green,silver,historic,3751,30251127,normal
5_green,platinum,historic,4736,420311211,brand
5_green,silver,historic,855,1313066968,normal
5_green,,historic,994,355973510,normal
3_yellow,,historic,44,698667277,normal
5_green,gold,historic,3898,306107275,normal
5_green,platinum,historic,14697,276529551,normal
5_green,platinum,historic,68661,66208468,normal
5_green,gold,historic,1894,15694280,normal
5_green,silver,historic,236,135236119,normal
5_green,platinum,historic,7576,245618447,normal
5_green,,historic,340,298655747,normal
5_green,silver,historic,3094,359711517,normal
5_green,,historic,599,472234542,normal
4_light_green,,historic,15,1429193061,normal
5_green,platinum,historic,21113,469960335,normal
5_green,gold,historic,6287,172795353,normal
5_green,,historic,2036,398554701,normal
5_green,,historic,529,1114696055,normal
5_green,,historic,1947,163021676,normal
3_yellow,,historic,14,1464291803,normal
5_green,gold,historic,10105,1129537648,normal
5_green,platinum,historic,10772,379037641,normal
5_green,platinum,historic,6829,264865901,brand
5_green,,historic,26,104086940,normal
5_green,,historic,2669,339152330,normal
5_green,gold,historic,4286,10496106,normal
5_green,platinum,historic,8742,278538554,normal
5_green,gold,historic,2752,135951848,normal
5_green,gold,historic,762,1203313740,normal
5_green,silver,historic,4904,87077565,normal
5_green,silver,historic,1773,183157363,normal
5_green,silver,historic,924,37821581,normal
5_green,platinum,historic,5902,236108599,normal
5_green,silver,historic,2187,137444254,normal
5_green,platinum,historic,6762,212604010,normal
5_green,silver,historic,4377,468066107,normal
5_green,,historic,963,631685417,normal
5_green,,historic,538,1268908442,normal
5_green,platinum,historic,20289,28701622,normal
5_green,platinum,historic,14901,426283404,normal
5_green,,historic,538,1454377154,normal
5_green,,historic,820,566366267,normal
5_green,platinum,historic,7246,747488593,normal
5_green,,historic,4786,1112055019,normal
5_green,,historic,247,709602978,normal
5_green,silver,historic,794,318144999,normal
5_green,silver,historic,784,522738020,normal
5_green,platinum,historic,6444,252434718,normal
5_green,,historic,849,195448661,normal
5_green,,historic,28,94898836,normal
5_green,platinum,historic,11013,5329553,normal
5_green,silver,historic,405,287733750,normal
5_green,platinum,historic,44764,40319940,normal
5_green,silver,historic,1584,428595902,normal
5_green,,historic,202,1054463872,normal
5_green,silver,historic,837,307510304,normal
5_green,gold,historic,3154,455536115,normal
5_green,gold,historic,9232,1113894288,normal
5_green,,historic,662,1476510,normal
5_green,platinum,historic,6210,561723627,normal
5_green,gold,historic,2554,623741650,normal
5_green,silver,historic,521,134211694,normal
3_yellow,,historic,2388,696217314,normal
5_green,,historic,267,1471534633,normal
5_green,,historic,285,1558905705,normal
5_green,,historic,215,153104220,normal
5_green,gold,historic,3564,541312558,normal
5_green,platinum,historic,16682,205606809,brand
5_green,platinum,historic,17805,26207029,normal
5_green,,historic,249,1003520200,normal
5_green,platinum,historic,2283,1202130403,normal
5_green,,historic,543,1155262865,normal
5_green,silver,historic,935,166228995,normal
5_green,gold,historic,4825,1399842703,normal
5_green,silver,historic,2122,611113384,normal
5_green,gold,historic,3501,1202495791,normal
5_green,gold,historic,3275,83723474,normal
5_green,,historic,515,72004011,normal
5_green,,historic,14270,408778182,normal
5_green,,historic,308,167506021,normal
5_green,platinum,historic,16625,568880115,normal
5_green,,historic,1856,1293711504,normal
5_green,,historic,76,33692378,normal
5_green,silver,historic,575,1259435596,normal
5_green,gold,historic,6953,71844216,normal
5_green,,historic,149,155259439,normal
3_yellow,,historic,533,681157871,normal
5_green,,historic,222,297221335,normal
5_green,platinum,historic,13674,611370359,normal
5_green,,historic,667,188746550,normal
5_green,,historic,789,127144699,normal
5_green,,historic,688,447873602,normal
5_green,gold,historic,1445,1447234998,normal
5_green,platinum,historic,17896,388680094,brand
5_green,platinum,historic,26777,163851562,normal
5_green,,historic,240,488758870,normal
5_green,,historic,575,1192629854,normal
5_green,gold,historic,3374,774646071,normal
3_yellow,,historic,860,127318023,normal
5_green,,historic,828,473010128,normal
5_green,silver,historic,726,694881964,normal
5_green,,historic,777,152155585,normal
5_green,silver,historic,1862,1156399546,normal
5_green,,historic,899,669154351,normal
5_green,silver,historic,343,1122749563,normal
5_green,,historic,327,257375285,normal
5_green,silver,historic,3814,157591626,normal
5_green,gold,historic,2454,528477017,normal
5_green,gold,historic,8262,707412958,normal
5_green,,historic,231,35243495,normal
5_green,silver,historic,476,177994361,normal
5_green,gold,historic,1641,220810824,normal
5_green,platinum,historic,5361,581634854,normal
5_green,gold,historic,6683,677273495,normal
5_green,,historic,4971,487118591,normal
5_green,platinum,historic,9318,149423072,brand
5_green,,historic,1572,359003492,normal
5_green,,historic,541,22831793,normal
5_green,,historic,239,234673711,normal
5_green,platinum,historic,10317,471793327,normal
3_yellow,,historic,6829,56532786,normal
5_green,gold,historic,2244,203469015,normal
5_green,gold,historic,9439,99074444,normal
5_green,,historic,606,776919116,normal
5_green,,historic,519,609476065,normal
5_green,gold,historic,8776,549945381,normal
5_green,,historic,609,88251017,normal
5_green,silver,historic,2354,224086027,normal
5_green,gold,historic,827,38729826,normal
5_green,,historic,104,212197301,normal
5_green,gold,historic,4011,300415390,normal
5_green,silver,historic,1047,99518111,normal
5_green,gold,historic,4875,184192780,normal
5_green,,historic,103,496706801,normal
5_green,,historic,399,215687279,normal
5_green,,historic,1237,228095069,normal
5_green,silver,historic,956,46697771,normal
5_green,gold,historic,4304,23463946,normal
5_green,silver,historic,1402,341553100,normal
3_yellow,,historic,138,74276960,normal
5_green,gold,historic,2454,313786264,normal
5_green,gold,historic,7478,169129062,normal
5_green,gold,historic,2182,177437517,normal
5_green,,historic,537,103448142,normal
5_green,,historic,991,128888970,normal
5_green,,historic,843,301837413,normal
5_green,silver,historic,1481,176099953,normal
5_green,,historic,131,465256612,normal
4_light_green,,historic,34,48792140,normal
5_green,,historic,47,225293410,normal
5_green,silver,historic,2599,625186701,normal
5_green,gold,historic,5012,575803701,normal
5_green,,historic,414,1027861637,normal
5_green,,historic,4482,577903688,brand
5_green,platinum,historic,12848,138353657,normal
5_green,,historic,461,685516072,normal
5_green,silver,historic,716,705081417,normal
5_green,gold,historic,3493,751099029,normal
5_green,,historic,142,1089671446,brand
3_yellow,,historic,5392,438300617,normal
5_green,,historic,523,302612225,normal
5_green,,historic,210,1631748026,normal
5_green,,historic,316,209367346,normal
5_green,gold,historic,2293,133491439,brand
5_green,platinum,historic,36247,230635194,normal
5_green,gold,historic,3003,187753230,normal
5_green,,historic,323,65964241,normal
5_green,,historic,46356,280824856,brand
5_green,silver,historic,517,1381451262,normal
5_green,silver,historic,784,1199781328,normal
5_green,platinum,historic,14001,36449755,normal
5_green,silver,historic,1528,256346348,normal
5_green,silver,historic,2986,430246633,normal
5_green,platinum,historic,4844,149626049,normal
5_green,,historic,67,186473496,normal
5_green,silver,historic,3606,337036799,normal
5_green,silver,historic,1097,192630272,normal
5_green,silver,historic,5827,653875430,normal
5_green,silver,historic,871,234783955,normal
5_green,gold,historic,5491,47526653,normal
5_green,silver,historic,690,92166277,normal
5_green,silver,historic,1746,228077027,normal
5_green,silver,historic,4413,175243724,normal
5_green,platinum,historic,3450,817708959,normal
5_green,,historic,159,1000256280,normal
5_green,,historic,73,172006924,normal
5_green,silver,historic,1126,223266948,normal
5_green,silver,historic,3611,23542692,normal
4_light_green,,historic,2357,30154517,normal
3_yellow,,historic,116,815160436,normal
5_green,,historic,132,1158078181,normal
5_green,,historic,575,435538498,normal
5_green,,historic,317,518926117,normal
5_green,platinum,historic,9100,765544171,normal
5_green,gold,historic,3496,374426001,normal
5_green,,historic,199,282052459,normal
5_green,,historic,33,47797465,normal
5_green,silver,historic,1944,393175005,normal
5_green,,historic,120,156914375,normal
5_green,gold,historic,2647,1170030115,normal
5_green,platinum,historic,5117,172734554,normal
5_green,silver,historic,589,1506865628,normal
5_green,platinum,historic,8165,624007952,normal
5_green,,historic,201,1297498423,normal
5_green,silver,historic,740,1326743945,normal
5_green,gold,historic,450,246860267,normal
5_green,,historic,430,534563784,normal
5_green,platinum,historic,11701,548137957,normal
5_green,,historic,127,222716641,normal
5_green,gold,historic,9572,53078036,normal
5_green,,historic,1168,1074019317,brand
3_yellow,,historic,59,415563759,normal
5_green,platinum,historic,8392,467990121,normal
5_green,silver,historic,1193,608796962,normal
5_green,,historic,757,225457385,normal
5_green,gold,historic,1967,584722114,normal
5_green,,historic,27,1569988379,normal
5_green,silver,historic,1584,396659050,normal
5_green,gold,historic,3424,37721104,normal
5_green,gold,historic,3815,16373108,normal
5_green,silver,historic,1277,452430788,brand
4_light_green,,historic,18,241071984,normal
5_green,,historic,124,671241724,normal
5_green,gold,historic,3086,135355438,normal
5_green,platinum,historic,12428,68040416,normal
5_green,gold,historic,10099,170147922,normal
5_green,gold,historic,3136,113301889,normal
5_green,gold,historic,10037,78797546,normal
5_green,,historic,512,68746652,normal
5_green,gold,historic,2866,746039571,normal
5_green,platinum,historic,10183,45059629,normal
5_green,silver,historic,855,795942376,normal
5_green,,historic,287,325184423,normal
5_green,gold,historic,2398,194620103,normal
5_green,gold,historic,2593,117877434,normal
5_green,silver,historic,975,258548547,normal
5_green,silver,historic,1043,672468013,normal
4_light_green,,historic,415,498045156,normal
5_green,silver,historic,284,1350208064,normal
5_green,gold,historic,2313,575238894,normal
5_green,platinum,historic,6994,19576477,normal
5_green,silver,historic,2029,584760790,normal
5_green,gold,historic,1144,1130139212,normal
5_green,silver,historic,354,147559062,normal
5_green,silver,historic,1816,239470185,normal
5_green,,historic,392,1309730489,normal
5_green,silver,historic,2825,261506701,normal
5_green,,historic,860,169433918,normal
5_green,,historic,172,197702030,brand
5_green,gold,historic,8964,102708717,normal
5_green,,historic,124,676136154,normal
5_green,gold,historic,4139,72610329,normal
