id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO2212847698,Bolsa Bandolera Karla Chacon Sade Diseño Liso De Sintético  Blanca Con Correa De Hombro  Blanca,new,MCO18475463,gold_pro,https://www.mercadolibre.com.co/bolsa-bandolera-karla-chacon-sade-diseno-liso-de-sintetico-blanca-con-correa-de-hombro-blanca/p/MCO18475463,buy_it_now,MCO,MCO7407,MCO-HANDBAGS,59850,63000.0,1,2111.0,KARLA CHACON,True,2044-02-12T04:00:00.000Z,True,[],MCO1430,False,False,fulfillment,me2,['fulfillment'],,,313574104,KARLACHACON.CO,12.0,4987.5,0.0,COP,Karla Chacon
MCO831340180,Tenis Con Luces Helina Morado Para Niña Los Gomosos,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-831340180-tenis-con-luces-helina-morado-para-nina-los-gomosos-_JM,buy_it_now,MCO,MCO5607,MCO-SNEAKERS,59900,92900.0,50,1117.0,Croydon,True,2041-11-07T04:00:00.000Z,False,[],MCO1430,False,True,cross_docking,me2,[],,,313600420,CROYDONCOLOMBIA,36.0,1663.89,0.0,COP,Los Gomosos
MCO837933104,Gorro Largo Duende Navidad Térmico Hilo Niño Niña Adulto,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-837933104-gorro-largo-duende-navidad-termico-hilo-nino-nina-adulto-_JM,buy_it_now,MCO,MCO430271,MCO-HATS_AND_CAPS,14990,,100,,,True,2043-11-12T05:01:35.264Z,False,[],MCO1430,False,False,cross_docking,me2,['self_service_in'],,,193264204,VITTORIA.COM.CO,,,,,Vittoria
MCO1642653812,Pantalón De Compresión En Licra Protección Uv Bicolor,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1642653812-pantalon-de-compresion-en-licra-proteccion-uv-bicolor-_JM,buy_it_now,MCO,MCO417370,MCO-SPORT_PANTS,49900,,500,,,True,2043-06-04T04:00:00.000Z,False,[],MCO1430,False,False,cross_docking,me2,[],,,1107512782,DANIELCASTELLANOS2022041518003,36.0,1386.11,0.0,COP,MAKING JAZ
MCO1347825687,Bota En Cuero Dieléctricas Con Puntera Tipo Catherpílar.,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1347825687-bota-en-cuero-dielectricas-con-puntera-tipo-catherpilar-_JM,buy_it_now,MCO,MCO414251,MCO-BOOTS_AND_BOOTIES,209900,,50,,,True,2043-10-08T04:00:00.000Z,False,[],MCO1430,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1459605568,BUCARAMANGABOTAS20230823130324,36.0,5830.56,0.0,COP,catherpilar
MCO1092883954,"Buzo, Saco Cuello Redondo Adult Navideño Personalizado Nombr",new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1092883954-buzo-saco-cuello-redondo-adult-navideno-personalizado-nombr-_JM,buy_it_now,MCO,MCO157281,MCO-SWEATSHIRTS_AND_HOODIES,57000,60000.0,200,,,True,2042-11-21T04:00:00.000Z,False,[],MCO1430,False,False,xd_drop_off,me2,['self_service_in'],,,542982810,CREACIONES.SAN.LAURENT,12.0,4750.0,0.0,COP,Creaciones san Laurent
MCO1346799331,Tenis Skechers Sport Rf: 122 Sandalia Cholas,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1346799331-tenis-skechers-sport-rf-122-sandalia-cholas-_JM,buy_it_now,MCO,MCO5607,MCO-SNEAKERS,100000,,200,,,True,2043-10-05T04:00:00.000Z,False,[],MCO1430,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1078392382,AGUDELORIOS20220222000134,12.0,8333.33,0.0,COP,Skechers
MCO953398894,"Gafas Lupa Visera, Lentes Joyería, Odontología, Pelo A Pelo",new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-953398894-gafas-lupa-visera-lentes-joyeria-odontologia-pelo-a-pelo-_JM,buy_it_now,MCO,MCO118108,MCO-FASHION_ACCESSORIES,48890,,500,,,True,2042-08-27T04:00:00.000Z,False,[],MCO1430,False,False,cross_docking,me2,['self_service_in'],,,263335107,VENTASBOGOTAOFICIAL,12.0,4074.17,0.0,COP,Genérica
MCO1202896296,Guantes Térmicos Impermeables Invierno Antideslizante,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1202896296-guantes-termicos-impermeables-invierno-antideslizante-_JM,buy_it_now,MCO,MCO166225,MCO-GLOVES_AND_MITTENS,18990,,1,,,True,2043-11-13T03:58:56.337Z,False,[],MCO1430,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,193264204,VITTORIA.COM.CO,,,,,Vittoria
MCO818002464,Pantaloneta Baño Corto Elegante Moderno Hombre,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-818002464-pantaloneta-bano-corto-elegante-moderno-hombre-_JM,buy_it_now,MCO,MCO430281,MCO-SWIMWEAR,38000,,1,,,True,2041-10-01T04:00:00.000Z,False,[],MCO1430,False,False,fulfillment,me2,"['fulfillment', 'self_service_out']",,,205669967,POSEIDON SPORTWEAR,12.0,3166.67,0.0,COP,Poseidon Sportwear
