id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1897069428,2 Billetes De 10.000 Antiguos,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1897069428-2-billetes-de-10000-antiguos-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,5000000,,1,,True,2043-09-04T19:29:57.000Z,False,[],,MCO1367,False,True,drop_off,me2,[],,,181014726,ZAPATAMARTINEZDANIEL,36.0,138888.89,0.0,COP,
MCO1358093999,Maquina De Coser Antigua Singer,used,gold_pro,https://articulo.mercadolibre.com.co/MCO-1358093999-maquina-de-coser-antigua-singer-_JM,buy_it_now,MCO,MCO439433,MCO-ANTIQUES,320000,,1,,True,2043-11-04T04:00:00.000Z,False,[],,MCO1367,False,False,not_specified,not_specified,[],,,269937428,URDI2002016,12.0,26666.67,0.0,COP,Singer
MCO977741749,50 Centavos 1916 Bogotá Plata,used,gold_special,https://articulo.mercadolibre.com.co/MCO-977741749-50-centavos-1916-bogota-plata-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,100000,,1,,True,2042-09-27T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,65616184,WORLD COLLECTIONS200,36.0,2777.78,0.0,COP,
MCO1496496802,Bandera India 1.50x90cm Exterior Grande,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1496496802-bandera-india-150x90cm-exterior-grande-_JM,buy_it_now,MCO,MCO393901,MCO-FLAGS,49990,,1,,True,2043-11-15T20:02:30.636Z,False,[],,MCO1367,False,False,cross_docking,me2,['self_service_in'],,,193264204,VITTORIA.COM.CO,36.0,1388.61,0.0,COP,
MCO2108602076,"Moneda De 1000 Pesos Colombianos, Moneda De Giro.",used,gold_pro,https://articulo.mercadolibre.com.co/MCO-2108602076-moneda-de-1000-pesos-colombianos-moneda-de-giro-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,700000,,1,,True,2043-12-16T21:14:23.344Z,False,[],,MCO1367,False,True,xd_drop_off,me2,[],,,194393835,VAJO3106685,12.0,58333.33,0.0,COP,Moneda pesos
MCO1211114535,Billete 1000 Bolivares 10/sep/1998,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1211114535-billete-1000-bolivares-10sep1998-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,18000,,1,,True,2043-01-25T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,156347552,CAROLN2014,,,,,
MCO553951316,Llavero Goma Mario Bros - Video Juegos ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-553951316-llavero-goma-mario-bros-video-juegos-_JM,buy_it_now,MCO,MCO172914,MCO-KEYCHAINS,4689,,1,,True,2040-02-16T04:00:00.000Z,False,[],,MCO1367,False,False,cross_docking,me2,['self_service_in'],,,271259783,DUCKSHOP91,,,,,
MCO1235450088,Escultura En Bronce Macizo Don Quijote De Pared O Mesa,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1235450088-escultura-en-bronce-macizo-don-quijote-de-pared-o-mesa-_JM,buy_it_now,MCO,MCO442201,MCO-SCULPTURES_AND_STATUES,90000,,1,,True,2043-02-06T04:00:00.000Z,False,[],,MCO1367,False,False,custom,custom,[],,,142560917,PULGUEROPERSACALI,36.0,2500.0,0.0,COP,ANTIQUES
MCO1136348697,5 Pesos 1968 Congreso Eucarístico Variedad Leyenda Doble,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1136348697-5-pesos-1968-congreso-eucaristico-variedad-leyenda-doble-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,80000,,1,,True,2042-12-06T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,65616184,WORLD COLLECTIONS200,36.0,2222.22,0.0,COP,
MCO1277135631,Billete 1 Dólar 2009 Estados Unidos F-vf,used,gold_pro,https://articulo.mercadolibre.com.co/MCO-1277135631-billete-1-dolar-2009-estados-unidos-f-vf-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,10000,,1,,True,2043-03-24T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,156347552,CAROLN2014,,,,,
MCO1223229624,Álbum Catalogo Para Guardar 300 Monedas Antiguas Colombianas,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1223229624-album-catalogo-para-guardar-300-monedas-antiguas-colombianas-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,60500,,50,,True,2043-01-31T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,91012369,SAMIME,36.0,1680.56,0.0,COP,
MCO1248492715,Radio Antiguo Standart Broacast Olympic,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1248492715-radio-antiguo-standart-broacast-olympic-_JM,buy_it_now,MCO,MCO172915,MCO-ANTIQUES,350000,,1,,True,2043-02-15T04:00:00.000Z,False,[],,MCO1367,False,True,xd_drop_off,me2,[],,,120586423,LIZETHASSEFF,36.0,9722.22,0.0,COP,Standar broacast olympic
MCO1371076942,Billete 1 Jiao 1980 China Unc,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1371076942-billete-1-jiao-1980-china-unc-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,10500,,1,,True,2043-03-23T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,156347552,CAROLN2014,,,,,
MCO1273371031,1 Real 1795 Nuevo Reino Carlos Cuarto Plata,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1273371031-1-real-1795-nuevo-reino-carlos-cuarto-plata-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,2500000,,1,,True,2043-03-15T04:00:00.000Z,False,[],,MCO1367,False,True,xd_drop_off,me2,[],,,143141724,WORLD COLLECTIONS100,36.0,69444.44,0.0,COP,
