id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1386585179,"Miniglobo Terráqueo Político Decorativo, 10,3 Cm, Giratorio",new,MCO26539552,gold_pro,https://www.mercadolibre.com.co/miniglobo-terraqueo-politico-decorativo-103-cm-giratorio/p/MCO26539552,buy_it_now,MCO,MCO412652,MCO-WORLD_GLOBES,26093,26900.0,1,,,True,2044-01-24T04:00:00.000Z,True,[],MCO1368,False,False,cross_docking,me2,[],,,738767370,WWWEASYBUYSHOPCOMCO,12.0,2174.42,0.0,COP,Western
MCO1759837130,Pluma Fuente Personalizada Lujo,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1759837130-pluma-fuente-personalizada-lujo-_JM,buy_it_now,MCO,MCO165934,MCO-PENS,68241,74990.0,50,,,True,2043-08-10T16:06:21.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_out'],,,395467736,DULCEY STORE,36.0,1895.58,0.0,COP,Hero
MCO1289311969,"Plumígrafos Staedtler Triplus Fineliner, Estuche X 6 Galaxy",new,MCO22731017,gold_special,https://www.mercadolibre.com.co/plumigrafos-staedtler-triplus-fineliner-estuche-x-6-galaxy/p/MCO22731017,buy_it_now,MCO,MCO165934,MCO-PENS,39900,,1,2069.0,Kores,True,2043-04-22T04:00:00.000Z,True,[],MCO1368,False,False,xd_drop_off,me2,[],,,542870035,KORES COLOMBIA,36.0,1108.33,0.0,COP,Staedtler
MCO1204285049,Resaltador Amarillo Sharpie Tank X24 Unidades,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1204285049-resaltador-amarillo-sharpie-tank-x24-unidades-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,68400,72000.0,50,,,True,2043-01-21T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_out'],,,658379763,ANALEPAPELERIA13,12.0,5700.0,0.0,COP,Sharpie
MCO1348762045, Cinta Selladora De Calafateo En Pvc Proteje Baño Cocina,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1348762045-cinta-selladora-de-calafateo-en-pvc-proteje-bano-cocina-_JM,buy_it_now,MCO,MCO180001,MCO-ADHESIVE_TAPES,31825,33500.0,1,,,True,2043-10-11T04:00:00.000Z,False,[],MCO1368,False,False,fulfillment,me2,['fulfillment'],,,70087856,APRECIOSDEREMATE,12.0,2652.08,0.0,COP,So & Co
MCO923930768,Lapiz Norma  Rojos Triangular  Caja X10 Unidades,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-923930768-lapiz-norma-rojos-triangular-caja-x10-unidades-_JM,buy_it_now,MCO,MCO172626,MCO-PENCILS,13062,13750.0,50,,,True,2042-07-07T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_out'],,,658379763,ANALEPAPELERIA13,,,,,Norma
MCO558896870,Rollo De Papel Termico 80x60 X 30 Unidades,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-558896870-rollo-de-papel-termico-80x60-x-30-unidades-_JM,buy_it_now,MCO,MCO416637,MCO-SCHOOL_AND_OFFICE_PAPERS,155000,,1,,,True,2040-04-11T04:00:00.000Z,False,[],MCO1368,False,True,cross_docking,me2,['mandatory_free_shipping'],,,261809885,TIENDAMAXPRINTERBUCARAMANGA,36.0,4305.56,0.0,COP,NP
MCO1248485905,Mini Resaltador X 12 En Pastel Y Neon  Many Cats ,new,MCO29706826,gold_special,https://articulo.mercadolibre.com.co/MCO-1248485905-mini-resaltador-x-12-en-pastel-y-neon-many-cats-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,20500,,1,,,True,2043-02-15T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,101136210,MCKTOYS.COM,36.0,569.44,0.0,COP,zakka
MCO1147284714,Anilladora Cinch Heidi Swapp Agujeros Cuadrados,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1147284714-anilladora-cinch-heidi-swapp-agujeros-cuadrados-_JM,buy_it_now,MCO,MCO412574,MCO-COIL_BINDING_MACHINES,617500,650000.0,1,,,True,2042-12-12T04:00:00.000Z,False,[],MCO1368,False,True,drop_off,me2,['mandatory_free_shipping'],,,461913266,TIENDA NORDIC.COM,36.0,17152.78,0.0,COP,Heidi Swapp
MCO947094351,Absorbente Humedad Olor Humidex Silica Gel ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-947094351-absorbente-humedad-olor-humidex-silica-gel-_JM,buy_it_now,MCO,MCO416874,MCO-DESICCANT_BAGS,29900,,1,,,True,2042-08-17T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,[],,,535010463,GOBUY TIENDA,12.0,2491.67,0.0,COP,Humidex
