id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO568886369,Los Ángeles Y Los Demonios Código Da Vinci Infierno Set,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-568886369-los-angeles-y-los-demonios-codigo-da-vinci-infierno-set-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,148900,,1,True,2040-06-27T04:00:00.000Z,False,[],MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,221747504,ANICAM-BUSINESS,36.0,4136.11,0.0,COP,
MCO1309460157,U2 - Songs Of Innocence Deluxe - Cd Doble.,new,MCO22682415,gold_pro,https://www.mercadolibre.com.co/u2-songs-of-innocence-deluxe-cd-doble/p/MCO22682415,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,70000,,1,True,2043-06-23T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'self_service_out']",,,181939816,HITMUSICAL DISCOTIENDA,12.0,5833.33,0.0,COP,
MCO1313751989,Gloria Trevi - La Isla Divina - Disco Cd,new,MCO22908793,gold_pro,https://www.mercadolibre.com.co/gloria-trevi-la-isla-divina-disco-cd/p/MCO22908793,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,50000,,1,True,2043-07-06T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4166.67,0.0,COP,
MCO1321559105,Vampire Weekend Modern Vampires Of Th Vinilo,new,MCO25208687,gold_special,https://www.mercadolibre.com.co/vinilo-vampire-weekend-modern-vampires-of-the-city/p/MCO25208687,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,199000,,1,True,2043-07-28T04:00:00.000Z,True,[],MCO1168,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,131273179,ROCK ACTIVITY,36.0,5527.78,0.0,COP,
MCO1337122937,Blink - 182 - Greatest Hits,new,MCO22849874,gold_pro,https://www.mercadolibre.com.co/blink-182-greatest-hits/p/MCO22849874,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,70000,,1,True,2043-09-06T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,5833.33,0.0,COP,
MCO1340267317,David Bowie - No Plan,new,MCO22955322,gold_pro,https://www.mercadolibre.com.co/david-bowie-no-plan/p/MCO22955322,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,165000,,1,True,2043-09-15T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,181939816,HITMUSICAL DISCOTIENDA,12.0,13750.0,0.0,COP,
MCO583246535,Studio Ghibli [3 Peliculas Blu-ray/import,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-583246535-studio-ghibli-3-peliculas-blu-rayimport-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,346900,,1,True,2040-09-12T04:00:00.000Z,False,[],MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,221747504,ANICAM-BUSINESS,36.0,9636.11,0.0,COP,
MCO1351777059,Freddie Mercury - Never Boring - Disco Cd - 12 Canciones,new,MCO21970095,gold_pro,https://www.mercadolibre.com.co/freddie-mercury-never-boring-disco-cd-12-canciones/p/MCO21970095,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,60000,,1,True,2043-10-19T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,5000.0,0.0,COP,
MCO1876422186,Slayer - Live Undead - Cd,new,MCO22789198,gold_pro,https://www.mercadolibre.com.co/slayer-live-undead-cd/p/MCO22789198,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,60000,,1,True,2043-08-31T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,5000.0,0.0,COP,
MCO2029606060,Led Zeppelin I Deluxe Edition 2 Cd Oferta Nuevo Page Plant,new,MCO23091102,gold_pro,https://www.mercadolibre.com.co/led-zeppelin-i-deluxe-edition-2-cd-oferta-nuevo-page-plant/p/MCO23091102,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,95000,,1,True,2043-11-11T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,181939816,HITMUSICAL DISCOTIENDA,12.0,7916.67,0.0,COP,
