id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO962736115,"Jugo De Arándanos Pack 2 5,6 L - mL a $10",new,MCO32131242,gold_special,https://articulo.mercadolibre.com.co/MCO-962736115-jugo-de-arandanos-pack-2-56-l-_JM,buy_it_now,MCO,MCO194298,MCO-JUICES,56629,59610.0,1,,True,2042-09-12T04:00:00.000Z,False,[],,MCO1403,False,False,xd_drop_off,me2,['self_service_out'],,,755116009,FRESITASGIFT,36.0,1573.03,0.0,COP,Ocean Spray
MCO1722256790,Té Herbal Stash Premium Sunny Oran - Unidad a $2111,new,MCO19847947,gold_special,https://www.mercadolibre.com.co/te-herbal-stash-premium-sunny-orange-ginger-18-sobres/p/MCO19847947,buy_it_now,MCO,MCO409410,MCO-TEA,41790,43990.0,1,,True,2043-07-13T04:00:00.000Z,True,[],,MCO1403,False,False,xd_drop_off,me2,['self_service_in'],,,300836073,TIENDA306 BOGOTA,36.0,1160.83,0.0,COP,Stash
MCO1748349072,Dulce Gomitas Sabor Eucalipto Docile X 24 Uds,new,MCO24588128,gold_special,https://www.mercadolibre.com.co/dulce-gomitas-sabor-eucalipto-docile-x-24-uds/p/MCO24588128,buy_it_now,MCO,MCO177945,MCO-CANDIES,27455,28900.0,1,,True,2043-07-23T04:00:00.000Z,True,[],,MCO1403,False,False,xd_drop_off,me2,[],,,1315232140,GARABATOS DISTRIBUCIONES,36.0,762.64,0.0,COP,Docile
MCO1741595712,Stash Té De Hierbas Sabor Mango Y - Unidad a $2000,new,MCO19807783,gold_special,https://www.mercadolibre.com.co/stash-te-de-hierbas-sabor-mango-y-maracuya-20-sobres-sfn/p/MCO19807783,buy_it_now,MCO,MCO409410,MCO-TEA,41790,43990.0,1,,True,2043-07-21T04:00:00.000Z,True,[],,MCO1403,False,False,xd_drop_off,me2,['self_service_in'],,,300836073,TIENDA306 BOGOTA,36.0,1160.83,0.0,COP,Stash
MCO1274334059,Garrafa De Aguardiente Rojo2000,new,MCO21908861,gold_special,https://www.mercadolibre.com.co/garrafa-de-aguardiente-rojo2000/p/MCO21908861,buy_it_now,MCO,MCO442299,MCO-LIQUORS,109900,,50,,True,2043-03-17T04:00:00.000Z,True,[],,MCO1403,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,681685597,DIAMARKET,36.0,3052.78,0.0,COP,Antioqueno
MCO1329564193,Susanita Apanador Panko Crocante 1k - - kg a $46900,new,MCO22452639,gold_special,https://www.mercadolibre.com.co/susanita-apanador-panko-crocante-1k-kg-a-45400/p/MCO22452639,buy_it_now,MCO,MCO412349,MCO-BREAD_CRUMBS,52282,,1,,True,2043-08-17T04:00:00.000Z,True,[],,MCO1403,False,False,xd_drop_off,me2,[],,,606875577,MAGASA ONLINE,36.0,1452.28,0.0,COP,Susanita
MCO1331119243,Salsa Bbq Bourbon 2.3 L - Ml - mL a $18,new,MCO26540659,gold_special,https://www.mercadolibre.com.co/salsa-bbq-bourbon-23-l-ml/p/MCO26540659,buy_it_now,MCO,MCO389310,MCO-SAUCES_AND_DRESSINGS,35978,,1,,True,2043-08-20T04:00:00.000Z,True,[],,MCO1403,False,False,xd_drop_off,me2,[],,,606875577,MAGASA ONLINE,36.0,999.39,0.0,COP,Virginia Brand
MCO1427919762,Chicles Trident Yerbabuena X 18,new,MCO21688672,gold_special,https://www.mercadolibre.com.co/chicles-trident-yerbabuena-x-18/p/MCO21688672,buy_it_now,MCO,MCO177945,MCO-CANDIES,24650,,1,,True,2043-04-02T04:00:00.000Z,True,[],,MCO1403,False,False,xd_drop_off,me2,['self_service_in'],,,543385218,HOLBOX STORE,36.0,684.72,0.0,COP,Trident
MCO1334097551,Creatina Monohydrate Micronized - mL a $363,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1334097551-creatina-monohydrate-micronized-_JM,buy_it_now,MCO,MCO442309,MCO-ENERGY_DRINKS,145167,174900.0,50,,True,2043-08-28T04:00:00.000Z,False,[],,MCO1403,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1115202651,TIENDA ANGELICASUPPS,36.0,4032.42,0.0,COP,MuscleTech
MCO1640775352,Galletas Macarena® Nestl - kg a $16900,new,MCO23670084,gold_special,https://www.mercadolibre.com.co/galletas-macarena-nestl/p/MCO23670084,buy_it_now,MCO,MCO177943,MCO-COOKIES,16900,,100,,True,2043-06-02T04:00:00.000Z,True,[],,MCO1403,False,False,xd_drop_off,me2,[],,,681685597,DIAMARKET,,,,,Macarena
