id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1374993171,Licorera Whiskera 8 Oz Cantimplora De Bolsillo Gt-07,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1374993171-licorera-whiskera-8-oz-cantimplora-de-bolsillo-gt-07-_JM,buy_it_now,MCO,MCO413494,MCO-LIQUOR_FLASKS,29800,,50,True,2043-12-21T04:00:00.000Z,False,[],MCO1367,False,False,cross_docking,me2,['self_service_in'],,,108098646,COMPRALOENCASA.COM,12.0,2483.33,0.0,COP,Genérica
MCO1164845941,Estados Unidos 1 Dólar 1994 S Mundial Usa 94 Plata Nueva,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1164845941-estados-unidos-1-dolar-1994-s-mundial-usa-94-plata-nueva-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,280000,,1,True,2042-12-23T04:00:00.000Z,False,[],MCO1367,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,65616184,WORLD COLLECTIONS200,36.0,7777.78,0.0,COP,
MCO1656947516,Colombia 50000 Pesos  2001,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1656947516-colombia-50000-pesos-2001-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,149900,,1,True,2043-11-02T11:17:48.325Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,179783507,LEONZ146,36.0,4163.89,0.0,COP,Alana
MCO1636836700,Bandera Real Madrid 1.50x90cm Exterior Grande,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1636836700-bandera-real-madrid-150x90cm-exterior-grande-_JM,buy_it_now,MCO,MCO393901,MCO-FLAGS,44990,,1,True,2043-11-18T20:38:29.935Z,False,[],MCO1367,False,False,cross_docking,me2,['self_service_in'],,,499836100,FARSSI_LA_BARBA,36.0,1249.72,0.0,COP,
MCO1259544033,1000 Pesos 2019 Error: Girada,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1259544033-1000-pesos-2019-error-girada-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,80000,,1,True,2043-02-21T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,65616184,WORLD COLLECTIONS200,36.0,2222.22,0.0,COP,
MCO863875931,Billetes One Hundred Quintillion Dollars,used,gold_special,https://articulo.mercadolibre.com.co/MCO-863875931-billetes-one-hundred-quintillion-dollars-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,70000,,500,True,2043-07-05T20:14:44.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,26392150,NUMISMATICS INT,36.0,1944.44,0.0,COP,
MCO1374993273,Licorera Whiskera 5 Oz Cantimplora De Bolsillo Gt-08,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1374993273-licorera-whiskera-5-oz-cantimplora-de-bolsillo-gt-08-_JM,buy_it_now,MCO,MCO413494,MCO-LIQUOR_FLASKS,24700,,50,True,2043-12-21T04:00:00.000Z,False,[],MCO1367,False,False,cross_docking,me2,['self_service_in'],,,108098646,COMPRALOENCASA.COM,12.0,2058.33,0.0,COP,Genérica
MCO544584898,Moneda Chile Bimetalica 500 Pesos 2016  Bonita ! ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-544584898-moneda-chile-bimetalica-500-pesos-2016-bonita--_JM,buy_it_now,MCO,MCO9355,MCO-COINS,10797,11366.0,1,True,2040-06-27T16:39:13.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,95325698,RONCESVALLES2010,,,,,
MCO1314500869,Billete Antiguo De Cien Pesos Oro 1991,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1314500869-billete-antiguo-de-cien-pesos-oro-1991-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,85900,,1,True,2043-07-08T04:00:00.000Z,False,[],MCO1367,False,True,drop_off,me2,[],,,84078263,FERRELECTRICOS LA.CASONA,36.0,2386.11,0.0,COP,
MCO872908542,Moneda Panamá 1 Un Centésimo De Balboa Urraca Año  1975,used,gold_special,https://articulo.mercadolibre.com.co/MCO-872908542-moneda-panama-1-un-centesimo-de-balboa-urraca-ano-1975-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,4000,,1,True,2042-03-16T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
